targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
1053,340,413,-171,255,662,-385,150,337,448
713,689,73,177,572,346,-68,-166,67,192
811,925,171,413,475,167,-165,-345,67,448
517,216,-122,-295,770,753,130,241,247,320
817,438,177,-73,489,608,-151,96,337,192
811,98,171,-413,483,860,-157,348,292,448
1053,683,413,171,321,341,-319,-171,22,448
817,585,177,73,487,440,-153,-72,22,192
226,683,-413,171,991,337,351,-175,157,448
566,334,-73,-177,723,706,83,194,247,192
580,487,-59,-24,695,551,55,39,202,64
344,634,-295,122,875,375,235,-137,157,320
468,925,-171,413,876,189,236,-323,112,448
226,340,-413,-171,931,698,291,186,202,448
566,689,-73,177,736,344,96,-168,112,192
664,571,24,59,599,464,-41,-48,67,64
713,334,73,-177,562,664,-78,152,292,192
344,389,-295,-122,872,639,232,127,202,320
517,807,-122,295,795,253,155,-259,112,320
935,634,295,122,406,372,-234,-140,22,320
762,216,122,-295,539,775,-101,263,292,320
462,438,-177,-73,809,595,169,83,202,192
615,571,-24,59,680,461,40,-51,112,64
664,452,24,-59,605,581,-35,69,292,64
935,389,295,-122,398,639,-242,127,337,320
615,452,-24,-59,675,567,35,55,247,64
699,487,59,-24,581,557,-59,45,337,64
462,585,-177,73,783,439,143,-73,157,192
699,536,59,24,563,476,-77,-36,22,64
762,807,122,295,541,262,-99,-250,67,320
580,536,-59,24,695,492,55,-20,157,64
468,98,-171,-413,780,861,140,349,247,448
566,334,-73,-177,729,698,89,186,247,192
580,487,-59,-24,701,537,61,25,202,64
462,438,-177,-73,812,566,172,54,202,192
664,452,24,-59,606,567,-34,55,292,64
566,689,-73,177,710,371,70,-141,112,192
713,334,73,-177,560,671,-80,159,292,192
762,807,122,295,528,243,-112,-269,67,320
811,925,171,413,474,182,-166,-330,67,448
344,634,-295,122,891,381,251,-131,157,320
615,571,-24,59,673,457,33,-55,112,64
615,452,-24,-59,671,576,31,64,247,64
935,389,295,-122,386,640,-254,128,337,320
517,807,-122,295,780,272,140,-240,112,320
817,585,177,73,464,427,-176,-85,22,192
226,340,-413,-171,1025,668,385,156,202,448
1053,340,413,-171,320,688,-320,176,337,448
699,487,59,-24,589,554,-51,42,337,64
699,536,59,24,585,475,-55,-37,22,64
762,216,122,-295,527,793,-113,281,292,320
344,389,-295,-122,901,628,261,116,202,320
517,216,-122,-295,754,758,114,246,247,320
817,438,177,-73,476,603,-164,91,337,192
580,536,-59,24,692,490,52,-22,157,64
713,689,73,177,568,361,-72,-151,67,192
664,571,24,59,607,469,-33,-43,67,64
811,98,171,-413,504,845,-136,333,292,448
462,585,-177,73,795,431,155,-81,157,192
468,925,-171,413,817,195,177,-317,112,448
468,98,-171,-413,800,872,160,360,247,448
1053,683,413,171,286,362,-354,-150,22,448
935,634,295,122,422,418,-218,-94,22,320
226,683,-413,171,1012,303,372,-209,157,448
699,536,59,24,566,478,-74,-34,22,64
566,689,-73,177,721,349,81,-163,112,192
462,438,-177,-73,815,582,175,70,202,192
811,925,171,413,495,181,-145,-331,67,448
811,98,171,-413,493,868,-147,356,292,448
935,389,295,-122,421,642,-219,130,337,320
615,571,-24,59,674,453,34,-59,112,64
580,536,-59,24,705,494,65,-18,157,64
468,98,-171,-413,855,874,215,362,247,448
615,452,-24,-59,675,577,35,65,247,64
226,340,-413,-171,1041,663,401,151,202,448
935,634,295,122,405,399,-235,-113,22,320
817,438,177,-73,489,628,-151,116,337,192
762,807,122,295,555,207,-85,-305,67,320
664,452,24,-59,603,584,-37,72,292,64
344,634,-295,122,861,411,221,-101,157,320
1053,683,413,171,279,375,-361,-137,22,448
462,585,-177,73,795,442,155,-70,157,192
699,487,59,-24,572,540,-68,28,337,64
566,334,-73,-177,710,703,70,191,247,192
713,334,73,-177,568,716,-72,204,292,192
580,487,-59,-24,700,536,60,24,202,64
344,389,-295,-122,944,637,304,125,202,320
468,925,-171,413,810,181,170,-331,112,448
762,216,122,-295,535,791,-105,279,292,320
817,585,177,73,489,435,-151,-77,22,192
226,683,-413,171,1038,353,398,-159,157,448
713,689,73,177,560,359,-80,-153,67,192
517,807,-122,295,790,246,150,-266,112,320
1053,340,413,-171,314,727,-326,215,337,448
517,216,-122,-295,767,795,127,283,247,320
664,571,24,59,601,452,-39,-60,67,64
226,340,-413,-171,1000,663,360,151,202,448
817,585,177,73,494,458,-146,-54,22,192
1053,683,413,171,366,380,-274,-132,22,448
935,634,295,122,402,401,-238,-111,22,320
664,571,24,59,608,435,-32,-77,67,64
699,487,59,-24,586,542,-54,30,337,64
462,585,-177,73,809,444,169,-68,157,192
811,98,171,-413,510,886,-130,374,292,448
935,389,295,-122,426,641,-214,129,337,320
762,216,122,-295,533,824,-107,312,292,320
566,334,-73,-177,750,686,110,174,247,192
615,571,-24,59,681,460,41,-52,112,64
713,689,73,177,574,350,-66,-162,67,192
517,807,-122,295,746,279,106,-233,112,320
462,438,-177,-73,820,605,180,93,202,192
344,634,-295,122,879,377,239,-135,157,320
664,452,24,-59,604,586,-36,74,292,64
713,334,73,-177,590,694,-50,182,292,192
580,487,-59,-24,703,529,63,17,202,64
226,683,-413,171,988,346,348,-166,157,448
615,452,-24,-59,666,585,26,73,247,64
1053,340,413,-171,310,709,-330,197,337,448
