targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
762,807,122,295,551,233,-89,-279,67,320
811,98,171,-413,516,877,-124,365,292,448
468,925,-171,413,829,175,189,-337,112,448
664,571,24,59,622,444,-18,-68,67,64
566,334,-73,-177,722,690,82,178,247,192
817,585,177,73,490,450,-150,-62,22,192
762,216,122,-295,545,778,-95,266,292,320
462,438,-177,-73,837,577,197,65,202,192
615,571,-24,59,670,468,30,-44,112,64
226,340,-413,-171,1061,706,421,194,202,448
817,438,177,-73,482,582,-158,70,337,192
615,452,-24,-59,665,571,25,59,247,64
811,925,171,413,504,175,-136,-337,67,448
344,634,-295,122,937,368,297,-144,157,320
517,216,-122,-295,763,814,123,302,247,320
226,683,-413,171,1053,300,413,-212,157,448
935,634,295,122,376,397,-264,-115,22,320
1053,683,413,171,295,393,-345,-119,22,448
566,689,-73,177,712,350,72,-162,112,192
580,536,-59,24,718,487,78,-25,157,64
468,98,-171,-413,835,918,195,406,247,448
1053,340,413,-171,328,743,-312,231,337,448
713,334,73,-177,583,699,-57,187,292,192
664,452,24,-59,613,589,-27,77,292,64
699,536,59,24,572,487,-68,-25,22,64
580,487,-59,-24,711,535,71,23,202,64
462,585,-177,73,809,428,169,-84,157,192
935,389,295,-122,399,648,-241,136,337,320
699,487,59,-24,575,550,-65,38,337,64
713,689,73,177,578,328,-62,-184,67,192
517,807,-122,295,773,250,133,-262,112,320
344,389,-295,-122,917,633,277,121,202,320
226,683,-413,171,1027,386,387,-126,157,448
462,438,-177,-73,816,586,176,74,202,192
935,389,295,-122,399,685,-241,173,337,320
811,98,171,-413,482,891,-158,379,292,448
817,585,177,73,466,454,-174,-58,22,192
344,634,-295,122,895,377,255,-135,157,320
811,925,171,413,525,194,-115,-318,67,448
468,98,-171,-413,817,915,177,403,247,448
713,689,73,177,591,357,-49,-155,67,192
517,216,-122,-295,774,838,134,326,247,320
468,925,-171,413,789,168,149,-344,112,448
566,689,-73,177,718,336,78,-176,112,192
615,571,-24,59,674,445,34,-67,112,64
580,536,-59,24,703,486,63,-26,157,64
699,487,59,-24,585,541,-55,29,337,64
935,634,295,122,400,431,-240,-81,22,320
226,340,-413,-171,1019,719,379,207,202,448
713,334,73,-177,580,697,-60,185,292,192
664,571,24,59,601,458,-39,-54,67,64
699,536,59,24,574,480,-66,-32,22,64
462,585,-177,73,809,424,169,-88,157,192
664,452,24,-59,622,574,-18,62,292,64
762,807,122,295,561,264,-79,-248,67,320
566,334,-73,-177,728,724,88,212,247,192
580,487,-59,-24,706,538,66,26,202,64
517,807,-122,295,752,281,112,-231,112,320
762,216,122,-295,541,827,-99,315,292,320
817,438,177,-73,461,602,-179,90,337,192
1053,683,413,171,332,390,-308,-122,22,448
344,389,-295,-122,959,658,319,146,202,320
1053,340,413,-171,401,690,-239,178,337,448
615,452,-24,-59,658,573,18,61,247,64
615,571,-24,59,672,457,32,-55,112,64
811,925,171,413,542,176,-98,-336,67,448
1053,683,413,171,321,378,-319,-134,22,448
664,452,24,-59,626,574,-14,62,292,64
468,925,-171,413,784,153,144,-359,112,448
344,634,-295,122,906,408,266,-104,157,320
344,389,-295,-122,942,617,302,105,202,320
462,585,-177,73,812,435,172,-77,157,192
817,585,177,73,511,438,-129,-74,22,192
699,536,59,24,576,488,-64,-24,22,64
762,807,122,295,567,267,-73,-245,67,320
762,216,122,-295,506,791,-134,279,292,320
566,334,-73,-177,718,685,78,173,247,192
615,452,-24,-59,676,590,36,78,247,64
817,438,177,-73,500,598,-140,86,337,192
468,98,-171,-413,844,863,204,351,247,448
699,487,59,-24,572,558,-68,46,337,64
566,689,-73,177,722,344,82,-168,112,192
811,98,171,-413,487,869,-153,357,292,448
462,438,-177,-73,852,605,212,93,202,192
580,536,-59,24,707,486,67,-26,157,64
226,683,-413,171,1018,302,378,-210,157,448
713,334,73,-177,578,741,-62,229,292,192
580,487,-59,-24,710,546,70,34,202,64
1053,340,413,-171,312,690,-328,178,337,448
517,807,-122,295,798,232,158,-280,112,320
226,340,-413,-171,1037,675,397,163,202,448
517,216,-122,-295,800,810,160,298,247,320
935,389,295,-122,385,653,-255,141,337,320
713,689,73,177,573,342,-67,-170,67,192
664,571,24,59,612,442,-28,-70,67,64
935,634,295,122,392,415,-248,-97,22,320
935,634,295,122,377,399,-263,-113,22,320
344,634,-295,122,899,368,259,-144,157,320
580,536,-59,24,723,479,83,-33,157,64
226,683,-413,171,1075,291,435,-221,157,448
811,925,171,413,512,173,-128,-339,67,448
517,216,-122,-295,781,834,141,322,247,320
817,585,177,73,486,445,-154,-67,22,192
615,571,-24,59,671,437,31,-75,112,64
935,389,295,-122,407,624,-233,112,337,320
566,689,-73,177,713,375,73,-137,112,192
468,925,-171,413,798,190,158,-322,112,448
344,389,-295,-122,934,645,294,133,202,320
580,487,-59,-24,696,533,56,21,202,64
664,452,24,-59,621,574,-19,62,292,64
566,334,-73,-177,735,711,95,199,247,192
517,807,-122,295,735,276,95,-236,112,320
762,216,122,-295,546,848,-94,336,292,320
811,98,171,-413,533,931,-107,419,292,448
462,438,-177,-73,836,585,196,73,202,192
817,438,177,-73,505,584,-135,72,337,192
699,487,59,-24,571,537,-69,25,337,64
1053,683,413,171,340,340,-300,-172,22,448
664,571,24,59,618,443,-22,-69,67,64
762,807,122,295,533,247,-107,-265,67,320
615,452,-24,-59,663,579,23,67,247,64
699,536,59,24,567,496,-73,-16,22,64
226,340,-413,-171,1061,723,421,211,202,448
462,585,-177,73,796,439,156,-73,157,192
1053,340,413,-171,321,680,-319,168,337,448
468,98,-171,-413,825,910,185,398,247,448
713,689,73,177,587,337,-53,-175,67,192
713,334,73,-177,564,742,-76,230,292,192
811,925,171,413,484,101,-156,-411,67,448
762,216,122,-295,522,820,-118,308,292,320
811,98,171,-413,534,863,-106,351,292,448
517,807,-122,295,758,242,118,-270,112,320
468,98,-171,-413,829,864,189,352,247,448
935,634,295,122,378,390,-262,-122,22,320
615,452,-24,-59,666,581,26,69,247,64
580,536,-59,24,710,491,70,-21,157,64
1053,340,413,-171,302,677,-338,165,337,448
566,334,-73,-177,766,750,126,238,247,192
699,536,59,24,576,479,-64,-33,22,64
462,585,-177,73,833,430,193,-82,157,192
468,925,-171,413,747,158,107,-354,112,448
517,216,-122,-295,799,821,159,309,247,320
713,334,73,-177,566,752,-74,240,292,192
699,487,59,-24,575,555,-65,43,337,64
344,389,-295,-122,903,638,263,126,202,320
817,438,177,-73,520,598,-120,86,337,192
462,438,-177,-73,806,567,166,55,202,192
580,487,-59,-24,719,533,79,21,202,64
664,452,24,-59,625,590,-15,78,292,64
344,634,-295,122,910,401,270,-111,157,320
226,683,-413,171,1076,334,436,-178,157,448
566,689,-73,177,736,325,96,-187,112,192
817,585,177,73,491,431,-149,-81,22,192
935,389,295,-122,362,655,-278,143,337,320
713,689,73,177,582,335,-58,-177,67,192
762,807,122,295,551,253,-89,-259,67,320
664,571,24,59,614,456,-26,-56,67,64
615,571,-24,59,679,461,39,-51,112,64
226,340,-413,-171,1010,715,370,203,202,448
1053,683,413,171,318,373,-322,-139,22,448
811,925,171,413,526,99,-114,-413,67,448
566,334,-73,-177,722,723,82,211,247,192
615,452,-24,-59,660,568,20,56,247,64
468,98,-171,-413,824,886,184,374,247,448
811,98,171,-413,524,884,-116,372,292,448
762,216,122,-295,517,860,-123,348,292,320
699,536,59,24,583,480,-57,-32,22,64
817,438,177,-73,482,621,-158,109,337,192
664,452,24,-59,616,601,-24,89,292,64
580,487,-59,-24,712,531,72,19,202,64
462,438,-177,-73,871,612,231,100,202,192
226,340,-413,-171,1044,696,404,184,202,448
344,389,-295,-122,937,638,297,126,202,320
226,683,-413,171,1031,313,391,-199,157,448
935,634,295,122,430,397,-210,-115,22,320
615,571,-24,59,683,441,43,-71,112,64
664,571,24,59,616,432,-24,-80,67,64
935,389,295,-122,380,661,-260,149,337,320
1053,340,413,-171,307,701,-333,189,337,448
517,216,-122,-295,763,805,123,293,247,320
713,689,73,177,588,356,-52,-156,67,192
762,807,122,295,571,253,-69,-259,67,320
462,585,-177,73,843,456,203,-56,157,192
344,634,-295,122,925,413,285,-99,157,320
468,925,-171,413,818,140,178,-372,112,448
699,487,59,-24,564,536,-76,24,337,64
517,807,-122,295,757,247,117,-265,112,320
817,585,177,73,493,455,-147,-57,22,192
580,536,-59,24,525,557,-115,45,157,64
713,334,73,-177,589,669,-51,157,292,192
566,689,-73,177,707,372,67,-140,112,192
1053,683,413,171,358,371,-282,-141,22,448
468,925,-171,413,819,158,179,-354,112,448
517,216,-122,-295,771,798,131,286,247,320
615,571,-24,59,673,441,33,-71,112,64
566,689,-73,177,699,363,59,-149,112,192
226,683,-413,171,1064,310,424,-202,157,448
517,807,-122,295,753,201,113,-311,112,320
226,340,-413,-171,1079,696,439,184,202,448
664,452,24,-59,621,578,-19,66,292,64
1053,683,413,171,309,347,-331,-165,22,448
468,98,-171,-413,808,879,168,367,247,448
699,487,59,-24,573,530,-67,18,337,64
1053,340,413,-171,307,678,-333,166,337,448
580,487,-59,-24,756,544,116,32,202,64
580,536,-59,24,724,491,84,-21,157,64
344,634,-295,122,963,384,323,-128,157,320
935,389,295,-122,410,639,-230,127,337,320
935,634,295,122,396,380,-244,-132,22,320
462,585,-177,73,831,423,191,-89,157,192
811,925,171,413,545,142,-95,-370,67,448
713,689,73,177,573,321,-67,-191,67,192
811,98,171,-413,490,906,-150,394,292,448
762,216,122,-295,537,811,-103,299,292,320
762,807,122,295,560,260,-80,-252,67,320
