targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
468,925,-171,413,852,182,212,-330,112,448
566,334,-73,-177,722,669,82,157,247,192
517,216,-122,-295,776,796,136,284,247,320
811,98,171,-413,499,893,-141,381,292,448
615,452,-24,-59,673,575,33,63,247,64
344,389,-295,-122,939,669,299,157,202,320
811,925,171,413,496,174,-144,-338,67,448
699,536,59,24,561,478,-79,-34,22,64
462,585,-177,73,789,432,149,-80,157,192
817,585,177,73,474,440,-166,-72,22,192
468,98,-171,-413,813,894,173,382,247,448
699,487,59,-24,575,541,-65,29,337,64
580,487,-59,-24,698,542,58,30,202,64
517,807,-122,295,787,263,147,-249,112,320
462,438,-177,-73,845,602,205,90,202,192
713,334,73,-177,562,700,-78,188,292,192
615,571,-24,59,665,454,25,-58,112,64
762,216,122,-295,535,793,-105,281,292,320
580,536,-59,24,695,483,55,-29,157,64
566,689,-73,177,707,355,67,-157,112,192
664,571,24,59,612,446,-28,-66,67,64
1053,683,413,171,300,360,-340,-152,22,448
817,438,177,-73,483,585,-157,73,337,192
226,683,-413,171,958,284,318,-228,157,448
935,389,295,-122,395,639,-245,127,337,320
226,340,-413,-171,1026,685,386,173,202,448
664,452,24,-59,616,596,-24,84,292,64
344,634,-295,122,876,425,236,-87,157,320
713,689,73,177,581,340,-59,-172,67,192
1053,340,413,-171,338,668,-302,156,337,448
762,807,122,295,553,252,-87,-260,67,320
935,634,295,122,336,410,-304,-102,22,320
462,585,-177,73,776,432,136,-80,157,192
664,571,24,59,618,449,-22,-63,67,64
817,438,177,-73,495,624,-145,112,337,192
566,689,-73,177,684,367,44,-145,112,192
580,536,-59,24,700,483,60,-29,157,64
517,216,-122,-295,744,835,104,323,247,320
566,334,-73,-177,707,658,67,146,247,192
580,487,-59,-24,709,532,69,20,202,64
811,98,171,-413,521,911,-119,399,292,448
1053,340,413,-171,281,704,-359,192,337,448
344,389,-295,-122,909,638,269,126,202,320
615,452,-24,-59,664,577,24,65,247,64
468,98,-171,-413,787,892,147,380,247,448
462,438,-177,-73,823,590,183,78,202,192
762,807,122,295,534,260,-106,-252,67,320
226,340,-413,-171,990,680,350,168,202,448
344,634,-295,122,857,353,217,-159,157,320
1053,683,413,171,305,374,-335,-138,22,448
713,689,73,177,577,344,-63,-168,67,192
699,536,59,24,573,483,-67,-29,22,64
762,216,122,-295,530,796,-110,284,292,320
517,807,-122,295,749,259,109,-253,112,320
935,389,295,-122,392,643,-248,131,337,320
664,452,24,-59,606,570,-34,58,292,64
226,683,-413,171,1066,331,426,-181,157,448
468,925,-171,413,830,203,190,-309,112,448
615,571,-24,59,671,449,31,-63,112,64
699,487,59,-24,566,557,-74,45,337,64
811,925,171,413,485,115,-155,-397,67,448
935,634,295,122,375,417,-265,-95,22,320
817,585,177,73,472,456,-168,-56,22,192
713,334,73,-177,552,704,-88,192,292,192
615,452,-24,-59,667,583,27,71,247,64
468,98,-171,-413,801,890,161,378,247,448
566,334,-73,-177,718,699,78,187,247,192
226,340,-413,-171,983,710,343,198,202,448
566,689,-73,177,685,370,45,-142,112,192
811,98,171,-413,476,860,-164,348,292,448
817,585,177,73,492,470,-148,-42,22,192
1053,340,413,-171,286,678,-354,166,337,448
713,334,73,-177,573,706,-67,194,292,192
817,438,177,-73,464,605,-176,93,337,192
762,807,122,295,535,260,-105,-252,67,320
699,536,59,24,584,479,-56,-33,22,64
615,571,-24,59,670,451,30,-61,112,64
580,487,-59,-24,719,529,79,17,202,64
462,438,-177,-73,862,610,222,98,202,192
344,634,-295,122,874,378,234,-134,157,320
517,807,-122,295,751,280,111,-232,112,320
226,683,-413,171,987,354,347,-158,157,448
935,389,295,-122,376,697,-264,185,337,320
664,571,24,59,614,451,-26,-61,67,64
517,216,-122,-295,757,791,117,279,247,320
462,585,-177,73,800,443,160,-69,157,192
344,389,-295,-122,915,675,275,163,202,320
935,634,295,122,381,391,-259,-121,22,320
1053,683,413,171,304,388,-336,-124,22,448
664,452,24,-59,608,588,-32,76,292,64
762,216,122,-295,531,806,-109,294,292,320
699,487,59,-24,558,553,-82,41,337,64
468,925,-171,413,808,142,168,-370,112,448
580,536,-59,24,702,478,62,-34,157,64
713,689,73,177,574,333,-66,-179,67,192
811,925,171,413,469,127,-171,-385,67,448
615,571,-24,59,672,444,32,-68,112,64
935,389,295,-122,352,664,-288,152,337,320
468,98,-171,-413,830,886,190,374,247,448
615,452,-24,-59,674,590,34,78,247,64
462,438,-177,-73,835,597,195,85,202,192
566,689,-73,177,705,388,65,-124,112,192
762,216,122,-295,546,803,-94,291,292,320
699,487,59,-24,571,543,-69,31,337,64
817,438,177,-73,456,611,-184,99,337,192
713,334,73,-177,575,711,-65,199,292,192
344,634,-295,122,866,403,226,-109,157,320
580,487,-59,-24,723,555,83,43,202,64
517,807,-122,295,748,252,108,-260,112,320
344,389,-295,-122,888,635,248,123,202,320
468,925,-171,413,778,199,138,-313,112,448
566,334,-73,-177,727,707,87,195,247,192
1053,683,413,171,337,338,-303,-174,22,448
226,683,-413,171,1032,296,392,-216,157,448
699,536,59,24,575,488,-65,-24,22,64
580,536,-59,24,699,484,59,-28,157,64
811,98,171,-413,433,943,-207,431,292,448
817,585,177,73,480,452,-160,-60,22,192
517,216,-122,-295,782,831,142,319,247,320
713,689,73,177,581,343,-59,-169,67,192
664,571,24,59,618,456,-22,-56,67,64
462,585,-177,73,788,432,148,-80,157,192
664,452,24,-59,614,581,-26,69,292,64
1053,340,413,-171,326,678,-314,166,337,448
935,634,295,122,369,419,-271,-93,22,320
811,925,171,413,522,119,-118,-393,67,448
762,807,122,295,512,239,-128,-273,67,320
226,340,-413,-171,1007,744,367,232,202,448
615,452,-24,-59,668,575,28,63,247,64
1053,340,413,-171,303,713,-337,201,337,448
935,389,295,-122,396,663,-244,151,337,320
468,925,-171,413,815,201,175,-311,112,448
226,683,-413,171,1051,343,411,-169,157,448
817,585,177,73,477,429,-163,-83,22,192
517,807,-122,295,788,268,148,-244,112,320
713,689,73,177,568,371,-72,-141,67,192
462,585,-177,73,821,433,181,-79,157,192
615,571,-24,59,666,453,26,-59,112,64
462,438,-177,-73,812,599,172,87,202,192
664,452,24,-59,627,581,-13,69,292,64
517,216,-122,-295,753,777,113,265,247,320
713,334,73,-177,586,698,-54,186,292,192
566,689,-73,177,697,358,57,-154,112,192
566,334,-73,-177,731,708,91,196,247,192
817,438,177,-73,457,596,-183,84,337,192
935,634,295,122,412,450,-228,-62,22,320
226,340,-413,-171,1032,700,392,188,202,448
811,98,171,-413,497,879,-143,367,292,448
344,634,-295,122,915,402,275,-110,157,320
344,389,-295,-122,934,627,294,115,202,320
811,925,171,413,470,144,-170,-368,67,448
699,536,59,24,564,474,-76,-38,22,64
580,487,-59,-24,700,539,60,27,202,64
1053,683,413,171,261,335,-379,-177,22,448
699,487,59,-24,577,549,-63,37,337,64
664,571,24,59,615,436,-25,-76,67,64
762,216,122,-295,526,812,-114,300,292,320
580,536,-59,24,713,474,73,-38,157,64
468,98,-171,-413,807,933,167,421,247,448
762,807,122,295,540,235,-100,-277,67,320
566,689,-73,177,726,366,86,-146,112,192
344,634,-295,122,891,387,251,-125,157,320
226,683,-413,171,1054,340,414,-172,157,448
935,389,295,-122,384,696,-256,184,337,320
817,585,177,73,478,445,-162,-67,22,192
1053,683,413,171,294,370,-346,-142,22,448
344,389,-295,-122,912,656,272,144,202,320
935,634,295,122,410,437,-230,-75,22,320
664,571,24,59,615,443,-25,-69,67,64
699,536,59,24,571,493,-69,-19,22,64
817,438,177,-73,437,631,-203,119,337,192
462,438,-177,-73,804,579,164,67,202,192
615,452,-24,-59,672,585,32,73,247,64
580,536,-59,24,697,500,57,-12,157,64
580,487,-59,-24,706,545,66,33,202,64
762,807,122,295,556,275,-84,-237,67,320
713,689,73,177,587,370,-53,-142,67,192
713,334,73,-177,552,695,-88,183,292,192
699,487,59,-24,574,553,-66,41,337,64
1053,340,413,-171,322,745,-318,233,337,448
468,925,-171,413,842,194,202,-318,112,448
566,334,-73,-177,724,725,84,213,247,192
664,452,24,-59,606,576,-34,64,292,64
811,925,171,413,537,163,-103,-349,67,448
615,571,-24,59,675,465,35,-47,112,64
226,340,-413,-171,1064,721,424,209,202,448
517,807,-122,295,766,253,126,-259,112,320
462,585,-177,73,838,431,198,-81,157,192
762,216,122,-295,524,824,-116,312,292,320
517,216,-122,-295,774,810,134,298,247,320
468,98,-171,-413,843,864,203,352,247,448
811,98,171,-413,484,913,-156,401,292,448
817,585,177,73,430,455,-210,-57,22,192
462,438,-177,-73,814,589,174,77,202,192
226,340,-413,-171,1033,703,393,191,202,448
566,334,-73,-177,714,732,74,220,247,192
1053,683,413,171,312,392,-328,-120,22,448
699,487,59,-24,578,551,-62,39,337,64
1053,340,413,-171,297,736,-343,224,337,448
468,98,-171,-413,807,896,167,384,247,448
811,925,171,413,494,159,-146,-353,67,448
615,571,-24,59,668,448,28,-64,112,64
713,689,73,177,570,338,-70,-174,67,192
517,807,-122,295,745,295,105,-217,112,320
699,536,59,24,574,485,-66,-27,22,64
713,334,73,-177,555,719,-85,207,292,192
517,216,-122,-295,753,785,113,273,247,320
935,634,295,122,401,421,-239,-91,22,320
344,389,-295,-122,917,621,277,109,202,320
580,536,-59,24,705,492,65,-20,157,64
762,807,122,295,551,257,-89,-255,67,320
580,487,-59,-24,716,554,76,42,202,64
817,438,177,-73,447,599,-193,87,337,192
566,689,-73,177,721,372,81,-140,112,192
226,683,-413,171,1032,320,392,-192,157,448
762,216,122,-295,535,854,-105,342,292,320
615,452,-24,-59,669,580,29,68,247,64
935,389,295,-122,356,660,-284,148,337,320
462,585,-177,73,775,439,135,-73,157,192
664,571,24,59,605,430,-35,-82,67,64
344,634,-295,122,878,380,238,-132,157,320
664,452,24,-59,619,575,-21,63,292,64
811,98,171,-413,494,919,-146,407,292,448
468,925,-171,413,790,192,150,-320,112,448
