targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
935,634,295,122,350,382,-290,-130,22,320
699,487,59,-24,601,540,-39,28,337,64
517,807,-122,295,786,261,146,-251,112,320
664,571,24,59,682,453,42,-59,67,64
1053,683,413,171,200,363,-440,-149,22,448
615,452,-24,-59,720,583,80,71,247,64
811,925,171,413,463,104,-177,-408,67,448
699,536,59,24,590,491,-50,-21,22,64
762,216,122,-295,545,820,-95,308,292,320
344,389,-295,-122,959,656,319,144,202,320
566,689,-73,177,739,339,99,-173,112,192
468,925,-171,413,796,172,156,-340,112,448
615,571,-24,59,703,442,63,-70,112,64
935,389,295,-122,347,657,-293,145,337,320
713,689,73,177,580,320,-60,-192,67,192
468,98,-171,-413,853,839,213,327,247,448
580,536,-59,24,758,469,118,-43,157,64
566,334,-73,-177,724,669,84,157,247,192
817,585,177,73,456,421,-184,-91,22,192
811,98,171,-413,478,926,-162,414,292,448
226,683,-413,171,1091,337,451,-175,157,448
762,807,122,295,551,224,-89,-288,67,320
817,438,177,-73,407,628,-233,116,337,192
462,585,-177,73,835,447,195,-65,157,192
1053,340,413,-171,262,672,-378,160,337,448
580,487,-59,-24,754,550,114,38,202,64
664,452,24,-59,662,587,22,75,292,64
713,334,73,-177,589,685,-51,173,292,192
344,634,-295,122,935,425,295,-87,157,320
517,216,-122,-295,817,787,177,275,247,320
462,438,-177,-73,846,594,206,82,202,192
226,340,-413,-171,967,671,327,159,202,448
713,334,73,-177,597,709,-43,197,292,192
811,98,171,-413,553,821,-87,309,292,448
1053,683,413,171,240,349,-400,-163,22,448
699,536,59,24,594,496,-46,-16,22,64
517,216,-122,-295,812,777,172,265,247,320
344,389,-295,-122,914,629,274,117,202,320
566,689,-73,177,720,321,80,-191,112,192
713,689,73,177,583,294,-57,-218,67,192
935,389,295,-122,358,656,-282,144,337,320
699,487,59,-24,587,548,-53,36,337,64
1053,340,413,-171,314,653,-326,141,337,448
935,634,295,122,382,393,-258,-119,22,320
566,334,-73,-177,750,708,110,196,247,192
762,216,122,-295,568,765,-72,253,292,320
468,925,-171,413,842,162,202,-350,112,448
468,98,-171,-413,827,862,187,350,247,448
664,452,24,-59,633,581,-7,69,292,64
811,925,171,413,507,90,-133,-422,67,448
226,683,-413,171,1087,357,447,-155,157,448
615,571,-24,59,721,444,81,-68,112,64
580,487,-59,-24,760,550,120,38,202,64
517,807,-122,295,796,240,156,-272,112,320
462,438,-177,-73,831,602,191,90,202,192
615,452,-24,-59,745,581,105,69,247,64
817,438,177,-73,485,576,-155,64,337,192
762,807,122,295,558,249,-82,-263,67,320
462,585,-177,73,848,438,208,-74,157,192
664,571,24,59,640,437,0,-75,67,64
226,340,-413,-171,962,659,322,147,202,448
344,634,-295,122,913,422,273,-90,157,320
580,536,-59,24,770,470,130,-42,157,64
817,585,177,73,481,447,-159,-65,22,192
664,571,24,59,637,434,-3,-78,67,64
344,389,-295,-122,935,645,295,133,202,320
