targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
935,389,295,-122,316,671,-324,159,337,320
762,807,122,295,505,212,-135,-300,67,320
566,689,-73,177,722,337,82,-175,112,192
935,634,295,122,320,421,-320,-91,22,320
566,334,-73,-177,717,680,77,168,247,192
664,452,24,-59,605,579,-35,67,292,64
462,585,-177,73,827,445,187,-67,157,192
580,487,-59,-24,722,538,82,26,202,64
699,536,59,24,573,487,-67,-25,22,64
811,925,171,413,483,140,-157,-372,67,448
517,216,-122,-295,776,777,136,265,247,320
462,438,-177,-73,834,604,194,92,202,192
226,340,-413,-171,980,688,340,176,202,448
517,807,-122,295,770,189,130,-323,112,320
1053,683,413,171,145,360,-495,-152,22,448
344,389,-295,-122,943,680,303,168,202,320
468,98,-171,-413,808,835,168,323,247,448
699,487,59,-24,545,543,-95,31,337,64
817,438,177,-73,489,566,-151,54,337,192
664,571,24,59,602,432,-38,-80,67,64
762,216,122,-295,511,753,-129,241,292,320
1053,340,413,-171,214,701,-426,189,337,448
615,571,-24,59,687,421,47,-91,112,64
580,536,-59,24,741,466,101,-46,157,64
468,925,-171,413,797,154,157,-358,112,448
344,634,-295,122,928,409,288,-103,157,320
226,683,-413,171,958,345,318,-167,157,448
811,98,171,-413,448,918,-192,406,292,448
713,689,73,177,540,313,-100,-199,67,192
615,452,-24,-59,698,603,58,91,247,64
713,334,73,-177,562,716,-78,204,292,192
817,585,177,73,489,431,-151,-81,22,192
462,585,-177,73,831,424,191,-88,157,192
817,438,177,-73,459,613,-181,101,337,192
468,98,-171,-413,814,819,174,307,247,448
811,925,171,413,443,116,-197,-396,67,448
699,536,59,24,783,565,143,53,22,64
344,634,-295,122,940,415,300,-97,157,320
713,689,73,177,571,321,-69,-191,67,192
580,536,-59,24,741,472,101,-40,157,64
580,487,-59,-24,738,558,98,46,202,64
1053,683,413,171,274,374,-366,-138,22,448
811,98,171,-413,534,889,-106,377,292,448
226,340,-413,-171,1021,709,381,197,202,448
566,334,-73,-177,731,705,91,193,247,192
935,634,295,122,329,430,-311,-82,22,320
226,683,-413,171,1029,326,389,-186,157,448
699,487,59,-24,569,535,-71,23,337,64
1053,340,413,-171,325,654,-315,142,337,448
664,571,24,59,631,430,-9,-82,67,64
344,389,-295,-122,887,632,247,120,202,320
664,452,24,-59,610,583,-30,71,292,64
462,438,-177,-73,848,589,208,77,202,192
762,807,122,295,529,230,-111,-282,67,320
817,585,177,73,452,420,-188,-92,22,192
935,389,295,-122,382,661,-258,149,337,320
615,452,-24,-59,670,571,30,59,247,64
468,925,-171,413,781,149,141,-363,112,448
517,216,-122,-295,779,803,139,291,247,320
566,689,-73,177,703,318,63,-194,112,192
615,571,-24,59,678,405,38,-107,112,64
517,807,-122,295,730,297,90,-215,112,320
762,216,122,-295,500,814,-140,302,292,320
713,334,73,-177,558,710,-82,198,292,192
468,925,-171,413,813,156,173,-356,112,448
468,98,-171,-413,825,872,185,360,247,448
817,585,177,73,422,457,-218,-55,22,192
344,634,-295,122,930,387,290,-125,157,320
762,807,122,295,514,272,-126,-240,67,320
713,334,73,-177,568,682,-72,170,292,192
462,438,-177,-73,827,604,187,92,202,192
664,571,24,59,614,432,-26,-80,67,64
713,689,73,177,572,326,-68,-186,67,192
566,334,-73,-177,738,697,98,185,247,192
344,389,-295,-122,913,629,273,117,202,320
517,807,-122,295,751,276,111,-236,112,320
615,452,-24,-59,679,598,39,86,247,64
811,98,171,-413,468,879,-172,367,292,448
1053,683,413,171,244,368,-396,-144,22,448
811,925,171,413,456,145,-184,-367,67,448
566,689,-73,177,743,340,103,-172,112,192
699,536,59,24,573,478,-67,-34,22,64
580,536,-59,24,763,465,123,-47,157,64
580,487,-59,-24,750,538,110,26,202,64
699,487,59,-24,580,538,-60,26,337,64
462,585,-177,73,807,438,167,-74,157,192
517,216,-122,-295,762,735,122,223,247,320
226,340,-413,-171,955,668,315,156,202,448
226,683,-413,171,987,366,347,-146,157,448
664,452,24,-59,618,583,-22,71,292,64
762,216,122,-295,521,774,-119,262,292,320
817,438,177,-73,465,599,-175,87,337,192
935,389,295,-122,362,647,-278,135,337,320
935,634,295,122,351,408,-289,-104,22,320
1053,340,413,-171,233,692,-407,180,337,448
615,571,-24,59,679,413,39,-99,112,64
811,98,171,-413,479,877,-161,365,292,448
226,340,-413,-171,1031,728,391,216,202,448
935,389,295,-122,313,641,-327,129,337,320
811,925,171,413,489,128,-151,-384,67,448
762,216,122,-295,488,826,-152,314,292,320
468,925,-171,413,804,88,164,-424,112,448
615,452,-24,-59,676,600,36,88,247,64
817,585,177,73,434,443,-206,-69,22,192
226,683,-413,171,986,368,346,-144,157,448
462,585,-177,73,819,437,179,-75,157,192
344,389,-295,-122,891,609,251,97,202,320
664,452,24,-59,599,592,-41,80,292,64
817,438,177,-73,492,583,-148,71,337,192
713,334,73,-177,569,650,-71,138,292,192
664,571,24,59,602,430,-38,-82,67,64
517,216,-122,-295,767,771,127,259,247,320
699,487,59,-24,553,555,-87,43,337,64
580,487,-59,-24,732,570,92,58,202,64
517,807,-122,295,724,254,84,-258,112,320
462,438,-177,-73,884,610,244,98,202,192
935,634,295,122,323,398,-317,-114,22,320
1053,683,413,171,260,373,-380,-139,22,448
699,536,59,24,559,486,-81,-26,22,64
762,807,122,295,551,226,-89,-286,67,320
1053,340,413,-171,237,714,-403,202,337,448
713,689,73,177,528,284,-112,-228,67,192
566,334,-73,-177,704,721,64,209,247,192
615,571,-24,59,689,435,49,-77,112,64
580,536,-59,24,706,476,66,-36,157,64
344,634,-295,122,910,406,270,-106,157,320
566,689,-73,177,713,340,73,-172,112,192
468,98,-171,-413,846,866,206,354,247,448
580,487,-59,-24,742,536,102,24,202,64
344,389,-295,-122,878,623,238,111,202,320
566,689,-73,177,705,335,65,-177,112,192
468,98,-171,-413,803,882,163,370,247,448
