targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
811,925,171,413,458,119,-182,-393,67,448
462,585,-177,73,805,440,165,-72,157,192
762,216,122,-295,504,796,-136,284,292,320
713,334,73,-177,572,709,-68,197,292,192
1053,340,413,-171,237,695,-403,183,337,448
468,925,-171,413,795,122,155,-390,112,448
517,216,-122,-295,805,799,165,287,247,320
344,389,-295,-122,991,660,351,148,202,320
762,807,122,295,526,219,-114,-293,67,320
664,452,24,-59,620,580,-20,68,292,64
817,585,177,73,470,444,-170,-68,22,192
699,536,59,24,583,490,-57,-22,22,64
615,571,-24,59,671,448,31,-64,112,64
935,634,295,122,380,367,-260,-145,22,320
817,438,177,-73,495,581,-145,69,337,192
517,807,-122,295,761,236,121,-276,112,320
344,634,-295,122,940,388,300,-124,157,320
566,689,-73,177,724,313,84,-199,112,192
226,340,-413,-171,1008,648,368,136,202,448
1053,683,413,171,206,326,-434,-186,22,448
713,689,73,177,579,330,-61,-182,67,192
566,334,-73,-177,728,670,88,158,247,192
664,571,24,59,614,445,-26,-67,67,64
615,452,-24,-59,672,568,32,56,247,64
226,683,-413,171,1018,346,378,-166,157,448
462,438,-177,-73,833,609,193,97,202,192
468,98,-171,-413,797,841,157,329,247,448
699,487,59,-24,570,540,-70,28,337,64
580,487,-59,-24,706,553,66,41,202,64
580,536,-59,24,710,481,70,-31,157,64
811,98,171,-413,474,881,-166,369,292,448
935,389,295,-122,356,649,-284,137,337,320
468,925,-171,413,789,129,149,-383,112,448
344,389,-295,-122,961,660,321,148,202,320
580,487,-59,-24,733,540,93,28,202,64
517,807,-122,295,749,249,109,-263,112,320
664,571,24,59,615,449,-25,-63,67,64
566,334,-73,-177,740,692,100,180,247,192
817,585,177,73,471,441,-169,-71,22,192
699,536,59,24,568,478,-72,-34,22,64
566,689,-73,177,707,369,67,-143,112,192
1053,340,413,-171,257,721,-383,209,337,448
468,98,-171,-413,804,841,164,329,247,448
811,98,171,-413,507,874,-133,362,292,448
935,634,295,122,378,415,-262,-97,22,320
935,389,295,-122,336,637,-304,125,337,320
226,683,-413,171,1023,367,383,-145,157,448
762,216,122,-295,532,811,-108,299,292,320
517,216,-122,-295,773,793,133,281,247,320
615,571,-24,59,683,430,43,-82,112,64
462,585,-177,73,801,448,161,-64,157,192
699,487,59,-24,593,541,-47,29,337,64
817,438,177,-73,501,565,-139,53,337,192
226,340,-413,-171,982,660,342,148,202,448
462,438,-177,-73,828,583,188,71,202,192
713,334,73,-177,585,697,-55,185,292,192
664,452,24,-59,620,573,-20,61,292,64
1053,683,413,171,257,326,-383,-186,22,448
344,634,-295,122,941,416,301,-96,157,320
615,452,-24,-59,679,589,39,77,247,64
762,807,122,295,527,254,-113,-258,67,320
811,925,171,413,486,167,-154,-345,67,448
713,689,73,177,538,307,-102,-205,67,192
580,536,-59,24,723,482,83,-30,157,64
226,340,-413,-171,977,683,337,171,202,448
580,487,-59,-24,719,552,79,40,202,64
468,925,-171,413,844,145,204,-367,112,448
517,216,-122,-295,797,805,157,293,247,320
517,807,-122,295,747,215,107,-297,112,320
817,438,177,-73,468,586,-172,74,337,192
