targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
344,634,-295,122,920,552,280,40,157,320
664,452,24,-59,520,691,-120,179,292,64
462,438,-177,-73,707,868,67,356,202,192
462,585,-177,73,569,749,-71,237,157,192
344,389,-295,-122,824,790,184,278,202,320
713,689,73,177,214,656,-426,144,67,192
811,925,171,413,426,174,-214,-338,67,448
699,487,59,-24,397,706,-243,194,337,64
1053,340,413,-171,176,834,-464,322,337,448
226,683,-413,171,840,529,200,17,157,448
762,216,122,-295,430,856,-210,344,292,320
811,98,171,-413,219,946,-421,434,292,448
762,807,122,295,289,404,-351,-108,67,320
699,536,59,24,262,686,-378,174,22,64
935,634,295,122,43,714,-597,202,22,320
615,571,-24,59,285,713,-355,201,112,64
817,585,177,73,234,702,-406,190,22,192
566,689,-73,177,171,663,-469,151,112,192
517,807,-122,295,232,519,-408,7,112,320
935,389,295,-122,103,933,-537,421,337,320
817,438,177,-73,245,699,-395,187,337,192
517,216,-122,-295,367,947,-273,435,247,320
615,452,-24,-59,304,821,-336,309,247,64
468,925,-171,413,187,350,-453,-162,112,448
580,487,-59,-24,305,814,-335,302,202,64
468,98,-171,-413,578,973,-62,461,247,448
566,334,-73,-177,228,911,-412,399,247,192
1053,683,413,171,113,600,-527,88,22,448
580,536,-59,24,274,818,-366,306,157,64
664,571,24,59,132,621,-508,109,67,64
226,340,-413,-171,785,857,145,345,202,448
713,334,73,-177,479,770,-161,258,292,192
517,216,-122,-295,680,907,40,395,247,320
344,634,-295,122,670,657,30,145,157,320
566,689,-73,177,344,604,-296,92,112,192
1053,683,413,171,137,626,-503,114,22,448
935,389,295,-122,123,788,-517,276,337,320
226,340,-413,-171,850,820,210,308,202,448
1053,340,413,-171,87,897,-553,385,337,448
580,487,-59,-24,438,797,-202,285,202,64
817,585,177,73,148,744,-492,232,22,192
699,536,59,24,78,690,-562,178,22,64
713,334,73,-177,190,896,-450,384,292,192
468,925,-171,413,460,248,-180,-264,112,448
462,438,-177,-73,461,825,-179,313,202,192
615,571,-24,59,163,742,-477,230,112,64
344,389,-295,-122,746,794,106,282,202,320
664,571,24,59,193,603,-447,91,67,64
615,452,-24,-59,366,841,-274,329,247,64
462,585,-177,73,480,641,-160,129,157,192
580,536,-59,24,425,719,-215,207,157,64
935,634,295,122,115,659,-525,147,22,320
811,925,171,413,299,239,-341,-273,67,448
762,807,122,295,104,527,-536,15,67,320
517,807,-122,295,276,572,-364,60,112,320
811,98,171,-413,207,933,-433,421,292,448
713,689,73,177,50,665,-590,153,67,192
817,438,177,-73,164,790,-476,278,337,192
699,487,59,-24,271,747,-369,235,337,64
664,452,24,-59,258,691,-382,179,292,64
566,334,-73,-177,211,952,-429,440,247,192
468,98,-171,-413,264,1023,-376,511,247,448
226,683,-413,171,502,599,-138,87,157,448
762,216,122,-295,126,909,-514,397,292,320
566,689,-73,177,314,650,-326,138,112,192
817,438,177,-73,162,819,-478,307,337,192
935,634,295,122,17,771,-623,259,22,320
811,925,171,413,70,464,-570,-48,67,448
517,216,-122,-295,531,949,-109,437,247,320
699,536,59,24,97,719,-543,207,22,64
468,98,-171,-413,500,990,-140,478,247,448
935,389,295,-122,123,849,-517,337,337,320
699,487,59,-24,301,693,-339,181,337,64
344,634,-295,122,496,594,-144,82,157,320
517,807,-122,295,182,523,-458,11,112,320
713,689,73,177,74,562,-566,50,67,192
811,98,171,-413,102,994,-538,482,292,448
226,683,-413,171,680,510,40,-2,157,448
615,571,-24,59,248,696,-392,184,112,64
713,334,73,-177,215,864,-425,352,292,192
817,585,177,73,135,722,-505,210,22,192
664,571,24,59,59,700,-581,188,67,64
615,452,-24,-59,287,795,-353,283,247,64
462,585,-177,73,447,612,-193,100,157,192
226,340,-413,-171,541,908,-99,396,202,448
580,536,-59,24,196,744,-444,232,157,64
566,334,-73,-177,200,871,-440,359,247,192
1053,683,413,171,63,542,-577,30,22,448
344,389,-295,-122,547,800,-93,288,202,320
