targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
462,585,-177,73,797,424,157,-88,157,192
615,452,-24,-59,647,564,7,52,247,64
517,216,-122,-295,743,771,103,259,247,320
580,487,-59,-24,683,522,43,10,202,64
664,571,24,59,601,439,-39,-73,67,64
713,334,73,-177,531,687,-109,175,292,192
468,925,-171,413,755,116,115,-396,112,448
566,334,-73,-177,679,677,39,165,247,192
226,340,-413,-171,1070,686,430,174,202,448
580,536,-59,24,696,486,56,-26,157,64
935,634,295,122,339,428,-301,-84,22,320
344,634,-295,122,861,457,221,-55,157,320
664,452,24,-59,516,641,-124,129,292,64
817,585,177,73,369,562,-271,50,22,192
1053,340,413,-171,259,740,-381,228,337,448
462,438,-177,-73,723,618,83,106,202,192
566,689,-73,177,620,390,-20,-122,112,192
468,98,-171,-413,735,877,95,365,247,448
344,389,-295,-122,855,689,215,177,202,320
699,487,59,-24,245,739,-395,227,337,64
762,216,122,-295,370,780,-270,268,292,320
935,389,295,-122,187,750,-453,238,337,320
615,571,-24,59,343,608,-297,96,112,64
762,807,122,295,254,379,-386,-133,67,320
517,807,-122,295,640,309,0,-203,112,320
226,683,-413,171,855,430,215,-82,157,448
1053,683,413,171,211,463,-429,-49,22,448
817,438,177,-73,373,660,-267,148,337,192
713,689,73,177,481,395,-159,-117,67,192
699,536,59,24,478,503,-162,-9,22,64
811,925,171,413,442,254,-198,-258,67,448
811,98,171,-413,402,935,-238,423,292,448
713,334,73,-177,372,800,-268,288,292,192
762,216,122,-295,270,892,-370,380,292,320
468,925,-171,413,549,157,-91,-355,112,448
517,807,-122,295,488,318,-152,-194,112,320
462,585,-177,73,548,593,-92,81,157,192
935,634,295,122,194,562,-446,50,22,320
935,389,295,-122,224,729,-416,217,337,320
817,438,177,-73,403,649,-237,137,337,192
762,807,122,295,246,344,-394,-168,67,320
1053,340,413,-171,185,774,-455,262,337,448
226,683,-413,171,748,467,108,-45,157,448
664,452,24,-59,283,705,-357,193,292,64
344,389,-295,-122,609,696,-31,184,202,320
580,487,-59,-24,428,721,-212,209,202,64
468,98,-171,-413,750,856,110,344,247,448
713,689,73,177,99,499,-541,-13,67,192
1053,683,413,171,41,552,-599,40,22,448
344,634,-295,122,844,401,204,-111,157,320
517,216,-122,-295,510,928,-130,416,247,320
580,536,-59,24,724,470,84,-42,157,64
664,571,24,59,32,651,-608,139,67,64
462,438,-177,-73,592,728,-48,216,202,192
226,340,-413,-171,1024,689,384,177,202,448
699,536,59,24,216,639,-424,127,22,64
566,334,-73,-177,626,737,-14,225,247,192
699,487,59,-24,424,605,-216,93,337,64
566,689,-73,177,502,369,-138,-143,112,192
811,925,171,413,63,283,-577,-229,67,448
615,571,-24,59,119,619,-521,107,112,64
817,585,177,73,19,682,-621,170,22,192
615,452,-24,-59,258,781,-382,269,247,64
811,98,171,-413,235,922,-405,410,292,448
566,689,-73,177,164,468,-476,-44,112,192
580,487,-59,-24,659,567,19,55,202,64
811,98,171,-413,320,953,-320,441,292,448
664,571,24,59,470,468,-170,-44,67,64
935,389,295,-122,137,780,-503,268,337,320
811,925,171,413,306,233,-334,-279,67,448
226,683,-413,171,909,389,269,-123,157,448
468,925,-171,413,282,261,-358,-251,112,448
817,585,177,73,44,681,-596,169,22,192
517,807,-122,295,250,415,-390,-97,112,320
699,487,59,-24,437,593,-203,81,337,64
1053,340,413,-171,129,822,-511,310,337,448
664,452,24,-59,398,698,-242,186,292,64
713,689,73,177,1,594,-639,82,67,192
462,438,-177,-73,505,732,-135,220,202,192
615,571,-24,59,187,551,-453,39,112,64
462,585,-177,73,508,548,-132,36,157,192
762,807,122,295,8,397,-632,-115,67,320
935,634,295,122,20,590,-620,78,22,320
566,334,-73,-177,451,814,-189,302,247,192
713,334,73,-177,201,841,-439,329,292,192
580,536,-59,24,407,558,-233,46,157,64
762,216,122,-295,258,849,-382,337,292,320
344,634,-295,122,564,474,-76,-38,157,320
344,389,-295,-122,788,651,148,139,202,320
615,452,-24,-59,328,779,-312,267,247,64
468,98,-171,-413,424,944,-216,432,247,448
