targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
615,571,-24,59,657,455,17,-57,112,64
935,634,295,122,359,345,-281,-167,22,320
226,683,-413,171,988,380,348,-132,157,448
713,334,73,-177,589,689,-51,177,292,192
664,452,24,-59,611,589,-29,77,292,64
699,487,59,-24,558,553,-82,41,337,64
762,807,122,295,526,215,-114,-297,67,320
817,585,177,73,470,409,-170,-103,22,192
713,689,73,177,586,317,-54,-195,67,192
615,452,-24,-59,676,587,36,75,247,64
468,925,-171,413,813,134,173,-378,112,448
817,438,177,-73,469,608,-171,96,337,192
517,807,-122,295,791,187,151,-325,112,320
462,585,-177,73,798,452,158,-60,157,192
566,334,-73,-177,728,656,88,144,247,192
462,438,-177,-73,814,559,174,47,202,192
1053,683,413,171,303,323,-337,-189,22,448
226,340,-413,-171,1042,635,402,123,202,448
468,98,-171,-413,832,886,192,374,247,448
566,689,-73,177,712,343,72,-169,112,192
811,98,171,-413,482,886,-158,374,292,448
762,216,122,-295,542,783,-98,271,292,320
699,536,59,24,576,480,-64,-32,22,64
664,571,24,59,607,446,-33,-66,67,64
935,389,295,-122,327,658,-313,146,337,320
580,536,-59,24,725,471,85,-41,157,64
344,634,-295,122,944,382,304,-130,157,320
1053,340,413,-171,234,738,-406,226,337,448
517,216,-122,-295,781,807,141,295,247,320
580,487,-59,-24,725,543,85,31,202,64
811,925,171,413,468,108,-172,-404,67,448
344,389,-295,-122,962,621,322,109,202,320
566,689,-73,177,731,332,91,-180,112,192
580,536,-59,24,718,479,78,-33,157,64
713,689,73,177,563,326,-77,-186,67,192
344,634,-295,122,941,387,301,-125,157,320
580,487,-59,-24,705,545,65,33,202,64
762,216,122,-295,548,836,-92,324,292,320
226,340,-413,-171,1098,674,458,162,202,448
817,585,177,73,458,421,-182,-91,22,192
664,571,24,59,615,445,-25,-67,67,64
462,438,-177,-73,795,579,155,67,202,192
615,571,-24,59,682,436,42,-76,112,64
468,98,-171,-413,797,884,157,372,247,448
664,452,24,-59,619,572,-21,60,292,64
344,389,-295,-122,977,620,337,108,202,320
762,807,122,295,527,207,-113,-305,67,320
817,438,177,-73,443,594,-197,82,337,192
566,334,-73,-177,741,670,101,158,247,192
699,487,59,-24,565,557,-75,45,337,64
699,536,59,24,572,480,-68,-32,22,64
811,925,171,413,493,103,-147,-409,67,448
517,216,-122,-295,782,772,142,260,247,320
1053,683,413,171,308,320,-332,-192,22,448
935,634,295,122,405,395,-235,-117,22,320
462,585,-177,73,778,462,138,-50,157,192
615,452,-24,-59,675,587,35,75,247,64
1053,340,413,-171,261,703,-379,191,337,448
468,925,-171,413,799,115,159,-397,112,448
935,389,295,-122,322,668,-318,156,337,320
517,807,-122,295,757,200,117,-312,112,320
811,98,171,-413,479,882,-161,370,292,448
226,683,-413,171,1028,364,388,-148,157,448
713,334,73,-177,593,700,-47,188,292,192
664,452,24,-59,620,596,-20,84,292,64
817,585,177,73,489,426,-151,-86,22,192
713,334,73,-177,572,699,-68,187,292,192
462,585,-177,73,808,465,168,-47,157,192
699,487,59,-24,559,556,-81,44,337,64
566,689,-73,177,728,350,88,-162,112,192
344,389,-295,-122,949,617,309,105,202,320
811,98,171,-413,465,908,-175,396,292,448
1053,340,413,-171,237,713,-403,201,337,448
226,683,-413,171,1096,343,456,-169,157,448
699,536,59,24,569,481,-71,-31,22,64
462,438,-177,-73,823,579,183,67,202,192
226,340,-413,-171,1075,676,435,164,202,448
580,536,-59,24,727,478,87,-34,157,64
566,334,-73,-177,734,680,94,168,247,192
811,925,171,413,438,108,-202,-404,67,448
817,438,177,-73,439,602,-201,90,337,192
580,487,-59,-24,726,546,86,34,202,64
615,452,-24,-59,664,567,24,55,247,64
1053,683,413,171,233,295,-407,-217,22,448
344,634,-295,122,878,418,238,-94,157,320
517,216,-122,-295,771,782,131,270,247,320
468,925,-171,413,819,94,179,-418,112,448
664,571,24,59,607,446,-33,-66,67,64
615,571,-24,59,667,452,27,-60,112,64
468,98,-171,-413,807,882,167,370,247,448
935,634,295,122,367,369,-273,-143,22,320
517,807,-122,295,756,190,116,-322,112,320
713,689,73,177,559,341,-81,-171,67,192
762,807,122,295,513,202,-127,-310,67,320
935,389,295,-122,335,653,-305,141,337,320
762,216,122,-295,529,809,-111,297,292,320
699,487,59,-24,571,550,-69,38,337,64
664,571,24,59,610,428,-30,-84,67,64
811,98,171,-413,486,920,-154,408,292,448
226,340,-413,-171,1094,700,454,188,202,448
664,452,24,-59,608,592,-32,80,292,64
462,585,-177,73,775,454,135,-58,157,192
344,389,-295,-122,968,610,328,98,202,320
468,98,-171,-413,835,877,195,365,247,448
580,487,-59,-24,705,544,65,32,202,64
811,925,171,413,440,45,-200,-467,67,448
713,334,73,-177,585,708,-55,196,292,192
566,689,-73,177,723,341,83,-171,112,192
762,216,122,-295,536,831,-104,319,292,320
615,571,-24,59,691,429,51,-83,112,64
1053,683,413,171,258,321,-382,-191,22,448
615,452,-24,-59,677,585,37,73,247,64
566,334,-73,-177,729,671,89,159,247,192
713,689,73,177,557,310,-83,-202,67,192
468,925,-171,413,786,85,146,-427,112,448
517,216,-122,-295,771,775,131,263,247,320
226,683,-413,171,1052,342,412,-170,157,448
762,807,122,295,521,202,-119,-310,67,320
935,389,295,-122,334,630,-306,118,337,320
935,634,295,122,376,369,-264,-143,22,320
462,438,-177,-73,852,567,212,55,202,192
699,536,59,24,590,493,-50,-19,22,64
817,438,177,-73,460,614,-180,102,337,192
344,634,-295,122,934,428,294,-84,157,320
517,807,-122,295,795,191,155,-321,112,320
1053,340,413,-171,293,671,-347,159,337,448
580,536,-59,24,716,481,76,-31,157,64
817,585,177,73,489,416,-151,-96,22,192
226,683,-413,171,1084,343,444,-169,157,448
935,389,295,-122,367,646,-273,134,337,320
713,689,73,177,541,334,-99,-178,67,192
468,98,-171,-413,806,876,166,364,247,448
699,536,59,24,552,494,-88,-18,22,64
615,571,-24,59,678,446,38,-66,112,64
566,334,-73,-177,714,662,74,150,247,192
462,438,-177,-73,798,578,158,66,202,192
817,438,177,-73,479,597,-161,85,337,192
566,689,-73,177,735,328,95,-184,112,192
817,585,177,73,463,442,-177,-70,22,192
935,634,295,122,394,386,-246,-126,22,320
462,585,-177,73,801,458,161,-54,157,192
664,452,24,-59,619,585,-21,73,292,64
580,487,-59,-24,714,538,74,26,202,64
344,634,-295,122,932,403,292,-109,157,320
344,389,-295,-122,987,615,347,103,202,320
811,98,171,-413,521,896,-119,384,292,448
615,452,-24,-59,676,581,36,69,247,64
713,334,73,-177,575,678,-65,166,292,192
517,216,-122,-295,842,798,202,286,247,320
664,571,24,59,612,431,-28,-81,67,64
762,216,122,-295,509,831,-131,319,292,320
580,536,-59,24,716,491,76,-21,157,64
226,340,-413,-171,1149,693,509,181,202,448
811,925,171,413,485,87,-155,-425,67,448
1053,683,413,171,273,354,-367,-158,22,448
762,807,122,295,504,209,-136,-303,67,320
517,807,-122,295,788,182,148,-330,112,320
468,925,-171,413,795,133,155,-379,112,448
1053,340,413,-171,272,686,-368,174,337,448
699,487,59,-24,580,541,-60,29,337,64
615,452,-24,-59,679,572,39,60,247,64
468,925,-171,413,824,65,184,-447,112,448
817,438,177,-73,482,601,-158,89,337,192
580,487,-59,-24,702,548,62,36,202,64
517,807,-122,295,798,208,158,-304,112,320
580,536,-59,24,721,473,81,-39,157,64
462,438,-177,-73,823,571,183,59,202,192
1053,683,413,171,273,328,-367,-184,22,448
664,452,24,-59,620,583,-20,71,292,64
226,683,-413,171,1079,334,439,-178,157,448
615,571,-24,59,676,447,36,-65,112,64
344,389,-295,-122,978,621,338,109,202,320
1053,340,413,-171,288,654,-352,142,337,448
762,216,122,-295,539,763,-101,251,292,320
664,571,24,59,624,440,-16,-72,67,64
817,585,177,73,472,440,-168,-72,22,192
935,634,295,122,401,383,-239,-129,22,320
566,334,-73,-177,733,691,93,179,247,192
713,689,73,177,560,323,-80,-189,67,192
699,536,59,24,576,481,-64,-31,22,64
468,98,-171,-413,862,902,222,390,247,448
811,925,171,413,487,122,-153,-390,67,448
699,487,59,-24,571,543,-69,31,337,64
517,216,-122,-295,772,790,132,278,247,320
762,807,122,295,520,194,-120,-318,67,320
566,689,-73,177,717,335,77,-177,112,192
811,98,171,-413,483,899,-157,387,292,448
935,389,295,-122,369,646,-271,134,337,320
344,634,-295,122,949,415,309,-97,157,320
462,585,-177,73,804,441,164,-71,157,192
713,334,73,-177,587,677,-53,165,292,192
226,340,-413,-171,1121,682,481,170,202,448
615,571,-24,59,663,453,23,-59,112,64
615,452,-24,-59,678,581,38,69,247,64
935,634,295,122,371,392,-269,-120,22,320
699,487,59,-24,591,555,-49,43,337,64
226,683,-413,171,1061,362,421,-150,157,448
713,689,73,177,552,325,-88,-187,67,192
817,585,177,73,461,443,-179,-69,22,192
762,216,122,-295,550,788,-90,276,292,320
462,438,-177,-73,856,575,216,63,202,192
811,98,171,-413,479,917,-161,405,292,448
344,634,-295,122,928,412,288,-100,157,320
580,487,-59,-24,694,538,54,26,202,64
517,807,-122,295,775,171,135,-341,112,320
713,334,73,-177,584,677,-56,165,292,192
344,389,-295,-122,1003,623,363,111,202,320
468,98,-171,-413,829,865,189,353,247,448
699,536,59,24,579,487,-61,-25,22,64
