targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
699,536,59,24,571,479,-69,-33,22,64
713,689,73,177,554,331,-86,-181,67,192
226,683,-413,171,1048,325,408,-187,157,448
566,689,-73,177,719,337,79,-175,112,192
468,925,-171,413,812,90,172,-422,112,448
580,536,-59,24,701,488,61,-24,157,64
462,585,-177,73,817,435,177,-77,157,192
1053,683,413,171,252,350,-388,-162,22,448
344,389,-295,-122,942,642,302,130,202,320
762,807,122,295,484,189,-156,-323,67,320
1053,340,413,-171,243,683,-397,171,337,448
664,571,24,59,611,451,-29,-61,67,64
811,98,171,-413,458,898,-182,386,292,448
615,571,-24,59,668,454,28,-58,112,64
566,334,-73,-177,722,677,82,165,247,192
344,634,-295,122,963,389,323,-123,157,320
468,98,-171,-413,879,908,239,396,247,448
935,634,295,122,371,388,-269,-124,22,320
817,585,177,73,459,439,-181,-73,22,192
935,389,295,-122,344,630,-296,118,337,320
713,334,73,-177,562,711,-78,199,292,192
664,452,24,-59,614,581,-26,69,292,64
462,438,-177,-73,819,585,179,73,202,192
615,452,-24,-59,668,566,28,54,247,64
762,216,122,-295,527,796,-113,284,292,320
226,340,-413,-171,1119,720,479,208,202,448
817,438,177,-73,451,588,-189,76,337,192
811,925,171,413,456,46,-184,-466,67,448
580,487,-59,-24,700,544,60,32,202,64
517,216,-122,-295,784,802,144,290,247,320
517,807,-122,295,758,200,118,-312,112,320
699,487,59,-24,577,543,-63,31,337,64
817,438,177,-73,457,600,-183,88,337,192
462,438,-177,-73,825,591,185,79,202,192
517,807,-122,295,775,211,135,-301,112,320
1053,683,413,171,226,334,-414,-178,22,448
344,389,-295,-122,979,649,339,137,202,320
462,585,-177,73,806,453,166,-59,157,192
811,98,171,-413,475,892,-165,380,292,448
517,216,-122,-295,769,789,129,277,247,320
713,689,73,177,544,329,-96,-183,67,192
580,487,-59,-24,709,541,69,29,202,64
699,487,59,-24,576,548,-64,36,337,64
566,689,-73,177,711,333,71,-179,112,192
226,340,-413,-171,1123,716,483,204,202,448
811,925,171,413,466,89,-174,-423,67,448
817,585,177,73,481,431,-159,-81,22,192
468,98,-171,-413,831,894,191,382,247,448
935,389,295,-122,347,644,-293,132,337,320
713,334,73,-177,578,686,-62,174,292,192
1053,340,413,-171,227,689,-413,177,337,448
762,216,122,-295,530,801,-110,289,292,320
664,452,24,-59,612,569,-28,57,292,64
615,571,-24,59,676,445,36,-67,112,64
664,571,24,59,614,445,-26,-67,67,64
615,452,-24,-59,681,569,41,57,247,64
935,634,295,122,339,393,-301,-119,22,320
699,536,59,24,580,486,-60,-26,22,64
566,334,-73,-177,721,691,81,179,247,192
468,925,-171,413,829,102,189,-410,112,448
226,683,-413,171,1083,296,443,-216,157,448
762,807,122,295,512,191,-128,-321,67,320
344,634,-295,122,920,420,280,-92,157,320
580,536,-59,24,702,490,62,-22,157,64
713,689,73,177,567,314,-73,-198,67,192
762,216,122,-295,515,820,-125,308,292,320
462,438,-177,-73,838,585,198,73,202,192
713,334,73,-177,557,679,-83,167,292,192
1053,683,413,171,261,372,-379,-140,22,448
615,571,-24,59,672,451,32,-61,112,64
580,487,-59,-24,708,549,68,37,202,64
226,683,-413,171,1081,332,441,-180,157,448
935,389,295,-122,365,628,-275,116,337,320
344,634,-295,122,933,393,293,-119,157,320
