targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
713,334,73,-177,531,645,-109,133,292,192
344,634,-295,122,926,402,286,-110,157,320
580,536,-59,24,727,485,87,-27,157,64
935,634,295,122,476,408,-164,-104,22,320
580,487,-59,-24,726,547,86,35,202,64
935,389,295,-122,425,571,-215,59,337,320
762,216,122,-295,537,701,-103,189,292,320
468,925,-171,413,827,130,187,-382,112,448
699,536,59,24,582,488,-58,-24,22,64
664,452,24,-59,603,549,-37,37,292,64
468,98,-171,-413,868,835,228,323,247,448
811,925,171,413,532,242,-108,-270,67,448
817,438,177,-73,503,550,-137,38,337,192
226,683,-413,171,1059,288,419,-224,157,448
615,571,-24,59,665,459,25,-53,112,64
615,452,-24,-59,659,571,19,59,247,64
817,585,177,73,523,427,-117,-85,22,192
517,216,-122,-295,746,698,106,186,247,320
566,334,-73,-177,701,662,61,150,247,192
699,487,59,-24,594,530,-46,18,337,64
1053,340,413,-171,416,586,-224,74,337,448
226,340,-413,-171,972,651,332,139,202,448
811,98,171,-413,480,766,-160,254,292,448
517,807,-122,295,748,245,108,-267,112,320
664,571,24,59,614,463,-26,-49,67,64
1053,683,413,171,412,341,-228,-171,22,448
713,689,73,177,563,347,-77,-165,67,192
566,689,-73,177,738,329,98,-183,112,192
344,389,-295,-122,922,683,282,171,202,320
462,585,-177,73,823,405,183,-107,157,192
462,438,-177,-73,825,607,185,95,202,192
762,807,122,295,478,302,-162,-210,67,320
811,925,171,413,527,184,-113,-328,67,448
817,585,177,73,510,404,-130,-108,22,192
762,216,122,-295,539,718,-101,206,292,320
517,216,-122,-295,751,750,111,238,247,320
615,571,-24,59,667,420,27,-92,112,64
817,438,177,-73,472,551,-168,39,337,192
664,571,24,59,623,437,-17,-75,67,64
468,925,-171,413,840,143,200,-369,112,448
1053,340,413,-171,328,564,-312,52,337,448
713,689,73,177,600,312,-40,-200,67,192
344,634,-295,122,982,360,342,-152,157,320
713,334,73,-177,530,659,-110,147,292,192
226,683,-413,171,1048,336,408,-176,157,448
344,389,-295,-122,888,674,248,162,202,320
517,807,-122,295,785,179,145,-333,112,320
580,487,-59,-24,725,557,85,45,202,64
580,536,-59,24,694,473,54,-39,157,64
762,807,122,295,541,233,-99,-279,67,320
811,98,171,-413,520,760,-120,248,292,448
935,389,295,-122,440,568,-200,56,337,320
664,452,24,-59,596,581,-44,69,292,64
1053,683,413,171,370,355,-270,-157,22,448
468,98,-171,-413,775,831,135,319,247,448
226,340,-413,-171,1006,697,366,185,202,448
566,689,-73,177,752,296,112,-216,112,192
462,585,-177,73,881,393,241,-119,157,192
566,334,-73,-177,763,715,123,203,247,192
615,452,-24,-59,676,580,36,68,247,64
699,487,59,-24,551,534,-89,22,337,64
462,438,-177,-73,860,574,220,62,202,192
935,634,295,122,462,393,-178,-119,22,320
699,536,59,24,597,498,-43,-14,22,64
699,487,59,-24,572,533,-68,21,337,64
615,452,-24,-59,686,568,46,56,247,64
566,334,-73,-177,717,691,77,179,247,192
468,98,-171,-413,860,810,220,298,247,448
935,389,295,-122,466,554,-174,42,337,320
1053,683,413,171,480,320,-160,-192,22,448
517,216,-122,-295,797,736,157,224,247,320
580,536,-59,24,724,480,84,-32,157,64
517,807,-122,295,771,227,131,-285,112,320
699,536,59,24,639,511,-1,-1,22,64
762,216,122,-295,582,683,-58,171,292,320
344,389,-295,-122,884,604,244,92,202,320
468,925,-171,413,828,116,188,-396,112,448
817,585,177,73,529,420,-111,-92,22,192
226,683,-413,171,1027,300,387,-212,157,448
615,571,-24,59,677,448,37,-64,112,64
462,438,-177,-73,919,639,279,127,202,192
713,689,73,177,578,319,-62,-193,67,192
817,438,177,-73,491,582,-149,70,337,192
762,807,122,295,507,223,-133,-289,67,320
713,334,73,-177,575,676,-65,164,292,192
580,487,-59,-24,738,564,98,52,202,64
344,634,-295,122,929,312,289,-200,157,320
811,98,171,-413,513,772,-127,260,292,448
664,571,24,59,618,429,-22,-83,67,64
935,634,295,122,471,385,-169,-127,22,320
664,452,24,-59,612,569,-28,57,292,64
462,585,-177,73,896,437,256,-75,157,192
226,340,-413,-171,961,732,321,220,202,448
566,689,-73,177,772,319,132,-193,112,192
811,925,171,413,527,161,-113,-351,67,448
1053,340,413,-171,430,645,-210,133,337,448
462,438,-177,-73,905,616,265,104,202,192
462,585,-177,73,847,403,207,-109,157,192
713,689,73,177,540,331,-100,-181,67,192
615,452,-24,-59,686,593,46,81,247,64
615,571,-24,59,697,412,57,-100,112,64
344,634,-295,122,960,320,320,-192,157,320
664,452,24,-59,605,594,-35,82,292,64
517,807,-122,295,775,207,135,-305,112,320
699,536,59,24,570,480,-70,-32,22,64
566,334,-73,-177,752,680,112,168,247,192
468,98,-171,-413,799,825,159,313,247,448
713,334,73,-177,579,674,-61,162,292,192
566,689,-73,177,730,283,90,-229,112,192
762,807,122,295,521,226,-119,-286,67,320
