targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
762,216,122,-295,498,777,-142,265,292,320
935,389,295,-122,385,582,-255,70,337,320
664,571,24,59,618,455,-22,-57,67,64
566,689,-73,177,707,375,67,-137,112,192
699,536,59,24,590,483,-50,-29,22,64
226,340,-413,-171,1023,701,383,189,202,448
615,452,-24,-59,667,575,27,63,247,64
344,634,-295,122,914,388,274,-124,157,320
344,389,-295,-122,923,645,283,133,202,320
566,334,-73,-177,717,667,77,155,247,192
1053,683,413,171,355,360,-285,-152,22,448
713,334,73,-177,581,662,-59,150,292,192
468,925,-171,413,772,188,132,-324,112,448
664,452,24,-59,613,562,-27,50,292,64
462,585,-177,73,785,454,145,-58,157,192
762,807,122,295,524,276,-116,-236,67,320
226,683,-413,171,955,299,315,-213,157,448
517,216,-122,-295,765,742,125,230,247,320
811,98,171,-413,456,889,-184,377,292,448
713,689,73,177,545,341,-95,-171,67,192
811,925,171,413,475,151,-165,-361,67,448
517,807,-122,295,755,238,115,-274,112,320
580,536,-59,24,702,478,62,-34,157,64
468,98,-171,-413,799,889,159,377,247,448
615,571,-24,59,666,439,26,-73,112,64
935,634,295,122,344,410,-296,-102,22,320
817,585,177,73,463,431,-177,-81,22,192
817,438,177,-73,495,566,-145,54,337,192
1053,340,413,-171,250,631,-390,119,337,448
462,438,-177,-73,837,564,197,52,202,192
580,487,-59,-24,695,540,55,28,202,64
699,487,59,-24,571,532,-69,20,337,64
713,334,73,-177,561,666,-79,154,292,192
468,925,-171,413,777,159,137,-353,112,448
935,634,295,122,395,390,-245,-122,22,320
566,334,-73,-177,714,680,74,168,247,192
566,689,-73,177,715,352,75,-160,112,192
699,536,59,24,577,484,-63,-28,22,64
817,438,177,-73,447,555,-193,43,337,192
811,925,171,413,499,186,-141,-326,67,448
1053,683,413,171,317,290,-323,-222,22,448
226,683,-413,171,972,352,332,-160,157,448
580,536,-59,24,701,489,61,-23,157,64
811,98,171,-413,412,895,-228,383,292,448
762,807,122,295,511,222,-129,-290,67,320
517,216,-122,-295,768,768,128,256,247,320
664,571,24,59,616,467,-24,-45,67,64
462,438,-177,-73,832,581,192,69,202,192
1053,340,413,-171,293,598,-347,86,337,448
762,216,122,-295,530,748,-110,236,292,320
344,389,-295,-122,895,618,255,106,202,320
935,389,295,-122,369,571,-271,59,337,320
226,340,-413,-171,1008,631,368,119,202,448
462,585,-177,73,762,436,122,-76,157,192
713,689,73,177,561,315,-79,-197,67,192
517,807,-122,295,743,262,103,-250,112,320
580,487,-59,-24,708,542,68,30,202,64
817,585,177,73,482,437,-158,-75,22,192
664,452,24,-59,613,564,-27,52,292,64
468,98,-171,-413,835,868,195,356,247,448
615,452,-24,-59,673,574,33,62,247,64
615,571,-24,59,658,460,18,-52,112,64
699,487,59,-24,585,539,-55,27,337,64
344,634,-295,122,842,401,202,-111,157,320
615,571,-24,59,664,449,24,-63,112,64
517,216,-122,-295,730,743,90,231,247,320
699,487,59,-24,577,534,-63,22,337,64
344,389,-295,-122,895,598,255,86,202,320
811,925,171,413,484,229,-156,-283,67,448
462,585,-177,73,799,432,159,-80,157,192
566,689,-73,177,698,349,58,-163,112,192
344,634,-295,122,885,402,245,-110,157,320
468,925,-171,413,744,199,104,-313,112,448
580,536,-59,24,706,483,66,-29,157,64
935,634,295,122,377,390,-263,-122,22,320
