targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
462,438,-177,-73,805,604,165,92,202,192
615,452,-24,-59,674,590,34,78,247,64
462,585,-177,73,807,442,167,-70,157,192
344,634,-295,122,894,406,254,-106,157,320
566,689,-73,177,707,346,67,-166,112,192
817,438,177,-73,439,562,-201,50,337,192
664,452,24,-59,615,572,-25,60,292,64
615,571,-24,59,673,447,33,-65,112,64
713,334,73,-177,543,683,-97,171,292,192
517,807,-122,295,740,270,100,-242,112,320
699,536,59,24,585,488,-55,-24,22,64
935,634,295,122,381,380,-259,-132,22,320
468,98,-171,-413,788,905,148,393,247,448
344,389,-295,-122,957,673,317,161,202,320
713,689,73,177,602,353,-38,-159,67,192
817,585,177,73,484,441,-156,-71,22,192
935,389,295,-122,327,607,-313,95,337,320
699,487,59,-24,573,537,-67,25,337,64
566,334,-73,-177,729,730,89,218,247,192
1053,683,413,171,298,347,-342,-165,22,448
664,571,24,59,632,462,-8,-50,67,64
1053,340,413,-171,220,634,-420,122,337,448
762,216,122,-295,444,798,-196,286,292,320
811,98,171,-413,362,889,-278,377,292,448
580,536,-59,24,700,485,60,-27,157,64
811,925,171,413,550,112,-90,-400,67,448
226,340,-413,-171,1068,752,428,240,202,448
762,807,122,295,574,225,-66,-287,67,320
226,683,-413,171,1035,349,395,-163,157,448
468,925,-171,413,801,186,161,-326,112,448
517,216,-122,-295,776,836,136,324,247,320
580,487,-59,-24,714,545,74,33,202,64
580,487,-59,-24,715,547,75,35,202,64
462,585,-177,73,811,444,171,-68,157,192
762,216,122,-295,450,818,-190,306,292,320
517,216,-122,-295,758,859,118,347,247,320
344,634,-295,122,881,403,241,-109,157,320
344,389,-295,-122,930,674,290,162,202,320
566,689,-73,177,710,369,70,-143,112,192
713,689,73,177,598,361,-42,-151,67,192
817,585,177,73,501,446,-139,-66,22,192
615,452,-24,-59,675,584,35,72,247,64
935,389,295,-122,318,593,-322,81,337,320
1053,683,413,171,271,308,-369,-204,22,448
817,438,177,-73,449,558,-191,46,337,192
517,807,-122,295,760,266,120,-246,112,320
615,571,-24,59,666,454,26,-58,112,64
468,925,-171,413,798,165,158,-347,112,448
226,683,-413,171,1021,390,381,-122,157,448
699,536,59,24,592,481,-48,-31,22,64
566,334,-73,-177,732,725,92,213,247,192
811,925,171,413,524,107,-116,-405,67,448
580,536,-59,24,699,496,59,-16,157,64
762,807,122,295,558,251,-82,-261,67,320
