targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
615,452,-24,-59,684,585,44,73,247,64
226,340,-413,-171,1037,685,397,173,202,448
344,634,-295,122,880,367,240,-145,157,320
615,571,-24,59,668,452,28,-60,112,64
1053,683,413,171,313,361,-327,-151,22,448
344,389,-295,-122,959,652,319,140,202,320
580,536,-59,24,706,481,66,-31,157,64
1053,340,413,-171,261,684,-379,172,337,448
664,571,24,59,631,454,-9,-58,67,64
817,585,177,73,512,466,-128,-46,22,192
664,452,24,-59,613,575,-27,63,292,64
462,438,-177,-73,855,597,215,85,202,192
811,98,171,-413,462,897,-178,385,292,448
517,807,-122,295,769,217,129,-295,112,320
935,634,295,122,415,413,-225,-99,22,320
517,216,-122,-295,841,841,201,329,247,320
699,536,59,24,573,486,-67,-26,22,64
580,487,-59,-24,707,541,67,29,202,64
566,334,-73,-177,747,720,107,208,247,192
566,689,-73,177,724,355,84,-157,112,192
811,925,171,413,496,148,-144,-364,67,448
713,334,73,-177,555,676,-85,164,292,192
462,585,-177,73,801,454,161,-58,157,192
468,925,-171,413,822,129,182,-383,112,448
817,438,177,-73,456,569,-184,57,337,192
762,216,122,-295,492,827,-148,315,292,320
713,689,73,177,603,357,-37,-155,67,192
762,807,122,295,553,226,-87,-286,67,320
226,683,-413,171,1043,315,403,-197,157,448
935,389,295,-122,312,631,-328,119,337,320
468,98,-171,-413,863,929,223,417,247,448
699,487,59,-24,584,526,-56,14,337,64
817,585,177,73,516,458,-124,-54,22,192
468,98,-171,-413,900,928,260,416,247,448
713,334,73,-177,573,680,-67,168,292,192
580,487,-59,-24,705,538,65,26,202,64
226,683,-413,171,1071,331,431,-181,157,448
615,571,-24,59,671,445,31,-67,112,64
462,585,-177,73,811,436,171,-76,157,192
344,634,-295,122,892,376,252,-136,157,320
762,216,122,-295,494,848,-146,336,292,320
699,536,59,24,573,488,-67,-24,22,64
226,340,-413,-171,1116,715,476,203,202,448
817,438,177,-73,446,573,-194,61,337,192
462,438,-177,-73,829,579,189,67,202,192
811,98,171,-413,401,940,-239,428,292,448
699,487,59,-24,579,535,-61,23,337,64
566,689,-73,177,730,334,90,-178,112,192
664,571,24,59,624,452,-16,-60,67,64
566,334,-73,-177,752,699,112,187,247,192
935,634,295,122,385,390,-255,-122,22,320
713,689,73,177,605,347,-35,-165,67,192
762,807,122,295,547,230,-93,-282,67,320
517,216,-122,-295,799,825,159,313,247,320
664,452,24,-59,615,579,-25,67,292,64
1053,683,413,171,327,349,-313,-163,22,448
615,452,-24,-59,685,587,45,75,247,64
468,925,-171,413,818,94,178,-418,112,448
344,389,-295,-122,979,645,339,133,202,320
580,536,-59,24,717,482,77,-30,157,64
935,389,295,-122,359,640,-281,128,337,320
811,925,171,413,525,122,-115,-390,67,448
517,807,-122,295,750,249,110,-263,112,320
1053,340,413,-171,176,679,-464,167,337,448
713,334,73,-177,549,720,-91,208,292,192
699,487,59,-24,576,532,-64,20,337,64
615,571,-24,59,677,454,37,-58,112,64
580,536,-59,24,703,490,63,-22,157,64
468,925,-171,413,794,148,154,-364,112,448
935,634,295,122,429,419,-211,-93,22,320
226,340,-413,-171,1093,703,453,191,202,448
468,98,-171,-413,853,918,213,406,247,448
462,438,-177,-73,844,595,204,83,202,192
817,438,177,-73,488,575,-152,63,337,192
811,98,171,-413,402,953,-238,441,292,448
615,452,-24,-59,677,581,37,69,247,64
699,536,59,24,596,491,-44,-21,22,64
762,807,122,295,580,246,-60,-266,67,320
517,807,-122,295,764,265,124,-247,112,320
811,925,171,413,506,73,-134,-439,67,448
462,585,-177,73,833,436,193,-76,157,192
580,487,-59,-24,716,547,76,35,202,64
1053,340,413,-171,213,681,-427,169,337,448
344,634,-295,122,914,398,274,-114,157,320
713,689,73,177,600,380,-40,-132,67,192
935,389,295,-122,328,639,-312,127,337,320
664,571,24,59,626,459,-14,-53,67,64
1053,683,413,171,329,366,-311,-146,22,448
226,683,-413,171,1053,321,413,-191,157,448
664,452,24,-59,617,588,-23,76,292,64
566,334,-73,-177,753,719,113,207,247,192
566,689,-73,177,710,356,70,-156,112,192
817,585,177,73,492,430,-148,-82,22,192
344,389,-295,-122,964,647,324,135,202,320
517,216,-122,-295,819,829,179,317,247,320
762,216,122,-295,478,815,-162,303,292,320
817,585,177,73,496,435,-144,-77,22,192
468,98,-171,-413,856,916,216,404,247,448
344,389,-295,-122,973,648,333,136,202,320
226,683,-413,171,993,315,353,-197,157,448
811,98,171,-413,429,925,-211,413,292,448
1053,340,413,-171,239,668,-401,156,337,448
713,689,73,177,605,346,-35,-166,67,192
699,536,59,24,597,491,-43,-21,22,64
1053,683,413,171,292,325,-348,-187,22,448
462,585,-177,73,829,445,189,-67,157,192
699,487,59,-24,591,543,-49,31,337,64
517,216,-122,-295,833,858,193,346,247,320
817,438,177,-73,476,581,-164,69,337,192
935,634,295,122,410,390,-230,-122,22,320
580,536,-59,24,715,479,75,-33,157,64
615,571,-24,59,673,455,33,-57,112,64
580,487,-59,-24,710,542,70,30,202,64
615,452,-24,-59,671,578,31,66,247,64
811,925,171,413,540,120,-100,-392,67,448
566,689,-73,177,738,329,98,-183,112,192
713,334,73,-177,583,706,-57,194,292,192
462,438,-177,-73,857,598,217,86,202,192
762,807,122,295,572,277,-68,-235,67,320
344,634,-295,122,935,363,295,-149,157,320
762,216,122,-295,512,824,-128,312,292,320
935,389,295,-122,370,600,-270,88,337,320
517,807,-122,295,745,225,105,-287,112,320
664,571,24,59,618,456,-22,-56,67,64
226,340,-413,-171,1062,692,422,180,202,448
566,334,-73,-177,757,748,117,236,247,192
664,452,24,-59,622,581,-18,69,292,64
468,925,-171,413,795,153,155,-359,112,448
468,98,-171,-413,872,898,232,386,247,448
517,216,-122,-295,808,828,168,316,247,320
1053,683,413,171,306,335,-334,-177,22,448
817,438,177,-73,470,589,-170,77,337,192
935,634,295,122,375,380,-265,-132,22,320
699,536,59,24,587,492,-53,-20,22,64
811,925,171,413,549,100,-91,-412,67,448
580,487,-59,-24,712,549,72,37,202,64
226,683,-413,171,1024,335,384,-177,157,448
713,334,73,-177,572,713,-68,201,292,192
615,452,-24,-59,679,569,39,57,247,64
462,438,-177,-73,836,589,196,77,202,192
762,807,122,295,564,265,-76,-247,67,320
517,807,-122,295,754,261,114,-251,112,320
935,389,295,-122,343,628,-297,116,337,320
762,216,122,-295,502,817,-138,305,292,320
1053,340,413,-171,226,667,-414,155,337,448
226,340,-413,-171,1094,731,454,219,202,448
664,571,24,59,622,454,-18,-58,67,64
468,925,-171,413,774,161,134,-351,112,448
344,389,-295,-122,958,645,318,133,202,320
344,634,-295,122,932,369,292,-143,157,320
664,452,24,-59,613,579,-27,67,292,64
462,585,-177,73,819,435,179,-77,157,192
566,689,-73,177,724,339,84,-173,112,192
615,571,-24,59,672,454,32,-58,112,64
580,536,-59,24,702,487,62,-25,157,64
699,487,59,-24,589,540,-51,28,337,64
713,689,73,177,613,375,-27,-137,67,192
566,334,-73,-177,760,708,120,196,247,192
817,585,177,73,501,448,-139,-64,22,192
811,98,171,-413,432,921,-208,409,292,448
566,689,-73,177,716,345,76,-167,112,192
713,689,73,177,602,360,-38,-152,67,192
580,536,-59,24,702,488,62,-24,157,64
462,438,-177,-73,874,589,234,77,202,192
817,438,177,-73,475,580,-165,68,337,192
811,98,171,-413,422,875,-218,363,292,448
580,487,-59,-24,704,547,64,35,202,64
699,536,59,24,580,484,-60,-28,22,64
226,683,-413,171,1016,284,376,-228,157,448
811,925,171,413,511,59,-129,-453,67,448
817,585,177,73,510,456,-130,-56,22,192
566,334,-73,-177,742,687,102,175,247,192
935,389,295,-122,426,616,-214,104,337,320
664,571,24,59,622,447,-18,-65,67,64
468,925,-171,413,800,185,160,-327,112,448
664,452,24,-59,612,577,-28,65,292,64
1053,683,413,171,285,333,-355,-179,22,448
935,634,295,122,410,426,-230,-86,22,320
226,340,-413,-171,1099,732,459,220,202,448
462,585,-177,73,794,442,154,-70,157,192
615,452,-24,-59,679,578,39,66,247,64
1053,340,413,-171,257,668,-383,156,337,448
713,334,73,-177,584,698,-56,186,292,192
699,487,59,-24,577,543,-63,31,337,64
517,216,-122,-295,803,820,163,308,247,320
344,634,-295,122,933,384,293,-128,157,320
615,571,-24,59,674,452,34,-60,112,64
468,98,-171,-413,890,936,250,424,247,448
344,389,-295,-122,947,649,307,137,202,320
762,216,122,-295,502,793,-138,281,292,320
517,807,-122,295,754,248,114,-264,112,320
762,807,122,295,549,254,-91,-258,67,320
615,571,-24,59,674,447,34,-65,112,64
1053,683,413,171,331,351,-309,-161,22,448
580,536,-59,24,703,497,63,-15,157,64
817,585,177,73,514,461,-126,-51,22,192
344,634,-295,122,885,391,245,-121,157,320
566,334,-73,-177,737,702,97,190,247,192
580,487,-59,-24,712,549,72,37,202,64
462,438,-177,-73,848,599,208,87,202,192
935,634,295,122,392,389,-248,-123,22,320
713,689,73,177,597,356,-43,-156,67,192
468,98,-171,-413,838,899,198,387,247,448
468,925,-171,413,781,155,141,-357,112,448
517,216,-122,-295,809,826,169,314,247,320
566,689,-73,177,718,364,78,-148,112,192
226,340,-413,-171,1079,687,439,175,202,448
817,438,177,-73,475,582,-165,70,337,192
226,683,-413,171,1012,333,372,-179,157,448
344,389,-295,-122,964,643,324,131,202,320
811,925,171,413,454,122,-186,-390,67,448
713,334,73,-177,574,682,-66,170,292,192
699,487,59,-24,583,530,-57,18,337,64
699,536,59,24,583,491,-57,-21,22,64
517,807,-122,295,742,253,102,-259,112,320
762,216,122,-295,479,785,-161,273,292,320
762,807,122,295,514,268,-126,-244,67,320
935,389,295,-122,343,601,-297,89,337,320
811,98,171,-413,415,872,-225,360,292,448
1053,340,413,-171,276,643,-364,131,337,448
462,585,-177,73,796,448,156,-64,157,192
664,452,24,-59,618,579,-22,67,292,64
664,571,24,59,625,457,-15,-55,67,64
615,452,-24,-59,676,573,36,61,247,64
