targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
1053,683,413,171,294,355,-346,-157,22,448
468,98,-171,-413,833,920,193,408,247,448
713,689,73,177,557,332,-83,-180,67,192
462,585,-177,73,800,442,160,-70,157,192
817,585,177,73,467,442,-173,-70,22,192
762,807,122,295,523,228,-117,-284,67,320
811,98,171,-413,431,945,-209,433,292,448
517,216,-122,-295,788,831,148,319,247,320
699,487,59,-24,585,541,-55,29,337,64
713,334,73,-177,556,682,-84,170,292,192
468,925,-171,413,781,158,141,-354,112,448
664,452,24,-59,614,569,-26,57,292,64
517,807,-122,295,735,249,95,-263,112,320
664,571,24,59,618,449,-22,-63,67,64
615,452,-24,-59,669,572,29,60,247,64
566,689,-73,177,709,335,69,-177,112,192
615,571,-24,59,667,451,27,-61,112,64
580,487,-59,-24,711,546,71,34,202,64
344,389,-295,-122,922,644,282,132,202,320
226,683,-413,171,985,350,345,-162,157,448
580,536,-59,24,702,482,62,-30,157,64
762,216,122,-295,487,838,-153,326,292,320
935,634,295,122,364,388,-276,-124,22,320
811,925,171,413,478,133,-162,-379,67,448
226,340,-413,-171,1060,717,420,205,202,448
817,438,177,-73,460,570,-180,58,337,192
344,634,-295,122,900,376,260,-136,157,320
935,389,295,-122,314,634,-326,122,337,320
1053,340,413,-171,168,664,-472,152,337,448
462,438,-177,-73,821,583,181,71,202,192
566,334,-73,-177,729,691,89,179,247,192
699,536,59,24,592,490,-48,-22,22,64
817,438,177,-73,450,571,-190,59,337,192
713,689,73,177,579,342,-61,-170,67,192
817,585,177,73,470,436,-170,-76,22,192
580,487,-59,-24,704,544,64,32,202,64
468,98,-171,-413,843,907,203,395,247,448
935,389,295,-122,326,620,-314,108,337,320
699,536,59,24,580,493,-60,-19,22,64
713,334,73,-177,557,688,-83,176,292,192
615,571,-24,59,666,446,26,-66,112,64
344,389,-295,-122,954,649,314,137,202,320
566,689,-73,177,707,342,67,-170,112,192
462,585,-177,73,799,443,159,-69,157,192
517,807,-122,295,744,245,104,-267,112,320
811,98,171,-413,408,931,-232,419,292,448
226,683,-413,171,995,322,355,-190,157,448
664,571,24,59,618,457,-22,-55,67,64
462,438,-177,-73,812,590,172,78,202,192
762,216,122,-295,475,807,-165,295,292,320
1053,683,413,171,281,355,-359,-157,22,448
699,487,59,-24,578,534,-62,22,337,64
344,634,-295,122,881,391,241,-121,157,320
468,925,-171,413,787,168,147,-344,112,448
517,216,-122,-295,777,811,137,299,247,320
615,452,-24,-59,667,575,27,63,247,64
580,536,-59,24,699,487,59,-25,157,64
935,634,295,122,343,398,-297,-114,22,320
566,334,-73,-177,725,678,85,166,247,192
664,452,24,-59,615,570,-25,58,292,64
762,807,122,295,542,238,-98,-274,67,320
1053,340,413,-171,191,650,-449,138,337,448
226,340,-413,-171,1045,706,405,194,202,448
811,925,171,413,486,175,-154,-337,67,448
344,389,-295,-122,933,651,293,139,202,320
344,634,-295,122,893,383,253,-129,157,320
811,98,171,-413,420,910,-220,398,292,448
811,925,171,413,497,112,-143,-400,67,448
468,925,-171,413,788,131,148,-381,112,448
699,487,59,-24,575,533,-65,21,337,64
468,98,-171,-413,826,904,186,392,247,448
462,585,-177,73,790,437,150,-75,157,192
713,689,73,177,572,351,-68,-161,67,192
566,689,-73,177,707,352,67,-160,112,192
664,452,24,-59,614,578,-26,66,292,64
1053,340,413,-171,179,695,-461,183,337,448
762,216,122,-295,479,844,-161,332,292,320
462,438,-177,-73,818,582,178,70,202,192
664,571,24,59,612,448,-28,-64,67,64
1053,683,413,171,259,344,-381,-168,22,448
517,216,-122,-295,784,811,144,299,247,320
615,571,-24,59,673,449,33,-63,112,64
580,487,-59,-24,707,540,67,28,202,64
762,807,122,295,531,211,-109,-301,67,320
713,334,73,-177,640,512,0,0,292,192
580,536,-59,24,703,484,63,-28,157,64
615,452,-24,-59,675,580,35,68,247,64
699,536,59,24,584,490,-56,-22,22,64
935,634,295,122,360,384,-280,-128,22,320
566,334,-73,-177,727,687,87,175,247,192
226,683,-413,171,980,335,340,-177,157,448
935,389,295,-122,288,631,-352,119,337,320
817,438,177,-73,464,576,-176,64,337,192
517,807,-122,295,744,264,104,-248,112,320
817,585,177,73,493,457,-147,-55,22,192
226,340,-413,-171,1102,712,462,200,202,448
935,389,295,-122,304,629,-336,117,337,320
615,571,-24,59,662,452,22,-60,112,64
762,807,122,295,549,249,-91,-263,67,320
468,98,-171,-413,843,912,203,400,247,448
1053,683,413,171,289,332,-351,-180,22,448
517,807,-122,295,745,234,105,-278,112,320
462,438,-177,-73,812,588,172,76,202,192
699,536,59,24,592,488,-48,-24,22,64
462,585,-177,73,786,427,146,-85,157,192
699,487,59,-24,578,533,-62,21,337,64
226,683,-413,171,993,355,353,-157,157,448
566,334,-73,-177,738,704,98,192,247,192
1053,340,413,-171,197,696,-443,184,337,448
811,98,171,-413,436,920,-204,408,292,448
664,452,24,-59,613,576,-27,64,292,64
580,536,-59,24,700,488,60,-24,157,64
226,340,-413,-171,1047,714,407,202,202,448
615,452,-24,-59,666,570,26,58,247,64
566,689,-73,177,701,340,61,-172,112,192
811,925,171,413,464,98,-176,-414,67,448
713,334,73,-177,561,686,-79,174,292,192
817,438,177,-73,442,589,-198,77,337,192
517,216,-122,-295,786,812,146,300,247,320
344,634,-295,122,899,390,259,-122,157,320
713,689,73,177,559,338,-81,-174,67,192
762,216,122,-295,486,831,-154,319,292,320
817,585,177,73,459,448,-181,-64,22,192
468,925,-171,413,764,146,124,-366,112,448
580,487,-59,-24,717,550,77,38,202,64
344,389,-295,-122,911,651,271,139,202,320
935,634,295,122,378,380,-262,-132,22,320
664,571,24,59,617,449,-23,-63,67,64
713,689,73,177,574,336,-66,-176,67,192
762,216,122,-295,493,847,-147,335,292,320
615,452,-24,-59,666,574,26,62,247,64
817,585,177,73,449,452,-191,-60,22,192
1053,340,413,-171,183,691,-457,179,337,448
