targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
566,334,-73,-177,730,675,90,163,247,192
664,452,24,-59,609,560,-31,48,292,64
817,438,177,-73,545,573,-95,61,337,192
517,216,-122,-295,804,710,164,198,247,320
935,634,295,122,426,369,-214,-143,22,320
699,536,59,24,604,485,-36,-27,22,64
226,683,-413,171,1128,276,488,-236,157,448
566,689,-73,177,762,332,122,-180,112,192
762,216,122,-295,519,720,-121,208,292,320
713,334,73,-177,574,706,-66,194,292,192
226,340,-413,-171,1170,729,530,217,202,448
462,585,-177,73,833,435,193,-77,157,192
713,689,73,177,541,338,-99,-174,67,192
615,452,-24,-59,671,572,31,60,247,64
344,389,-295,-122,905,610,265,98,202,320
1053,683,413,171,399,368,-241,-144,22,448
580,487,-59,-24,688,536,48,24,202,64
811,925,171,413,539,148,-101,-364,67,448
817,585,177,73,570,450,-70,-62,22,192
699,487,59,-24,602,532,-38,20,337,64
468,925,-171,413,870,157,230,-355,112,448
615,571,-24,59,693,435,53,-77,112,64
468,98,-171,-413,934,789,294,277,247,448
762,807,122,295,554,197,-86,-315,67,320
811,98,171,-413,502,822,-138,310,292,448
935,389,295,-122,449,630,-191,118,337,320
1053,340,413,-171,420,645,-220,133,337,448
517,807,-122,295,771,197,131,-315,112,320
664,571,24,59,612,419,-28,-93,67,64
580,536,-59,24,706,488,66,-24,157,64
462,438,-177,-73,777,577,137,65,202,192
344,634,-295,122,951,376,311,-136,157,320
344,389,-295,-122,949,651,309,139,202,320
762,216,122,-295,560,714,-80,202,292,320
713,334,73,-177,579,651,-61,139,292,192
468,925,-171,413,923,58,283,-454,112,448
462,585,-177,73,863,446,223,-66,157,192
699,536,59,24,607,487,-33,-25,22,64
1053,340,413,-171,424,640,-216,128,337,448
1053,683,413,171,409,375,-231,-137,22,448
664,571,24,59,622,455,-18,-57,67,64
566,689,-73,177,751,316,111,-196,112,192
517,807,-122,295,833,219,193,-293,112,320
344,634,-295,122,906,401,266,-111,157,320
713,689,73,177,566,338,-74,-174,67,192
580,487,-59,-24,694,530,54,18,202,64
817,585,177,73,500,418,-140,-94,22,192
226,683,-413,171,973,385,333,-127,157,448
615,452,-24,-59,654,566,14,54,247,64
811,98,171,-413,567,825,-73,313,292,448
762,807,122,295,567,251,-73,-261,67,320
517,216,-122,-295,764,733,124,221,247,320
615,571,-24,59,680,439,40,-73,112,64
811,925,171,413,489,162,-151,-350,67,448
817,438,177,-73,549,586,-91,74,337,192
226,340,-413,-171,1009,677,369,165,202,448
935,634,295,122,455,401,-185,-111,22,320
580,536,-59,24,685,489,45,-23,157,64
935,389,295,-122,472,631,-168,119,337,320
664,452,24,-59,613,555,-27,43,292,64
468,98,-171,-413,935,862,295,350,247,448
566,334,-73,-177,762,640,122,128,247,192
699,487,59,-24,569,564,-71,52,337,64
462,438,-177,-73,829,593,189,81,202,192
226,340,-413,-171,1012,672,372,160,202,448
1053,340,413,-171,378,707,-262,195,337,448
713,689,73,177,571,335,-69,-177,67,192
664,452,24,-59,617,557,-23,45,292,64
344,389,-295,-122,949,625,309,113,202,320
517,216,-122,-295,801,739,161,227,247,320
344,634,-295,122,864,389,224,-123,157,320
566,334,-73,-177,742,694,102,182,247,192
580,536,-59,24,693,487,53,-25,157,64
462,585,-177,73,809,430,169,-82,157,192
580,487,-59,-24,693,563,53,51,202,64
817,585,177,73,496,419,-144,-93,22,192
226,683,-413,171,1008,290,368,-222,157,448
699,536,59,24,591,488,-49,-24,22,64
462,438,-177,-73,827,586,187,74,202,192
935,634,295,122,443,373,-197,-139,22,320
