targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
615,571,-24,59,680,445,40,-67,112,64
811,98,171,-413,470,791,-170,279,292,448
935,634,295,122,432,405,-208,-107,22,320
226,340,-413,-171,981,702,341,190,202,448
462,438,-177,-73,789,598,149,86,202,192
580,487,-59,-24,696,545,56,33,202,64
817,438,177,-73,514,564,-126,52,337,192
462,585,-177,73,794,430,154,-82,157,192
517,807,-122,295,738,316,98,-196,112,320
615,452,-24,-59,665,572,25,60,247,64
468,98,-171,-413,818,785,178,273,247,448
817,585,177,73,479,436,-161,-76,22,192
811,925,171,413,500,152,-140,-360,67,448
1053,683,413,171,373,387,-267,-125,22,448
468,925,-171,413,813,117,173,-395,112,448
935,389,295,-122,455,652,-185,140,337,320
664,452,24,-59,611,567,-29,55,292,64
566,334,-73,-177,695,678,55,166,247,192
517,216,-122,-295,732,762,92,250,247,320
566,689,-73,177,721,334,81,-178,112,192
713,689,73,177,569,363,-71,-149,67,192
713,334,73,-177,573,651,-67,139,292,192
1053,340,413,-171,342,729,-298,217,337,448
664,571,24,59,613,447,-27,-65,67,64
699,536,59,24,582,488,-58,-24,22,64
762,216,122,-295,495,754,-145,242,292,320
344,634,-295,122,936,384,296,-128,157,320
580,536,-59,24,704,488,64,-24,157,64
226,683,-413,171,992,366,352,-146,157,448
699,487,59,-24,599,553,-41,41,337,64
344,389,-295,-122,886,645,246,133,202,320
762,807,122,295,530,260,-110,-252,67,320
462,585,-177,73,781,449,141,-63,157,192
713,334,73,-177,568,681,-72,169,292,192
462,438,-177,-73,783,578,143,66,202,192
699,536,59,24,593,483,-47,-29,22,64
344,389,-295,-122,867,639,227,127,202,320
580,536,-59,24,705,485,65,-27,157,64
566,334,-73,-177,714,661,74,149,247,192
664,571,24,59,607,459,-33,-53,67,64
566,689,-73,177,710,359,70,-153,112,192
811,98,171,-413,488,830,-152,318,292,448
226,683,-413,171,968,365,328,-147,157,448
1053,683,413,171,354,394,-286,-118,22,448
817,438,177,-73,478,596,-162,84,337,192
699,487,59,-24,575,552,-65,40,337,64
1053,340,413,-171,393,632,-247,120,337,448
517,807,-122,295,804,187,164,-325,112,320
817,585,177,73,493,448,-147,-64,22,192
468,925,-171,413,832,84,192,-428,112,448
615,571,-24,59,674,458,34,-54,112,64
226,340,-413,-171,1030,703,390,191,202,448
762,216,122,-295,494,731,-146,219,292,320
615,452,-24,-59,669,577,29,65,247,64
935,389,295,-122,424,640,-216,128,337,320
517,216,-122,-295,756,790,116,278,247,320
762,807,122,295,510,248,-130,-264,67,320
664,452,24,-59,612,561,-28,49,292,64
713,689,73,177,571,357,-69,-155,67,192
935,634,295,122,393,417,-247,-95,22,320
468,98,-171,-413,794,829,154,317,247,448
344,634,-295,122,879,408,239,-104,157,320
580,487,-59,-24,705,553,65,41,202,64
811,925,171,413,452,159,-188,-353,67,448
580,536,-59,24,688,496,48,-16,157,64
762,807,122,295,493,227,-147,-285,67,320
935,389,295,-122,405,651,-235,139,337,320
566,689,-73,177,720,347,80,-165,112,192
344,389,-295,-122,875,662,235,150,202,320
811,925,171,413,470,136,-170,-376,67,448
1053,340,413,-171,295,758,-345,246,337,448
817,585,177,73,511,448,-129,-64,22,192
226,683,-413,171,964,356,324,-156,157,448
580,487,-59,-24,694,547,54,35,202,64
811,98,171,-413,502,812,-138,300,292,448
468,925,-171,413,882,98,242,-414,112,448
699,536,59,24,584,497,-56,-15,22,64
615,571,-24,59,668,465,28,-47,112,64
817,438,177,-73,505,591,-135,79,337,192
1053,683,413,171,297,395,-343,-117,22,448
713,334,73,-177,567,666,-73,154,292,192
664,452,24,-59,612,571,-28,59,292,64
566,334,-73,-177,700,664,60,152,247,192
