targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
468,925,-171,413,877,220,237,-292,112,448
566,334,-73,-177,870,678,230,166,247,192
762,216,122,-295,730,773,90,261,292,320
811,925,171,413,743,155,103,-357,67,448
517,807,-122,295,951,255,311,-257,112,320
699,536,59,24,897,471,257,-41,22,64
517,216,-122,-295,940,740,300,228,247,320
664,452,24,-59,938,612,298,100,292,64
817,438,177,-73,672,549,32,37,337,192
226,340,-413,-171,972,646,332,134,202,448
713,334,73,-177,867,682,227,170,292,192
811,98,171,-413,736,813,96,301,292,448
344,634,-295,122,932,397,292,-115,157,320
615,571,-24,59,784,441,144,-71,112,64
713,689,73,177,966,308,326,-204,67,192
566,689,-73,177,834,347,194,-165,112,192
615,452,-24,-59,809,555,169,43,247,64
935,634,295,122,667,330,27,-182,22,320
468,98,-171,-413,954,822,314,310,247,448
344,389,-295,-122,973,596,333,84,202,320
1053,340,413,-171,517,613,-123,101,337,448
935,389,295,-122,585,556,-55,44,337,320
664,571,24,59,1032,439,392,-73,67,64
580,536,-59,24,998,474,358,-38,157,64
762,807,122,295,905,257,265,-255,67,320
699,487,59,-24,965,566,325,54,337,64
580,487,-59,-24,747,539,107,27,202,64
226,683,-413,171,1044,420,404,-92,157,448
1053,683,413,171,549,335,-91,-177,22,448
817,585,177,73,854,404,214,-108,22,192
462,585,-177,73,985,430,345,-82,157,192
462,438,-177,-73,919,613,279,101,202,192
226,340,-413,-171,1083,679,443,167,202,448
713,334,73,-177,927,690,287,178,292,192
517,216,-122,-295,906,726,266,214,247,320
699,487,59,-24,991,557,351,45,337,64
462,438,-177,-73,958,584,318,72,202,192
566,689,-73,177,1034,357,394,-155,112,192
935,389,295,-122,693,597,53,85,337,320
762,216,122,-295,944,757,304,245,292,320
817,585,177,73,662,357,22,-155,22,192
713,689,73,177,901,315,261,-197,67,192
226,683,-413,171,992,358,352,-154,157,448
1053,340,413,-171,551,624,-89,112,337,448
468,925,-171,413,1021,151,381,-361,112,448
935,634,295,122,651,350,11,-162,22,320
462,585,-177,73,1112,438,472,-74,157,192
517,807,-122,295,996,272,356,-240,112,320
344,634,-295,122,1049,427,409,-85,157,320
580,536,-59,24,1085,479,445,-33,157,64
615,452,-24,-59,889,541,249,29,247,64
1053,683,413,171,662,341,22,-171,22,448
762,807,122,295,870,294,230,-218,67,320
811,98,171,-413,697,786,57,274,292,448
