targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
811,925,171,413,485,152,-155,-360,67,448
1053,683,413,171,338,336,-302,-176,22,448
664,452,24,-59,608,599,-32,87,292,64
664,571,24,59,591,453,-49,-59,67,64
344,634,-295,122,868,399,228,-113,157,320
517,807,-122,295,763,297,123,-215,112,320
226,683,-413,171,1003,404,363,-108,157,448
226,340,-413,-171,926,639,286,127,202,448
615,452,-24,-59,704,609,64,97,247,64
344,389,-295,-122,871,599,231,87,202,320
699,536,59,24,587,485,-53,-27,22,64
811,98,171,-413,542,874,-98,362,292,448
468,925,-171,413,822,208,182,-304,112,448
935,389,295,-122,446,652,-194,140,337,320
580,536,-59,24,705,493,65,-19,157,64
462,585,-177,73,759,427,119,-85,157,192
462,438,-177,-73,756,580,116,68,202,192
762,216,122,-295,561,799,-79,287,292,320
566,334,-73,-177,747,658,107,146,247,192
1053,340,413,-171,394,729,-246,217,337,448
817,585,177,73,540,424,-100,-88,22,192
713,689,73,177,558,354,-82,-158,67,192
713,334,73,-177,579,752,-61,240,292,192
817,438,177,-73,499,579,-141,67,337,192
615,571,-24,59,671,447,31,-65,112,64
468,98,-171,-413,813,838,173,326,247,448
517,216,-122,-295,767,740,127,228,247,320
762,807,122,295,571,331,-69,-181,67,320
699,487,59,-24,574,556,-66,44,337,64
935,634,295,122,449,347,-191,-165,22,320
580,487,-59,-24,704,547,64,35,202,64
566,689,-73,177,756,354,116,-158,112,192
226,340,-413,-171,934,671,294,159,202,448
699,487,59,-24,583,572,-57,60,337,64
664,571,24,59,621,446,-19,-66,67,64
344,634,-295,122,857,385,217,-127,157,320
517,807,-122,295,769,320,129,-192,112,320
580,487,-59,-24,717,554,77,42,202,64
462,438,-177,-73,774,599,134,87,202,192
935,389,295,-122,443,689,-197,177,337,320
566,334,-73,-177,748,674,108,162,247,192
615,571,-24,59,685,444,45,-68,112,64
