targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
566,334,-73,-177,707,657,67,145,247,192
462,438,-177,-73,796,579,156,67,202,192
1053,683,413,171,350,373,-290,-139,22,448
762,216,122,-295,520,723,-120,211,292,320
699,536,59,24,591,487,-49,-25,22,64
699,487,59,-24,589,544,-51,32,337,64
344,389,-295,-122,877,613,237,101,202,320
713,689,73,177,559,347,-81,-165,67,192
462,585,-177,73,800,441,160,-71,157,192
344,634,-295,122,909,390,269,-122,157,320
817,438,177,-73,481,594,-159,82,337,192
468,925,-171,413,814,120,174,-392,112,448
468,98,-171,-413,826,896,186,384,247,448
664,452,24,-59,610,587,-30,75,292,64
580,536,-59,24,708,488,68,-24,157,64
615,571,-24,59,672,463,32,-49,112,64
762,807,122,295,529,288,-111,-224,67,320
811,925,171,413,463,129,-177,-383,67,448
713,334,73,-177,561,685,-79,173,292,192
226,683,-413,171,1024,334,384,-178,157,448
517,216,-122,-295,729,787,89,275,247,320
664,571,24,59,610,455,-30,-57,67,64
615,452,-24,-59,672,570,32,58,247,64
517,807,-122,295,762,245,122,-267,112,320
226,340,-413,-171,988,661,348,149,202,448
935,389,295,-122,356,652,-284,140,337,320
935,634,295,122,373,407,-267,-105,22,320
817,585,177,73,490,436,-150,-76,22,192
1053,340,413,-171,281,649,-359,137,337,448
811,98,171,-413,463,841,-177,329,292,448
566,689,-73,177,713,336,73,-176,112,192
580,487,-59,-24,696,542,56,30,202,64
699,536,59,24,588,481,-52,-31,22,64
344,634,-295,122,894,396,254,-116,157,320
580,536,-59,24,700,483,60,-29,157,64
517,807,-122,295,781,231,141,-281,112,320
664,571,24,59,601,451,-39,-61,67,64
580,487,-59,-24,702,542,62,30,202,64
811,925,171,413,449,99,-191,-413,67,448
1053,340,413,-171,244,690,-396,178,337,448
664,452,24,-59,613,574,-27,62,292,64
935,389,295,-122,348,634,-292,122,337,320
462,585,-177,73,785,447,145,-65,157,192
566,689,-73,177,712,344,72,-168,112,192
517,216,-122,-295,751,750,111,238,247,320
226,340,-413,-171,1022,642,382,130,202,448
344,389,-295,-122,899,642,259,130,202,320
935,634,295,122,396,397,-244,-115,22,320
811,98,171,-413,464,852,-176,340,292,448
615,452,-24,-59,671,579,31,67,247,64
468,98,-171,-413,807,906,167,394,247,448
713,334,73,-177,534,704,-106,192,292,192
762,216,122,-295,525,758,-115,246,292,320
615,571,-24,59,670,462,30,-50,112,64
762,807,122,295,530,265,-110,-247,67,320
468,925,-171,413,774,224,134,-288,112,448
566,334,-73,-177,722,679,82,167,247,192
699,487,59,-24,587,546,-53,34,337,64
1053,683,413,171,271,324,-369,-188,22,448
817,585,177,73,478,433,-162,-79,22,192
817,438,177,-73,449,606,-191,94,337,192
226,683,-413,171,989,355,349,-157,157,448
462,438,-177,-73,817,600,177,88,202,192
713,689,73,177,556,337,-84,-175,67,192
713,334,73,-177,566,649,-74,137,292,192
811,925,171,413,487,121,-153,-391,67,448
935,634,295,122,344,387,-296,-125,22,320
462,585,-177,73,771,445,131,-67,157,192
615,452,-24,-59,668,570,28,58,247,64
462,438,-177,-73,801,580,161,68,202,192
762,807,122,295,521,258,-119,-254,67,320
817,438,177,-73,444,623,-196,111,337,192
1053,340,413,-171,186,731,-454,219,337,448
762,216,122,-295,511,769,-129,257,292,320
566,334,-73,-177,730,707,90,195,247,192
566,689,-73,177,729,331,89,-181,112,192
468,925,-171,413,818,129,178,-383,112,448
664,452,24,-59,603,588,-37,76,292,64
517,807,-122,295,757,220,117,-292,112,320
344,389,-295,-122,881,617,241,105,202,320
226,340,-413,-171,967,665,327,153,202,448
811,98,171,-413,491,797,-149,285,292,448
713,689,73,177,563,352,-77,-160,67,192
580,487,-59,-24,697,559,57,47,202,64
699,487,59,-24,581,562,-59,50,337,64
226,683,-413,171,964,355,324,-157,157,448
664,571,24,59,599,451,-41,-61,67,64
935,389,295,-122,387,618,-253,106,337,320
615,571,-24,59,668,451,28,-61,112,64
468,98,-171,-413,800,787,160,275,247,448
580,536,-59,24,722,471,82,-41,157,64
1053,683,413,171,273,318,-367,-194,22,448
699,536,59,24,575,479,-65,-33,22,64
344,634,-295,122,883,390,243,-122,157,320
517,216,-122,-295,768,743,128,231,247,320
817,585,177,73,449,429,-191,-83,22,192
226,683,-413,171,966,344,326,-168,157,448
713,689,73,177,553,340,-87,-172,67,192
935,634,295,122,384,395,-256,-117,22,320
580,536,-59,24,704,487,64,-25,157,64
664,571,24,59,608,451,-32,-61,67,64
935,389,295,-122,373,655,-267,143,337,320
817,585,177,73,479,444,-161,-68,22,192
517,807,-122,295,756,273,116,-239,112,320
699,536,59,24,570,482,-70,-30,22,64
615,452,-24,-59,671,580,31,68,247,64
468,925,-171,413,812,109,172,-403,112,448
762,807,122,295,508,179,-132,-333,67,320
566,689,-73,177,720,311,80,-201,112,192
1053,340,413,-171,361,655,-279,143,337,448
713,334,73,-177,553,682,-87,170,292,192
468,98,-171,-413,854,894,214,382,247,448
615,571,-24,59,673,451,33,-61,112,64
462,585,-177,73,786,444,146,-68,157,192
817,438,177,-73,475,603,-165,91,337,192
344,634,-295,122,891,396,251,-116,157,320
580,487,-59,-24,704,556,64,44,202,64
762,216,122,-295,553,751,-87,239,292,320
344,389,-295,-122,895,627,255,115,202,320
699,487,59,-24,598,552,-42,40,337,64
517,216,-122,-295,745,778,105,266,247,320
1053,683,413,171,295,371,-345,-141,22,448
811,925,171,413,453,208,-187,-304,67,448
664,452,24,-59,611,590,-29,78,292,64
226,340,-413,-171,941,633,301,121,202,448
462,438,-177,-73,805,608,165,96,202,192
811,98,171,-413,473,877,-167,365,292,448
566,334,-73,-177,737,720,97,208,247,192
713,689,73,177,553,338,-87,-174,67,192
811,98,171,-413,487,841,-153,329,292,448
462,438,-177,-73,796,581,156,69,202,192
817,438,177,-73,450,597,-190,85,337,192
226,340,-413,-171,994,647,354,135,202,448
762,216,122,-295,472,771,-168,259,292,320
1053,340,413,-171,306,680,-334,168,337,448
699,487,59,-24,565,554,-75,42,337,64
615,452,-24,-59,675,587,35,75,247,64
615,571,-24,59,677,459,37,-53,112,64
580,536,-59,24,696,488,56,-24,157,64
468,98,-171,-413,821,883,181,371,247,448
226,683,-413,171,995,295,355,-217,157,448
664,571,24,59,601,453,-39,-59,67,64
344,389,-295,-122,910,635,270,123,202,320
344,634,-295,122,943,386,303,-126,157,320
1053,683,413,171,233,320,-407,-192,22,448
664,452,24,-59,610,589,-30,77,292,64
