targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
517,216,-122,-295,757,757,117,245,247,320
1053,683,413,171,313,354,-327,-158,22,448
713,689,73,177,555,335,-85,-177,67,192
699,536,59,24,564,462,-76,-50,22,64
468,925,-171,413,821,173,181,-339,112,448
762,216,122,-295,517,779,-123,267,292,320
817,438,177,-73,479,567,-161,55,337,192
811,925,171,413,424,112,-216,-400,67,448
580,536,-59,24,689,481,49,-31,157,64
1053,340,413,-171,327,642,-313,130,337,448
462,438,-177,-73,808,566,168,54,202,192
811,98,171,-413,448,871,-192,359,292,448
580,487,-59,-24,700,534,60,22,202,64
517,807,-122,295,788,220,148,-292,112,320
344,389,-295,-122,874,610,234,98,202,320
699,487,59,-24,486,549,-154,37,337,64
344,634,-295,122,904,365,264,-147,157,320
762,807,122,295,493,234,-147,-278,67,320
226,683,-413,171,1013,325,373,-187,157,448
566,689,-73,177,709,356,69,-156,112,192
615,452,-24,-59,668,577,28,65,247,64
462,585,-177,73,816,414,176,-98,157,192
817,585,177,73,461,442,-179,-70,22,192
713,334,73,-177,508,679,-132,167,292,192
226,340,-413,-171,995,679,355,167,202,448
935,389,295,-122,391,624,-249,112,337,320
935,634,295,122,371,364,-269,-148,22,320
664,571,24,59,567,437,-73,-75,67,64
468,98,-171,-413,808,862,168,350,247,448
664,452,24,-59,571,571,-69,59,292,64
566,334,-73,-177,713,687,73,175,247,192
615,571,-24,59,654,455,14,-57,112,64
566,689,-73,177,717,365,77,-147,112,192
762,216,122,-295,510,779,-130,267,292,320
811,925,171,413,446,117,-194,-395,67,448
935,389,295,-122,363,651,-277,139,337,320
713,689,73,177,547,301,-93,-211,67,192
699,536,59,24,543,473,-97,-39,22,64
664,452,24,-59,584,579,-56,67,292,64
566,334,-73,-177,700,667,60,155,247,192
1053,340,413,-171,288,686,-352,174,337,448
615,452,-24,-59,664,577,24,65,247,64
468,98,-171,-413,805,845,165,333,247,448
468,925,-171,413,846,147,206,-365,112,448
699,487,59,-24,549,557,-91,45,337,64
1053,683,413,171,269,326,-371,-186,22,448
664,571,24,59,589,459,-51,-53,67,64
517,807,-122,295,763,241,123,-271,112,320
462,438,-177,-73,800,583,160,71,202,192
462,585,-177,73,793,424,153,-88,157,192
344,389,-295,-122,924,645,284,133,202,320
817,438,177,-73,454,604,-186,92,337,192
517,216,-122,-295,784,770,144,258,247,320
226,683,-413,171,965,353,325,-159,157,448
344,634,-295,122,877,416,237,-96,157,320
580,487,-59,-24,688,547,48,35,202,64
615,571,-24,59,664,466,24,-46,112,64
935,634,295,122,385,403,-255,-109,22,320
762,807,122,295,520,258,-120,-254,67,320
580,536,-59,24,696,483,56,-29,157,64
817,585,177,73,445,431,-195,-81,22,192
811,98,171,-413,484,872,-156,360,292,448
226,340,-413,-171,986,648,346,136,202,448
713,334,73,-177,520,687,-120,175,292,192
811,925,171,413,446,109,-194,-403,67,448
817,585,177,73,454,426,-186,-86,22,192
462,438,-177,-73,818,599,178,87,202,192
811,98,171,-413,433,905,-207,393,292,448
664,571,24,59,592,430,-48,-82,67,64
664,452,24,-59,591,580,-49,68,292,64
615,452,-24,-59,652,566,12,54,247,64
1053,340,413,-171,244,727,-396,215,337,448
699,536,59,24,483,467,-157,-45,22,64
580,487,-59,-24,686,540,46,28,202,64
762,807,122,295,482,269,-158,-243,67,320
615,571,-24,59,651,461,11,-51,112,64
935,634,295,122,363,395,-277,-117,22,320
935,389,295,-122,368,663,-272,151,337,320
344,634,-295,122,888,387,248,-125,157,320
344,389,-295,-122,922,657,282,145,202,320
762,216,122,-295,475,804,-165,292,292,320
713,689,73,177,556,321,-84,-191,67,192
517,807,-122,295,751,264,111,-248,112,320
462,585,-177,73,811,444,171,-68,157,192
226,340,-413,-171,1091,726,451,214,202,448
699,487,59,-24,536,558,-104,46,337,64
566,689,-73,177,704,359,64,-153,112,192
1053,683,413,171,226,332,-414,-180,22,448
713,334,73,-177,530,698,-110,186,292,192
468,98,-171,-413,847,928,207,416,247,448
226,683,-413,171,1060,276,420,-236,157,448
517,216,-122,-295,780,768,140,256,247,320
817,438,177,-73,463,563,-177,51,337,192
566,334,-73,-177,734,688,94,176,247,192
580,536,-59,24,682,471,42,-41,157,64
468,925,-171,413,821,160,181,-352,112,448
699,487,59,-24,511,547,-129,35,337,64
226,683,-413,171,953,315,313,-197,157,448
344,389,-295,-122,915,661,275,149,202,320
566,334,-73,-177,738,674,98,162,247,192
615,452,-24,-59,654,573,14,61,247,64
468,925,-171,413,788,180,148,-332,112,448
226,340,-413,-171,1055,763,415,251,202,448
580,536,-59,24,693,466,53,-46,157,64
699,536,59,24,557,484,-83,-28,22,64
580,487,-59,-24,686,547,46,35,202,64
615,571,-24,59,654,465,14,-47,112,64
664,571,24,59,566,444,-74,-68,67,64
762,807,122,295,520,238,-120,-274,67,320
811,98,171,-413,481,879,-159,367,292,448
462,585,-177,73,792,431,152,-81,157,192
468,98,-171,-413,803,874,163,362,247,448
817,438,177,-73,454,580,-186,68,337,192
713,689,73,177,552,340,-88,-172,67,192
517,216,-122,-295,766,793,126,281,247,320
935,634,295,122,379,406,-261,-106,22,320
462,438,-177,-73,812,592,172,80,202,192
762,216,122,-295,473,841,-167,329,292,320
566,689,-73,177,685,382,45,-130,112,192
817,585,177,73,468,437,-172,-75,22,192
664,452,24,-59,589,585,-51,73,292,64
1053,340,413,-171,269,672,-371,160,337,448
713,334,73,-177,503,712,-137,200,292,192
1053,683,413,171,263,362,-377,-150,22,448
344,634,-295,122,916,389,276,-123,157,320
517,807,-122,295,732,230,92,-282,112,320
935,389,295,-122,355,637,-285,125,337,320
811,925,171,413,475,133,-165,-379,67,448
615,571,-24,59,661,453,21,-59,112,64
699,536,59,24,521,477,-119,-35,22,64
811,98,171,-413,445,900,-195,388,292,448
468,925,-171,413,792,173,152,-339,112,448
462,585,-177,73,785,438,145,-74,157,192
713,689,73,177,562,365,-78,-147,67,192
517,216,-122,-295,758,724,118,212,247,320
664,452,24,-59,590,597,-50,85,292,64
1053,683,413,171,290,326,-350,-186,22,448
935,389,295,-122,349,654,-291,142,337,320
664,571,24,59,601,440,-39,-72,67,64
762,807,122,295,508,205,-132,-307,67,320
226,340,-413,-171,978,658,338,146,202,448
713,334,73,-177,541,705,-99,193,292,192
462,438,-177,-73,811,584,171,72,202,192
344,634,-295,122,899,390,259,-122,157,320
226,683,-413,171,1009,351,369,-161,157,448
344,389,-295,-122,875,627,235,115,202,320
517,807,-122,295,767,225,127,-287,112,320
817,585,177,73,458,415,-182,-97,22,192
762,216,122,-295,503,813,-137,301,292,320
580,536,-59,24,687,479,47,-33,157,64
817,438,177,-73,440,579,-200,67,337,192
1053,340,413,-171,246,668,-394,156,337,448
566,689,-73,177,717,357,77,-155,112,192
811,925,171,413,453,118,-187,-394,67,448
935,634,295,122,356,425,-284,-87,22,320
468,98,-171,-413,870,896,230,384,247,448
615,452,-24,-59,663,578,23,66,247,64
580,487,-59,-24,689,530,49,18,202,64
566,334,-73,-177,685,668,45,156,247,192
699,487,59,-24,523,542,-117,30,337,64
566,689,-73,177,695,346,55,-166,112,192
344,389,-295,-122,904,638,264,126,202,320
1053,340,413,-171,231,690,-409,178,337,448
468,925,-171,413,801,183,161,-329,112,448
713,334,73,-177,537,682,-103,170,292,192
811,925,171,413,452,122,-188,-390,67,448
517,807,-122,295,749,222,109,-290,112,320
344,634,-295,122,871,441,231,-71,157,320
615,571,-24,59,650,442,10,-70,112,64
699,487,59,-24,539,547,-101,35,337,64
762,807,122,295,499,244,-141,-268,67,320
664,452,24,-59,589,577,-51,65,292,64
935,389,295,-122,344,642,-296,130,337,320
713,689,73,177,541,333,-99,-179,67,192
817,585,177,73,447,419,-193,-93,22,192
566,334,-73,-177,707,661,67,149,247,192
615,452,-24,-59,654,585,14,73,247,64
580,536,-59,24,676,473,36,-39,157,64
1053,683,413,171,287,321,-353,-191,22,448
226,683,-413,171,948,342,308,-170,157,448
462,585,-177,73,789,430,149,-82,157,192
468,98,-171,-413,834,896,194,384,247,448
699,536,59,24,499,479,-141,-33,22,64
664,571,24,59,569,430,-71,-82,67,64
762,216,122,-295,496,783,-144,271,292,320
580,487,-59,-24,702,535,62,23,202,64
226,340,-413,-171,1030,700,390,188,202,448
462,438,-177,-73,796,582,156,70,202,192
817,438,177,-73,474,569,-166,57,337,192
935,634,295,122,355,401,-285,-111,22,320
811,98,171,-413,460,849,-180,337,292,448
517,216,-122,-295,782,769,142,257,247,320
817,438,177,-73,440,604,-200,92,337,192
1053,683,413,171,319,361,-321,-151,22,448
566,334,-73,-177,722,677,82,165,247,192
462,585,-177,73,817,405,177,-107,157,192
762,807,122,295,500,302,-140,-210,67,320
226,683,-413,171,977,360,337,-152,157,448
817,585,177,73,460,445,-180,-67,22,192
462,438,-177,-73,805,596,165,84,202,192
762,216,122,-295,468,790,-172,278,292,320
699,536,59,24,518,470,-122,-42,22,64
664,571,24,59,586,440,-54,-72,67,64
344,389,-295,-122,888,609,248,97,202,320
566,689,-73,177,707,348,67,-164,112,192
713,689,73,177,522,370,-118,-142,67,192
226,340,-413,-171,1008,707,368,195,202,448
615,452,-24,-59,667,570,27,58,247,64
580,536,-59,24,702,475,62,-37,157,64
1053,340,413,-171,311,658,-329,146,337,448
580,487,-59,-24,682,527,42,15,202,64
468,98,-171,-413,848,869,208,357,247,448
517,216,-122,-295,775,778,135,266,247,320
935,389,295,-122,327,634,-313,122,337,320
935,634,295,122,370,387,-270,-125,22,320
344,634,-295,122,886,405,246,-107,157,320
699,487,59,-24,533,545,-107,33,337,64
713,334,73,-177,544,673,-96,161,292,192
811,98,171,-413,448,858,-192,346,292,448
