targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
811,98,171,-413,445,898,-195,386,292,448
468,98,-171,-413,839,855,199,343,247,448
226,683,-413,171,1016,341,376,-171,157,448
762,807,122,295,480,286,-160,-226,67,320
344,634,-295,122,922,379,282,-133,157,320
811,925,171,413,437,185,-203,-327,67,448
1053,683,413,171,269,417,-371,-95,22,448
1053,340,413,-171,270,668,-370,156,337,448
699,487,59,-24,574,542,-66,30,337,64
462,585,-177,73,793,439,153,-73,157,192
664,571,24,59,605,449,-35,-63,67,64
580,487,-59,-24,707,534,67,22,202,64
817,585,177,73,467,450,-173,-62,22,192
517,807,-122,295,776,169,136,-343,112,320
615,571,-24,59,665,465,25,-47,112,64
713,689,73,177,542,375,-98,-137,67,192
580,536,-59,24,704,487,64,-25,157,64
566,334,-73,-177,722,701,82,189,247,192
468,925,-171,413,789,170,149,-342,112,448
699,536,59,24,565,490,-75,-22,22,64
664,452,24,-59,609,585,-31,73,292,64
344,389,-295,-122,899,605,259,93,202,320
226,340,-413,-171,993,657,353,145,202,448
713,334,73,-177,545,732,-95,220,292,192
462,438,-177,-73,835,587,195,75,202,192
935,389,295,-122,382,606,-258,94,337,320
762,216,122,-295,476,735,-164,223,292,320
517,216,-122,-295,778,762,138,250,247,320
817,438,177,-73,464,579,-176,67,337,192
615,452,-24,-59,682,572,42,60,247,64
935,634,295,122,363,436,-277,-76,22,320
566,689,-73,177,720,325,80,-187,112,192
615,452,-24,-59,675,581,35,69,247,64
713,334,73,-177,539,712,-101,200,292,192
935,634,295,122,369,409,-271,-103,22,320
817,585,177,73,467,441,-173,-71,22,192
226,683,-413,171,1004,347,364,-165,157,448
664,452,24,-59,606,581,-34,69,292,64
1053,340,413,-171,256,664,-384,152,337,448
468,98,-171,-413,863,916,223,404,247,448
615,571,-24,59,675,454,35,-58,112,64
699,536,59,24,567,485,-73,-27,22,64
462,438,-177,-73,826,584,186,72,202,192
468,925,-171,413,819,107,179,-405,112,448
811,925,171,413,429,120,-211,-392,67,448
344,389,-295,-122,883,606,243,94,202,320
580,487,-59,-24,712,537,72,25,202,64
344,634,-295,122,952,370,312,-142,157,320
517,807,-122,295,768,168,128,-344,112,320
762,216,122,-295,474,775,-166,263,292,320
762,807,122,295,481,229,-159,-283,67,320
699,487,59,-24,579,546,-61,34,337,64
713,689,73,177,559,350,-81,-162,67,192
566,689,-73,177,730,320,90,-192,112,192
580,536,-59,24,710,493,70,-19,157,64
566,334,-73,-177,721,738,81,226,247,192
1053,683,413,171,302,381,-338,-131,22,448
811,98,171,-413,463,898,-177,386,292,448
935,389,295,-122,353,632,-287,120,337,320
462,585,-177,73,809,433,169,-79,157,192
517,216,-122,-295,794,827,154,315,247,320
664,571,24,59,609,460,-31,-52,67,64
226,340,-413,-171,1048,670,408,158,202,448
817,438,177,-73,461,577,-179,65,337,192
226,340,-413,-171,1096,696,456,184,202,448
713,334,73,-177,559,669,-81,157,292,192
517,216,-122,-295,823,794,183,282,247,320
811,98,171,-413,444,842,-196,330,292,448
664,452,24,-59,613,584,-27,72,292,64
699,487,59,-24,557,539,-83,27,337,64
762,216,122,-295,506,780,-134,268,292,320
462,585,-177,73,786,431,146,-81,157,192
517,807,-122,295,762,244,122,-268,112,320
713,689,73,177,529,359,-111,-153,67,192
615,452,-24,-59,674,580,34,68,247,64
344,634,-295,122,915,385,275,-127,157,320
468,98,-171,-413,856,904,216,392,247,448
1053,340,413,-171,304,660,-336,148,337,448
811,925,171,413,432,139,-208,-373,67,448
762,807,122,295,516,264,-124,-248,67,320
226,683,-413,171,1042,354,402,-158,157,448
664,571,24,59,621,454,-19,-58,67,64
468,925,-171,413,826,90,186,-422,112,448
344,389,-295,-122,907,635,267,123,202,320
566,334,-73,-177,719,678,79,166,247,192
935,389,295,-122,391,611,-249,99,337,320
1053,683,413,171,640,512,0,0,22,448
580,487,-59,-24,715,537,75,25,202,64
566,689,-73,177,715,331,75,-181,112,192
935,634,295,122,418,425,-222,-87,22,320
817,438,177,-73,486,559,-154,47,337,192
615,571,-24,59,678,436,38,-76,112,64
817,585,177,73,460,457,-180,-55,22,192
580,536,-59,24,707,497,67,-15,157,64
462,438,-177,-73,816,583,176,71,202,192
699,536,59,24,578,484,-62,-28,22,64
811,925,171,413,451,118,-189,-394,67,448
517,807,-122,295,793,262,153,-250,112,320
580,536,-59,24,702,494,62,-18,157,64
699,487,59,-24,569,545,-71,33,337,64
566,689,-73,177,713,341,73,-171,112,192
713,334,73,-177,562,724,-78,212,292,192
580,487,-59,-24,715,540,75,28,202,64
1053,683,413,171,252,358,-388,-154,22,448
226,340,-413,-171,1066,696,426,184,202,448
462,438,-177,-73,833,587,193,75,202,192
344,634,-295,122,912,377,272,-135,157,320
468,98,-171,-413,834,930,194,418,247,448
226,683,-413,171,1020,334,380,-178,157,448
1053,340,413,-171,266,697,-374,185,337,448
762,216,122,-295,498,813,-142,301,292,320
566,334,-73,-177,736,705,96,193,247,192
664,452,24,-59,600,578,-40,66,292,64
468,925,-171,413,781,145,141,-367,112,448
811,98,171,-413,424,947,-216,435,292,448
713,689,73,177,563,351,-77,-161,67,192
344,389,-295,-122,892,629,252,117,202,320
664,571,24,59,609,446,-31,-66,67,64
817,438,177,-73,450,583,-190,71,337,192
762,807,122,295,489,171,-151,-341,67,320
462,585,-177,73,846,448,206,-64,157,192
699,536,59,24,551,485,-89,-27,22,64
615,452,-24,-59,687,587,47,75,247,64
517,216,-122,-295,766,780,126,268,247,320
935,389,295,-122,359,628,-281,116,337,320
817,585,177,73,463,464,-177,-48,22,192
935,634,295,122,392,412,-248,-100,22,320
615,571,-24,59,662,458,22,-54,112,64
1053,683,413,171,288,411,-352,-101,22,448
344,389,-295,-122,931,651,291,139,202,320
462,438,-177,-73,796,574,156,62,202,192
762,216,122,-295,491,811,-149,299,292,320
762,807,122,295,518,276,-122,-236,67,320
566,689,-73,177,740,370,100,-142,112,192
580,487,-59,-24,703,553,63,41,202,64
713,334,73,-177,556,689,-84,177,292,192
817,438,177,-73,459,580,-181,68,337,192
468,925,-171,413,810,135,170,-377,112,448
935,389,295,-122,360,624,-280,112,337,320
344,634,-295,122,640,512,0,0,157,320
817,585,177,73,458,415,-182,-97,22,192
517,216,-122,-295,797,751,157,239,247,320
1053,340,413,-171,265,646,-375,134,337,448
580,536,-59,24,706,481,66,-31,157,64
226,340,-413,-171,1028,681,388,169,202,448
462,585,-177,73,800,439,160,-73,157,192
664,452,24,-59,614,587,-26,75,292,64
935,634,295,122,361,390,-279,-122,22,320
699,536,59,24,566,489,-74,-23,22,64
699,487,59,-24,576,538,-64,26,337,64
811,98,171,-413,640,512,0,0,292,448
566,334,-73,-177,723,682,83,170,247,192
713,689,73,177,542,357,-98,-155,67,192
517,807,-122,295,772,192,132,-320,112,320
226,683,-413,171,1010,366,370,-146,157,448
615,571,-24,59,658,452,18,-60,112,64
664,571,24,59,596,453,-44,-59,67,64
615,452,-24,-59,678,582,38,70,247,64
468,98,-171,-413,896,927,256,415,247,448
