targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
713,689,73,177,533,339,-107,-173,67,192
226,340,-413,-171,1004,690,364,178,202,448
664,452,24,-59,610,582,-30,70,292,64
226,683,-413,171,963,347,323,-165,157,448
762,807,122,295,509,287,-131,-225,67,320
468,98,-171,-413,827,855,187,343,247,448
817,585,177,73,448,420,-192,-92,22,192
517,216,-122,-295,759,722,119,210,247,320
615,571,-24,59,671,456,31,-56,112,64
817,438,177,-73,445,581,-195,69,337,192
1053,683,413,171,304,329,-336,-183,22,448
462,438,-177,-73,764,558,124,46,202,192
811,925,171,413,448,147,-192,-365,67,448
935,634,295,122,371,405,-269,-107,22,320
566,689,-73,177,707,387,67,-125,112,192
699,536,59,24,564,473,-76,-39,22,64
344,389,-295,-122,897,620,257,108,202,320
517,807,-122,295,754,290,114,-222,112,320
713,334,73,-177,547,706,-93,194,292,192
699,487,59,-24,571,547,-69,35,337,64
811,98,171,-413,430,896,-210,384,292,448
580,536,-59,24,693,488,53,-24,157,64
762,216,122,-295,471,860,-169,348,292,320
462,585,-177,73,794,430,154,-82,157,192
1053,340,413,-171,277,644,-363,132,337,448
468,925,-171,413,821,88,181,-424,112,448
580,487,-59,-24,691,548,51,36,202,64
344,634,-295,122,876,397,236,-115,157,320
615,452,-24,-59,676,562,36,50,247,64
566,334,-73,-177,735,647,95,135,247,192
935,389,295,-122,373,629,-267,117,337,320
664,571,24,59,613,447,-27,-65,67,64
517,216,-122,-295,785,773,145,261,247,320
344,389,-295,-122,881,600,241,88,202,320
517,807,-122,295,760,214,120,-298,112,320
580,536,-59,24,697,489,57,-23,157,64
615,571,-24,59,664,459,24,-53,112,64
615,452,-24,-59,676,566,36,54,247,64
817,585,177,73,455,433,-185,-79,22,192
226,683,-413,171,952,326,312,-186,157,448
811,98,171,-413,403,893,-237,381,292,448
462,585,-177,73,810,420,170,-92,157,192
468,98,-171,-413,872,919,232,407,247,448
664,571,24,59,609,451,-31,-61,67,64
762,216,122,-295,496,855,-144,343,292,320
580,487,-59,-24,705,535,65,23,202,64
344,634,-295,122,917,367,277,-145,157,320
699,487,59,-24,569,538,-71,26,337,64
713,689,73,177,570,375,-70,-137,67,192
468,925,-171,413,835,100,195,-412,112,448
566,689,-73,177,705,355,65,-157,112,192
462,438,-177,-73,815,590,175,78,202,192
935,389,295,-122,390,648,-250,136,337,320
935,634,295,122,405,419,-235,-93,22,320
817,438,177,-73,470,587,-170,75,337,192
699,536,59,24,577,484,-63,-28,22,64
811,925,171,413,488,110,-152,-402,67,448
713,334,73,-177,569,706,-71,194,292,192
1053,683,413,171,264,315,-376,-197,22,448
1053,340,413,-171,248,689,-392,177,337,448
566,334,-73,-177,731,672,91,160,247,192
664,452,24,-59,607,578,-33,66,292,64
226,340,-413,-171,1005,644,365,132,202,448
762,807,122,295,494,222,-146,-290,67,320
811,98,171,-413,461,888,-179,376,292,448
344,389,-295,-122,942,642,302,130,202,320
935,634,295,122,342,374,-298,-138,22,320
762,216,122,-295,449,798,-191,286,292,320
713,334,73,-177,556,705,-84,193,292,192
226,683,-413,171,1007,328,367,-184,157,448
935,389,295,-122,381,638,-259,126,337,320
699,487,59,-24,569,537,-71,25,337,64
699,536,59,24,574,480,-66,-32,22,64
517,807,-122,295,787,256,147,-256,112,320
468,98,-171,-413,856,893,216,381,247,448
580,536,-59,24,700,483,60,-29,157,64
566,689,-73,177,713,372,73,-140,112,192
468,925,-171,413,819,141,179,-371,112,448
1053,340,413,-171,272,655,-368,143,337,448
817,585,177,73,462,429,-178,-83,22,192
580,487,-59,-24,691,540,51,28,202,64
811,925,171,413,448,88,-192,-424,67,448
344,634,-295,122,890,398,250,-114,157,320
762,807,122,295,525,222,-115,-290,67,320
462,438,-177,-73,820,591,180,79,202,192
1053,683,413,171,265,349,-375,-163,22,448
817,438,177,-73,447,588,-193,76,337,192
226,340,-413,-171,1019,669,379,157,202,448
566,334,-73,-177,741,692,101,180,247,192
615,571,-24,59,670,455,30,-57,112,64
615,452,-24,-59,676,572,36,60,247,64
664,571,24,59,616,454,-24,-58,67,64
517,216,-122,-295,781,771,141,259,247,320
664,452,24,-59,620,580,-20,68,292,64
713,689,73,177,562,323,-78,-189,67,192
462,585,-177,73,793,431,153,-81,157,192
762,807,122,295,488,182,-152,-330,67,320
462,438,-177,-73,815,594,175,82,202,192
699,536,59,24,560,490,-80,-22,22,64
713,689,73,177,563,315,-77,-197,67,192
462,585,-177,73,789,438,149,-74,157,192
664,571,24,59,618,456,-22,-56,67,64
1053,683,413,171,280,394,-360,-118,22,448
1053,340,413,-171,267,672,-373,160,337,448
580,536,-59,24,691,483,51,-29,157,64
226,340,-413,-171,1064,684,424,172,202,448
468,925,-171,413,798,124,158,-388,112,448
566,334,-73,-177,733,673,93,161,247,192
615,452,-24,-59,677,566,37,54,247,64
713,334,73,-177,552,707,-88,195,292,192
664,452,24,-59,612,578,-28,66,292,64
226,683,-413,171,993,382,353,-130,157,448
344,389,-295,-122,905,622,265,110,202,320
811,925,171,413,462,114,-178,-398,67,448
517,216,-122,-295,816,758,176,246,247,320
811,98,171,-413,628,600,-12,88,292,448
699,487,59,-24,571,538,-69,26,337,64
935,634,295,122,336,398,-304,-114,22,320
517,807,-122,295,750,260,110,-252,112,320
817,438,177,-73,433,578,-207,66,337,192
615,571,-24,59,665,457,25,-55,112,64
935,389,295,-122,331,637,-309,125,337,320
762,216,122,-295,522,764,-118,252,292,320
566,689,-73,177,720,382,80,-130,112,192
