targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
580,536,-59,24,774,487,134,-25,157,64
713,689,73,177,570,349,-70,-163,67,192
664,571,24,59,620,436,-20,-76,67,64
580,487,-59,-24,741,574,101,62,202,64
462,585,-177,73,788,391,148,-121,157,192
344,634,-295,122,954,400,314,-112,157,320
935,389,295,-122,418,666,-222,154,337,320
517,807,-122,295,798,217,158,-295,112,320
566,689,-73,177,781,337,141,-175,112,192
615,571,-24,59,673,456,33,-56,112,64
615,452,-24,-59,694,593,54,81,247,64
1053,683,413,171,310,387,-330,-125,22,448
226,683,-413,171,1094,296,454,-216,157,448
762,807,122,295,592,243,-48,-269,67,320
468,98,-171,-413,906,881,266,369,247,448
817,585,177,73,437,446,-203,-66,22,192
226,340,-413,-171,1132,770,492,258,202,448
817,438,177,-73,423,697,-217,185,337,192
699,487,59,-24,531,583,-109,71,337,64
811,925,171,413,510,175,-130,-337,67,448
699,536,59,24,525,481,-115,-31,22,64
1053,340,413,-171,344,765,-296,253,337,448
811,98,171,-413,522,889,-118,377,292,448
468,925,-171,413,887,111,247,-401,112,448
566,334,-73,-177,725,703,85,191,247,192
517,216,-122,-295,763,852,123,340,247,320
762,216,122,-295,516,793,-124,281,292,320
462,438,-177,-73,878,584,238,72,202,192
935,634,295,122,419,408,-221,-104,22,320
344,389,-295,-122,1037,711,397,199,202,320
713,334,73,-177,568,695,-72,183,292,192
664,452,24,-59,610,585,-30,73,292,64
615,452,-24,-59,667,573,27,61,247,64
713,689,73,177,580,295,-60,-217,67,192
699,487,59,-24,544,572,-96,60,337,64
935,634,295,122,548,457,-92,-55,22,320
344,389,-295,-122,998,657,358,145,202,320
664,452,24,-59,580,634,-60,122,292,64
811,925,171,413,522,161,-118,-351,67,448
1053,340,413,-171,422,678,-218,166,337,448
468,925,-171,413,929,139,289,-373,112,448
615,571,-24,59,679,452,39,-60,112,64
664,571,24,59,618,475,-22,-37,67,64
713,334,73,-177,639,645,-1,133,292,192
817,438,177,-73,524,544,-116,32,337,192
811,98,171,-413,589,805,-51,293,292,448
566,334,-73,-177,783,783,143,271,247,192
226,340,-413,-171,1122,706,482,194,202,448
762,807,122,295,608,301,-32,-211,67,320
566,689,-73,177,801,281,161,-231,112,192
468,98,-171,-413,815,880,175,368,247,448
762,216,122,-295,644,770,4,258,292,320
462,438,-177,-73,961,584,321,72,202,192
517,807,-122,295,799,266,159,-246,112,320
935,389,295,-122,478,620,-162,108,337,320
1053,683,413,171,400,458,-240,-54,22,448
226,683,-413,171,1237,330,597,-182,157,448
580,536,-59,24,762,474,122,-38,157,64
462,585,-177,73,833,468,193,-44,157,192
344,634,-295,122,989,424,349,-88,157,320
817,585,177,73,580,442,-60,-70,22,192
517,216,-122,-295,808,834,168,322,247,320
580,487,-59,-24,751,550,111,38,202,64
699,536,59,24,568,484,-72,-28,22,64
344,634,-295,122,958,404,318,-108,157,320
811,98,171,-413,609,796,-31,284,292,448
935,634,295,122,435,413,-205,-99,22,320
713,334,73,-177,582,681,-58,169,292,192
462,438,-177,-73,930,610,290,98,202,192
344,389,-295,-122,1009,676,369,164,202,320
517,807,-122,295,843,180,203,-332,112,320
935,389,295,-122,534,642,-106,130,337,320
1053,340,413,-171,475,650,-165,138,337,448
762,807,122,295,587,274,-53,-238,67,320
566,334,-73,-177,742,745,102,233,247,192
468,98,-171,-413,817,853,177,341,247,448
566,689,-73,177,720,348,80,-164,112,192
468,925,-171,413,844,142,204,-370,112,448
517,216,-122,-295,755,829,115,317,247,320
580,536,-59,24,778,472,138,-40,157,64
615,571,-24,59,707,433,67,-79,112,64
664,452,24,-59,631,619,-9,107,292,64
699,536,59,24,602,493,-38,-19,22,64
699,487,59,-24,593,539,-47,27,337,64
664,571,24,59,590,471,-50,-41,67,64
713,689,73,177,568,345,-72,-167,67,192
817,438,177,-73,495,581,-145,69,337,192
580,487,-59,-24,743,570,103,58,202,64
462,585,-177,73,834,461,194,-51,157,192
811,925,171,413,654,230,14,-282,67,448
817,585,177,73,519,443,-121,-69,22,192
226,683,-413,171,1115,351,475,-161,157,448
615,452,-24,-59,662,607,22,95,247,64
762,216,122,-295,585,743,-55,231,292,320
1053,683,413,171,377,381,-263,-131,22,448
226,340,-413,-171,1064,726,424,214,202,448
566,689,-73,177,800,281,160,-231,112,192
580,536,-59,24,742,512,102,0,157,64
699,536,59,24,542,482,-98,-30,22,64
566,334,-73,-177,738,753,98,241,247,192
226,683,-413,171,1029,454,389,-58,157,448
713,334,73,-177,611,753,-29,241,292,192
935,634,295,122,474,420,-166,-92,22,320
517,216,-122,-295,812,754,172,242,247,320
462,438,-177,-73,852,545,212,33,202,192
615,452,-24,-59,668,580,28,68,247,64
762,216,122,-295,652,704,12,192,292,320
762,807,122,295,594,283,-46,-229,67,320
462,585,-177,73,808,496,168,-16,157,192
811,925,171,413,603,196,-37,-316,67,448
664,452,24,-59,648,612,8,100,292,64
517,807,-122,295,784,278,144,-234,112,320
226,340,-413,-171,1069,741,429,229,202,448
1053,340,413,-171,465,650,-175,138,337,448
580,487,-59,-24,814,570,174,58,202,64
344,634,-295,122,838,487,198,-25,157,320
