targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
468,98,-171,-413,779,916,139,404,247,448
580,487,-59,-24,679,580,39,68,202,64
226,340,-413,-171,969,799,329,287,202,448
344,634,-295,122,885,320,245,-192,157,320
817,585,177,73,403,467,-237,-45,22,192
811,98,171,-413,352,852,-288,340,292,448
1053,340,413,-171,257,778,-383,266,337,448
615,452,-24,-59,659,653,19,141,247,64
566,689,-73,177,764,283,124,-229,112,192
566,334,-73,-177,695,733,55,221,247,192
699,536,59,24,511,466,-129,-46,22,64
811,925,171,413,426,179,-214,-333,67,448
517,216,-122,-295,734,823,94,311,247,320
1053,683,413,171,249,362,-391,-150,22,448
664,452,24,-59,574,636,-66,124,292,64
935,634,295,122,323,395,-317,-117,22,320
468,925,-171,413,777,130,137,-382,112,448
817,438,177,-73,397,625,-243,113,337,192
762,216,122,-295,464,768,-176,256,292,320
615,571,-24,59,665,386,25,-126,112,64
580,536,-59,24,720,467,80,-45,157,64
517,807,-122,295,758,189,118,-323,112,320
664,571,24,59,563,403,-77,-109,67,64
713,689,73,177,460,207,-180,-305,67,192
462,438,-177,-73,846,646,206,134,202,192
226,683,-413,171,1036,293,396,-219,157,448
344,389,-295,-122,945,696,305,184,202,320
935,389,295,-122,269,667,-371,155,337,320
699,487,59,-24,533,563,-107,51,337,64
713,334,73,-177,495,783,-145,271,292,192
762,807,122,295,479,189,-161,-323,67,320
462,585,-177,73,827,379,187,-133,157,192
566,334,-73,-177,711,765,71,253,247,192
817,585,177,73,393,464,-247,-48,22,192
762,807,122,295,423,252,-217,-260,67,320
615,571,-24,59,675,405,35,-107,112,64
580,536,-59,24,730,450,90,-62,157,64
811,98,171,-413,432,844,-208,332,292,448
935,389,295,-122,376,583,-264,71,337,320
226,340,-413,-171,1002,790,362,278,202,448
699,536,59,24,465,487,-175,-25,22,64
344,389,-295,-122,1003,752,363,240,202,320
462,438,-177,-73,866,606,226,94,202,192
713,334,73,-177,487,777,-153,265,292,192
1053,340,413,-171,311,686,-329,174,337,448
713,689,73,177,546,309,-94,-203,67,192
817,438,177,-73,405,628,-235,116,337,192
935,634,295,122,402,413,-238,-99,22,320
517,216,-122,-295,742,843,102,331,247,320
344,634,-295,122,915,364,275,-148,157,320
811,925,171,413,449,224,-191,-288,67,448
580,487,-59,-24,688,567,48,55,202,64
664,452,24,-59,596,606,-44,94,292,64
699,487,59,-24,538,529,-102,17,337,64
226,683,-413,171,1018,248,378,-264,157,448
615,452,-24,-59,649,647,9,135,247,64
517,807,-122,295,719,181,79,-331,112,320
762,216,122,-295,538,829,-102,317,292,320
468,925,-171,413,809,83,169,-429,112,448
664,571,24,59,563,441,-77,-71,67,64
566,689,-73,177,672,370,32,-142,112,192
1053,683,413,171,313,353,-327,-159,22,448
468,98,-171,-413,811,907,171,395,247,448
462,585,-177,73,840,409,200,-103,157,192
615,571,-24,59,669,402,29,-110,112,64
468,98,-171,-413,782,942,142,430,247,448
935,634,295,122,317,338,-323,-174,22,320
517,216,-122,-295,705,846,65,334,247,320
811,925,171,413,463,143,-177,-369,67,448
344,634,-295,122,943,337,303,-175,157,320
615,452,-24,-59,664,640,24,128,247,64
713,334,73,-177,516,704,-124,192,292,192
1053,340,413,-171,246,658,-394,146,337,448
713,689,73,177,547,266,-93,-246,67,192
817,438,177,-73,439,605,-201,93,337,192
699,536,59,24,522,482,-118,-30,22,64
935,389,295,-122,302,621,-338,109,337,320
580,536,-59,24,694,482,54,-30,157,64
462,585,-177,73,843,416,203,-96,157,192
