targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
226,683,-413,171,1106,285,466,-227,157,448
344,389,-295,-122,927,655,287,143,202,320
517,216,-122,-295,819,709,179,197,247,320
935,389,295,-122,513,580,-127,68,337,320
462,585,-177,73,919,459,279,-53,157,192
566,689,-73,177,895,370,255,-142,112,192
615,452,-24,-59,769,591,129,79,247,64
713,689,73,177,662,376,22,-136,67,192
811,98,171,-413,585,743,-55,231,292,448
1053,683,413,171,477,419,-163,-93,22,448
762,807,122,295,588,338,-52,-174,67,320
468,98,-171,-413,918,763,278,251,247,448
699,487,59,-24,682,554,42,42,337,64
664,452,24,-59,678,568,38,56,292,64
517,807,-122,295,867,311,227,-201,112,320
713,334,73,-177,653,660,13,148,292,192
664,571,24,59,743,449,103,-63,67,64
1053,340,413,-171,474,653,-166,141,337,448
226,340,-413,-171,1059,746,419,234,202,448
468,925,-171,413,971,176,331,-336,112,448
580,536,-59,24,880,497,240,-15,157,64
580,487,-59,-24,823,558,183,46,202,64
462,438,-177,-73,911,619,271,107,202,192
762,216,122,-295,639,662,-1,150,292,320
935,634,295,122,592,448,-48,-64,22,320
344,634,-295,122,922,422,282,-90,157,320
615,571,-24,59,841,437,201,-75,112,64
817,585,177,73,574,474,-66,-38,22,192
811,925,171,413,586,184,-54,-328,67,448
699,536,59,24,695,480,55,-32,22,64
566,334,-73,-177,847,646,207,134,247,192
817,438,177,-73,579,575,-61,63,337,192
462,585,-177,73,868,464,228,-48,157,192
226,683,-413,171,972,398,332,-114,157,448
344,389,-295,-122,1006,657,366,145,202,320
566,689,-73,177,848,407,208,-105,112,192
811,98,171,-413,639,733,-1,221,292,448
935,634,295,122,501,399,-139,-113,22,320
462,438,-177,-73,950,611,310,99,202,192
817,438,177,-73,563,565,-77,53,337,192
817,585,177,73,630,480,-10,-32,22,192
580,487,-59,-24,846,565,206,53,202,64
615,452,-24,-59,828,610,188,98,247,64
566,334,-73,-177,819,642,179,130,247,192
468,925,-171,413,922,216,282,-296,112,448
699,487,59,-24,653,566,13,54,337,64
664,571,24,59,727,456,87,-56,67,64
1053,683,413,171,454,392,-186,-120,22,448
517,216,-122,-295,959,754,319,242,247,320
226,340,-413,-171,1088,638,448,126,202,448
664,452,24,-59,709,575,69,63,292,64
811,925,171,413,611,125,-29,-387,67,448
344,634,-295,122,1012,386,372,-126,157,320
615,571,-24,59,819,451,179,-61,112,64
762,807,122,295,599,321,-41,-191,67,320
468,98,-171,-413,815,737,175,225,247,448
713,334,73,-177,657,650,17,138,292,192
517,807,-122,295,888,251,248,-261,112,320
713,689,73,177,627,416,-13,-96,67,192
1053,340,413,-171,442,699,-198,187,337,448
935,389,295,-122,545,638,-95,126,337,320
699,536,59,24,727,489,87,-23,22,64
580,536,-59,24,856,481,216,-31,157,64
762,216,122,-295,594,782,-46,270,292,320
664,571,24,59,750,460,110,-52,67,64
344,634,-295,122,1024,412,384,-100,157,320
462,585,-177,73,986,457,346,-55,157,192
580,536,-59,24,912,475,272,-37,157,64
713,689,73,177,645,430,5,-82,67,192
664,452,24,-59,694,598,54,86,292,64
566,689,-73,177,850,413,210,-99,112,192
468,925,-171,413,923,191,283,-321,112,448
817,438,177,-73,571,630,-69,118,337,192
817,585,177,73,597,451,-43,-61,22,192
762,807,122,295,656,348,16,-164,67,320
462,438,-177,-73,967,584,327,72,202,192
713,334,73,-177,668,641,28,129,292,192
1053,683,413,171,493,396,-147,-116,22,448
517,807,-122,295,829,339,189,-173,112,320
935,389,295,-122,594,635,-46,123,337,320
811,925,171,413,650,187,10,-325,67,448
811,98,171,-413,591,791,-49,279,292,448
344,389,-295,-122,1056,645,416,133,202,320
699,536,59,24,730,477,90,-35,22,64
468,98,-171,-413,876,822,236,310,247,448
517,216,-122,-295,891,757,251,245,247,320
762,216,122,-295,633,736,-7,224,292,320
699,487,59,-24,675,569,35,57,337,64
580,487,-59,-24,911,569,271,57,202,64
226,683,-413,171,1102,342,462,-170,157,448
615,452,-24,-59,852,608,212,96,247,64
566,334,-73,-177,874,645,234,133,247,192
1053,340,413,-171,466,652,-174,140,337,448
935,634,295,122,600,407,-40,-105,22,320
226,340,-413,-171,1013,643,373,131,202,448
615,571,-24,59,831,447,191,-65,112,64
1053,683,413,171,581,440,-59,-72,22,448
517,216,-122,-295,832,716,192,204,247,320
226,340,-413,-171,1181,705,541,193,202,448
468,925,-171,413,956,172,316,-340,112,448
517,807,-122,295,855,264,215,-248,112,320
615,571,-24,59,843,463,203,-49,112,64
713,334,73,-177,680,702,40,190,292,192
699,536,59,24,685,487,45,-25,22,64
615,452,-24,-59,830,594,190,82,247,64
762,216,122,-295,640,771,0,259,292,320
566,334,-73,-177,837,653,197,141,247,192
699,487,59,-24,636,556,-4,44,337,64
664,452,24,-59,698,578,58,66,292,64
462,438,-177,-73,929,610,289,98,202,192
664,571,24,59,769,430,129,-82,67,64
935,389,295,-122,600,625,-40,113,337,320
811,98,171,-413,658,816,18,304,292,448
811,925,171,413,648,112,8,-400,67,448
713,689,73,177,692,355,52,-157,67,192
935,634,295,122,543,432,-97,-80,22,320
817,585,177,73,625,494,-15,-18,22,192
762,807,122,295,685,286,45,-226,67,320
344,389,-295,-122,1021,622,381,110,202,320
344,634,-295,122,1008,395,368,-117,157,320
462,585,-177,73,965,448,325,-64,157,192
817,438,177,-73,581,576,-59,64,337,192
468,98,-171,-413,822,769,182,257,247,448
580,536,-59,24,875,466,235,-46,157,64
226,683,-413,171,1064,420,424,-92,157,448
580,487,-59,-24,876,577,236,65,202,64
1053,340,413,-171,444,708,-196,196,337,448
566,689,-73,177,891,361,251,-151,112,192
664,452,24,-59,766,590,126,78,292,64
762,216,122,-295,693,708,53,196,292,320
811,925,171,413,672,293,32,-219,67,448
517,807,-122,295,926,330,286,-182,112,320
580,536,-59,24,864,479,224,-33,157,64
615,571,-24,59,830,455,190,-57,112,64
580,487,-59,-24,899,531,259,19,202,64
1053,340,413,-171,556,627,-84,115,337,448
468,98,-171,-413,861,827,221,315,247,448
566,689,-73,177,821,354,181,-158,112,192
935,389,295,-122,574,644,-66,132,337,320
517,216,-122,-295,909,783,269,271,247,320
344,634,-295,122,1034,355,394,-157,157,320
462,438,-177,-73,900,615,260,103,202,192
713,334,73,-177,685,666,45,154,292,192
762,807,122,295,618,345,-22,-167,67,320
699,536,59,24,704,494,64,-18,22,64
566,334,-73,-177,806,733,166,221,247,192
817,438,177,-73,601,605,-39,93,337,192
