targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
713,689,73,177,568,348,-72,-164,67,192
615,571,-24,59,668,456,28,-56,112,64
1053,340,413,-171,299,750,-341,238,337,448
817,438,177,-73,450,625,-190,113,337,192
664,571,24,59,578,449,-62,-63,67,64
462,438,-177,-73,748,622,108,110,202,192
762,216,122,-295,546,691,-94,179,292,320
462,585,-177,73,749,478,109,-34,157,192
817,585,177,73,475,452,-165,-60,22,192
762,807,122,295,532,333,-108,-179,67,320
226,340,-413,-171,831,662,191,150,202,448
615,452,-24,-59,666,567,26,55,247,64
344,389,-295,-122,825,629,185,117,202,320
566,689,-73,177,687,380,47,-132,112,192
713,334,73,-177,550,678,-90,166,292,192
699,487,59,-24,574,540,-66,28,337,64
699,536,59,24,569,494,-71,-18,22,64
468,925,-171,413,750,284,110,-228,112,448
664,452,24,-59,606,586,-34,74,292,64
517,807,-122,295,690,343,50,-169,112,320
811,925,171,413,458,288,-182,-224,67,448
580,487,-59,-24,713,591,73,79,202,64
935,389,295,-122,386,654,-254,142,337,320
468,98,-171,-413,719,786,79,274,247,448
580,536,-59,24,703,476,63,-36,157,64
566,334,-73,-177,682,659,42,147,247,192
226,683,-413,171,935,406,295,-106,157,448
811,98,171,-413,460,774,-180,262,292,448
1053,683,413,171,404,371,-236,-141,22,448
344,634,-295,122,833,423,193,-89,157,320
517,216,-122,-295,716,683,76,171,247,320
935,634,295,122,462,448,-178,-64,22,320
713,334,73,-177,523,645,-117,133,292,192
664,571,24,59,590,444,-50,-68,67,64
1053,340,413,-171,315,689,-325,177,337,448
762,807,122,295,535,348,-105,-164,67,320
468,98,-171,-413,739,776,99,264,247,448
811,98,171,-413,479,797,-161,285,292,448
566,334,-73,-177,727,658,87,146,247,192
344,389,-295,-122,789,650,149,138,202,320
462,585,-177,73,763,436,123,-76,157,192
344,634,-295,122,791,410,151,-102,157,320
226,340,-413,-171,892,698,252,186,202,448
566,689,-73,177,701,363,61,-149,112,192
935,389,295,-122,399,652,-241,140,337,320
468,925,-171,413,722,269,82,-243,112,448
580,487,-59,-24,699,548,59,36,202,64
226,683,-413,171,849,413,209,-99,157,448
699,536,59,24,579,480,-61,-32,22,64
935,634,295,122,429,419,-211,-93,22,320
580,536,-59,24,695,502,55,-10,157,64
811,925,171,413,442,240,-198,-272,67,448
517,807,-122,295,687,362,47,-150,112,320
762,216,122,-295,523,739,-117,227,292,320
713,689,73,177,548,372,-92,-140,67,192
817,438,177,-73,493,610,-147,98,337,192
664,452,24,-59,590,595,-50,83,292,64
699,487,59,-24,582,568,-58,56,337,64
615,452,-24,-59,673,584,33,72,247,64
1053,683,413,171,354,367,-286,-145,22,448
615,571,-24,59,668,460,28,-52,112,64
817,585,177,73,458,468,-182,-44,22,192
517,216,-122,-295,709,665,69,153,247,320
462,438,-177,-73,752,610,112,98,202,192
817,438,177,-73,464,607,-176,95,337,192
615,452,-24,-59,685,597,45,85,247,64
811,925,171,413,501,332,-139,-180,67,448
517,216,-122,-295,743,739,103,227,247,320
935,389,295,-122,427,617,-213,105,337,320
811,98,171,-413,442,752,-198,240,292,448
713,689,73,177,544,412,-96,-100,67,192
517,807,-122,295,727,312,87,-200,112,320
817,585,177,73,458,425,-182,-87,22,192
1053,340,413,-171,346,690,-294,178,337,448
344,389,-295,-122,824,656,184,144,202,320
664,571,24,59,603,469,-37,-43,67,64
580,487,-59,-24,693,593,53,81,202,64
580,536,-59,24,681,471,41,-41,157,64
664,452,24,-59,595,586,-45,74,292,64
226,340,-413,-171,871,684,231,172,202,448
1053,683,413,171,367,414,-273,-98,22,448
699,536,59,24,590,508,-50,-4,22,64
468,925,-171,413,751,248,111,-264,112,448
462,585,-177,73,757,432,117,-80,157,192
344,634,-295,122,759,425,119,-87,157,320
935,634,295,122,449,396,-191,-116,22,320
462,438,-177,-73,779,584,139,72,202,192
762,216,122,-295,496,746,-144,234,292,320
468,98,-171,-413,738,725,98,213,247,448
699,487,59,-24,518,582,-122,70,337,64
615,571,-24,59,688,459,48,-53,112,64
566,334,-73,-177,655,635,15,123,247,192
713,334,73,-177,550,666,-90,154,292,192
762,807,122,295,508,356,-132,-156,67,320
226,683,-413,171,780,413,140,-99,157,448
566,689,-73,177,670,409,30,-103,112,192
817,438,177,-73,481,565,-159,53,337,192
566,334,-73,-177,690,631,50,119,247,192
226,340,-413,-171,798,673,158,161,202,448
699,536,59,24,590,495,-50,-17,22,64
713,689,73,177,570,431,-70,-81,67,192
580,536,-59,24,710,495,70,-17,157,64
615,571,-24,59,649,426,9,-86,112,64
517,807,-122,295,719,348,79,-164,112,320
468,925,-171,413,704,351,64,-161,112,448
811,98,171,-413,470,787,-170,275,292,448
699,487,59,-24,558,544,-82,32,337,64
664,571,24,59,615,477,-25,-35,67,64
935,634,295,122,438,421,-202,-91,22,320
226,683,-413,171,871,419,231,-93,157,448
1053,683,413,171,338,403,-302,-109,22,448
935,389,295,-122,363,609,-277,97,337,320
762,216,122,-295,466,786,-174,274,292,320
762,807,122,295,457,292,-183,-220,67,320
