targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
699,536,59,24,451,386,-189,-126,22,64
468,98,-171,-413,979,821,339,309,247,448
762,807,122,295,555,290,-85,-222,67,320
615,571,-24,59,755,466,115,-46,112,64
1053,340,413,-171,492,683,-148,171,337,448
517,216,-122,-295,926,772,286,260,247,320
713,334,73,-177,597,652,-43,140,292,192
811,925,171,413,609,186,-31,-326,67,448
580,536,-59,24,853,528,213,16,157,64
226,340,-413,-171,1180,722,540,210,202,448
664,452,24,-59,746,732,106,220,292,64
935,389,295,-122,505,749,-135,237,337,320
615,452,-24,-59,804,660,164,148,247,64
817,585,177,73,486,617,-154,105,22,192
468,925,-171,413,797,197,157,-315,112,448
811,98,171,-413,591,923,-49,411,292,448
344,634,-295,122,1070,340,430,-172,157,320
699,487,59,-24,586,626,-54,114,337,64
580,487,-59,-24,848,610,208,98,202,64
664,571,24,59,629,369,-11,-143,67,64
462,585,-177,73,921,431,281,-81,157,192
226,683,-413,171,1105,343,465,-169,157,448
566,689,-73,177,702,463,62,-49,112,192
1053,683,413,171,357,400,-283,-112,22,448
566,334,-73,-177,930,686,290,174,247,192
344,389,-295,-122,1065,604,425,92,202,320
713,689,73,177,553,354,-87,-158,67,192
517,807,-122,295,817,238,177,-274,112,320
762,216,122,-295,605,858,-35,346,292,320
935,634,295,122,313,395,-327,-117,22,320
817,438,177,-73,560,617,-80,105,337,192
462,438,-177,-73,1043,601,403,89,202,192
462,438,-177,-73,1022,688,382,176,202,192
344,634,-295,122,964,273,324,-239,157,320
462,585,-177,73,758,457,118,-55,157,192
817,585,177,73,303,528,-337,16,22,192
811,98,171,-413,584,862,-56,350,292,448
344,389,-295,-122,1034,668,394,156,202,320
226,683,-413,171,1039,340,399,-172,157,448
664,571,24,59,449,538,-191,26,67,64
935,389,295,-122,451,629,-189,117,337,320
713,334,73,-177,689,736,49,224,292,192
817,438,177,-73,493,613,-147,101,337,192
811,925,171,413,459,149,-181,-363,67,448
713,689,73,177,564,394,-76,-118,67,192
762,807,122,295,674,344,34,-168,67,320
468,98,-171,-413,1046,867,406,355,247,448
1053,340,413,-171,282,652,-358,140,337,448
1053,683,413,171,320,271,-320,-241,22,448
935,634,295,122,386,395,-254,-117,22,320
615,571,-24,59,780,399,140,-113,112,64
580,536,-59,24,630,417,-10,-95,157,64
517,216,-122,-295,893,625,253,113,247,320
517,807,-122,295,789,232,149,-280,112,320
699,487,59,-24,547,597,-93,85,337,64
762,216,122,-295,763,759,123,247,292,320
226,340,-413,-171,1103,614,463,102,202,448
699,536,59,24,787,469,147,-43,22,64
566,334,-73,-177,832,682,192,170,247,192
664,452,24,-59,618,609,-22,97,292,64
566,689,-73,177,763,304,123,-208,112,192
580,487,-59,-24,924,589,284,77,202,64
468,925,-171,413,841,129,201,-383,112,448
615,452,-24,-59,757,670,117,158,247,64
344,389,-295,-122,974,591,334,79,202,320
226,340,-413,-171,999,707,359,195,202,448
935,634,295,122,460,409,-180,-103,22,320
462,585,-177,73,971,412,331,-100,157,192
580,487,-59,-24,1053,605,413,93,202,64
468,925,-171,413,905,120,265,-392,112,448
811,98,171,-413,721,848,81,336,292,448
699,487,59,-24,678,466,38,-46,337,64
566,689,-73,177,759,286,119,-226,112,192
580,536,-59,24,749,454,109,-58,157,64
817,438,177,-73,450,619,-190,107,337,192
615,571,-24,59,755,313,115,-199,112,64
566,334,-73,-177,839,646,199,134,247,192
1053,340,413,-171,336,631,-304,119,337,448
462,438,-177,-73,1000,523,360,11,202,192
344,634,-295,122,1048,357,408,-155,157,320
762,807,122,295,646,225,6,-287,67,320
468,98,-171,-413,996,932,356,420,247,448
762,216,122,-295,688,725,48,213,292,320
713,689,73,177,785,397,145,-115,67,192
615,452,-24,-59,891,581,251,69,247,64
226,683,-413,171,956,396,316,-116,157,448
517,807,-122,295,797,210,157,-302,112,320
713,334,73,-177,623,750,-17,238,292,192
664,571,24,59,582,414,-58,-98,67,64
1053,683,413,171,337,367,-303,-145,22,448
664,452,24,-59,610,640,-30,128,292,64
699,536,59,24,567,446,-73,-66,22,64
817,585,177,73,629,390,-11,-122,22,192
517,216,-122,-295,893,699,253,187,247,320
811,925,171,413,568,128,-72,-384,67,448
935,389,295,-122,558,662,-82,150,337,320
615,571,-24,59,728,386,88,-126,112,64
811,925,171,413,627,189,-13,-323,67,448
817,438,177,-73,512,602,-128,90,337,192
226,340,-413,-171,1081,642,441,130,202,448
517,807,-122,295,740,235,100,-277,112,320
935,634,295,122,385,408,-255,-104,22,320
226,683,-413,171,1026,373,386,-139,157,448
566,334,-73,-177,883,720,243,208,247,192
713,334,73,-177,593,673,-47,161,292,192
713,689,73,177,558,284,-82,-228,67,192
344,634,-295,122,1048,384,408,-128,157,320
462,585,-177,73,986,434,346,-78,157,192
699,536,59,24,542,459,-98,-53,22,64
615,452,-24,-59,805,621,165,109,247,64
517,216,-122,-295,996,762,356,250,247,320
664,452,24,-59,789,583,149,71,292,64
566,689,-73,177,782,251,142,-261,112,192
468,98,-171,-413,921,824,281,312,247,448
580,487,-59,-24,862,579,222,67,202,64
344,389,-295,-122,931,602,291,90,202,320
1053,683,413,171,501,326,-139,-186,22,448
762,216,122,-295,543,778,-97,266,292,320
817,585,177,73,534,424,-106,-88,22,192
1053,340,413,-171,581,636,-59,124,337,448
468,925,-171,413,971,131,331,-381,112,448
699,487,59,-24,546,584,-94,72,337,64
462,438,-177,-73,1030,644,390,132,202,192
762,807,122,295,671,296,31,-216,67,320
580,536,-59,24,761,512,121,0,157,64
664,571,24,59,871,582,231,70,67,64
811,98,171,-413,773,615,133,103,292,448
935,389,295,-122,704,469,64,-43,337,320
566,689,-73,177,758,309,118,-203,112,192
664,571,24,59,554,387,-86,-125,67,64
935,389,295,-122,700,643,60,131,337,320
1053,683,413,171,410,330,-230,-182,22,448
817,585,177,73,730,419,90,-93,22,192
344,634,-295,122,1042,315,402,-197,157,320
468,98,-171,-413,992,706,352,194,247,448
713,689,73,177,565,306,-75,-206,67,192
811,925,171,413,559,35,-81,-477,67,448
226,340,-413,-171,1136,727,496,215,202,448
1053,340,413,-171,412,611,-228,99,337,448
226,683,-413,171,1150,287,510,-225,157,448
344,389,-295,-122,1049,639,409,127,202,320
517,216,-122,-295,792,659,152,147,247,320
664,452,24,-59,577,605,-63,93,292,64
580,487,-59,-24,810,515,170,3,202,64
462,438,-177,-73,928,559,288,47,202,192
699,536,59,24,541,462,-99,-50,22,64
615,452,-24,-59,720,596,80,84,247,64
762,807,122,295,563,222,-77,-290,67,320
615,571,-24,59,825,332,185,-180,112,64
817,438,177,-73,502,653,-138,141,337,192
468,925,-171,413,929,29,289,-483,112,448
