targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
566,689,-73,177,713,360,73,-152,112,192
226,683,-413,171,903,334,263,-178,157,448
699,536,59,24,569,473,-71,-39,22,64
1053,683,413,171,265,361,-375,-151,22,448
566,334,-73,-177,732,759,92,247,247,192
468,925,-171,413,778,133,138,-379,112,448
817,438,177,-73,417,631,-223,119,337,192
811,925,171,413,453,234,-187,-278,67,448
580,487,-59,-24,702,568,62,56,202,64
462,585,-177,73,816,406,176,-106,157,192
664,571,24,59,585,442,-55,-70,67,64
517,807,-122,295,790,266,150,-246,112,320
699,487,59,-24,570,596,-70,84,337,64
468,98,-171,-413,870,856,230,344,247,448
615,571,-24,59,668,452,28,-60,112,64
935,634,295,122,409,427,-231,-85,22,320
713,334,73,-177,563,672,-77,160,292,192
462,438,-177,-73,809,627,169,115,202,192
713,689,73,177,551,322,-89,-190,67,192
811,98,171,-413,450,843,-190,331,292,448
344,634,-295,122,888,340,248,-172,157,320
517,216,-122,-295,782,764,142,252,247,320
344,389,-295,-122,896,666,256,154,202,320
226,340,-413,-171,1001,759,361,247,202,448
762,807,122,295,1001,759,361,247,67,320
762,807,122,295,1001,759,361,247,67,320
762,807,122,295,512,212,-128,-300,67,320
762,216,122,-295,479,793,-161,281,292,320
664,452,24,-59,590,590,-50,78,292,64
817,585,177,73,501,441,-139,-71,22,192
935,389,295,-122,434,600,-206,88,337,320
1053,340,413,-171,267,664,-373,152,337,448
615,452,-24,-59,681,585,41,73,247,64
580,536,-59,24,711,481,71,-31,157,64
517,807,-122,295,749,279,109,-233,112,320
462,585,-177,73,830,443,190,-69,157,192
1053,340,413,-171,294,703,-346,191,337,448
226,340,-413,-171,1000,716,360,204,202,448
566,334,-73,-177,751,698,111,186,247,192
817,438,177,-73,480,593,-160,81,337,192
713,689,73,177,558,350,-82,-162,67,192
811,98,171,-413,446,876,-194,364,292,448
566,689,-73,177,705,336,65,-176,112,192
935,634,295,122,389,398,-251,-114,22,320
664,571,24,59,598,462,-42,-50,67,64
699,536,59,24,574,485,-66,-27,22,64
811,925,171,413,484,178,-156,-334,67,448
1053,683,413,171,287,324,-353,-188,22,448
580,487,-59,-24,720,564,80,52,202,64
713,334,73,-177,532,727,-108,215,292,192
468,925,-171,413,794,191,154,-321,112,448
344,634,-295,122,938,389,298,-123,157,320
344,389,-295,-122,913,663,273,151,202,320
615,452,-24,-59,684,596,44,84,247,64
462,438,-177,-73,758,593,118,81,202,192
817,585,177,73,450,409,-190,-103,22,192
468,98,-171,-413,830,897,190,385,247,448
517,216,-122,-295,805,810,165,298,247,320
762,807,122,295,489,174,-151,-338,67,320
226,683,-413,171,1072,294,432,-218,157,448
762,216,122,-295,495,792,-145,280,292,320
699,487,59,-24,549,589,-91,77,337,64
615,571,-24,59,674,429,34,-83,112,64
580,536,-59,24,714,480,74,-32,157,64
