targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
935,389,295,-122,386,616,-254,104,337,320
1053,340,413,-171,269,663,-371,151,337,448
566,689,-73,177,710,316,70,-196,112,192
817,438,177,-73,473,586,-167,74,337,192
226,340,-413,-171,1066,697,426,185,202,448
462,585,-177,73,820,422,180,-90,157,192
664,571,24,59,604,450,-36,-62,67,64
580,536,-59,24,714,477,74,-35,157,64
699,536,59,24,577,476,-63,-36,22,64
468,925,-171,413,852,133,212,-379,112,448
344,389,-295,-122,961,697,321,185,202,320
699,487,59,-24,569,551,-71,39,337,64
762,807,122,295,527,229,-113,-283,67,320
580,487,-59,-24,723,557,83,45,202,64
462,438,-177,-73,823,626,183,114,202,192
517,807,-122,295,763,240,123,-272,112,320
468,98,-171,-413,831,924,191,412,247,448
1053,683,413,171,323,343,-317,-169,22,448
713,334,73,-177,552,683,-88,171,292,192
226,683,-413,171,993,349,353,-163,157,448
935,634,295,122,373,374,-267,-138,22,320
762,216,122,-295,514,757,-126,245,292,320
615,571,-24,59,675,435,35,-77,112,64
566,334,-73,-177,734,706,94,194,247,192
811,98,171,-413,430,870,-210,358,292,448
615,452,-24,-59,673,570,33,58,247,64
664,452,24,-59,611,557,-29,45,292,64
344,634,-295,122,919,399,279,-113,157,320
817,585,177,73,478,422,-162,-90,22,192
811,925,171,413,483,135,-157,-377,67,448
517,216,-122,-295,797,820,157,308,247,320
713,689,73,177,559,336,-81,-176,67,192
935,634,295,122,409,360,-231,-152,22,320
713,334,73,-177,560,676,-80,164,292,192
664,571,24,59,611,440,-29,-72,67,64
580,487,-59,-24,718,564,78,52,202,64
462,438,-177,-73,810,604,170,92,202,192
1053,683,413,171,312,321,-328,-191,22,448
664,452,24,-59,608,583,-32,71,292,64
935,389,295,-122,349,618,-291,106,337,320
517,807,-122,295,757,239,117,-273,112,320
344,634,-295,122,966,374,326,-138,157,320
226,683,-413,171,1005,349,365,-163,157,448
762,807,122,295,505,244,-135,-268,67,320
615,571,-24,59,673,441,33,-71,112,64
462,585,-177,73,803,431,163,-81,157,192
699,536,59,24,577,481,-63,-31,22,64
615,452,-24,-59,678,590,38,78,247,64
713,689,73,177,578,344,-62,-168,67,192
566,689,-73,177,704,355,64,-157,112,192
344,389,-295,-122,943,708,303,196,202,320
517,216,-122,-295,802,807,162,295,247,320
468,925,-171,413,805,137,165,-375,112,448
580,536,-59,24,689,478,49,-34,157,64
226,340,-413,-171,1034,754,394,242,202,448
811,98,171,-413,439,871,-201,359,292,448
817,438,177,-73,461,603,-179,91,337,192
762,216,122,-295,474,772,-166,260,292,320
566,334,-73,-177,740,682,100,170,247,192
468,98,-171,-413,831,868,191,356,247,448
699,487,59,-24,553,553,-87,41,337,64
811,925,171,413,516,168,-124,-344,67,448
817,585,177,73,489,396,-151,-116,22,192
1053,340,413,-171,274,661,-366,149,337,448
1053,340,413,-171,262,662,-378,150,337,448
462,585,-177,73,854,413,214,-99,157,192
699,487,59,-24,560,549,-80,37,337,64
1053,683,413,171,317,318,-323,-194,22,448
468,98,-171,-413,841,908,201,396,247,448
935,389,295,-122,385,611,-255,99,337,320
566,334,-73,-177,730,679,90,167,247,192
580,536,-59,24,706,486,66,-26,157,64
817,585,177,73,511,437,-129,-75,22,192
713,334,73,-177,552,662,-88,150,292,192
699,536,59,24,580,473,-60,-39,22,64
468,925,-171,413,816,158,176,-354,112,448
713,689,73,177,551,327,-89,-185,67,192
462,438,-177,-73,856,660,216,148,202,192
517,807,-122,295,739,263,99,-249,112,320
566,689,-73,177,710,332,70,-180,112,192
664,452,24,-59,605,592,-35,80,292,64
517,216,-122,-295,774,761,134,249,247,320
811,98,171,-413,414,852,-226,340,292,448
580,487,-59,-24,717,554,77,42,202,64
817,438,177,-73,481,580,-159,68,337,192
344,634,-295,122,899,374,259,-138,157,320
811,925,171,413,479,154,-161,-358,67,448
664,571,24,59,599,431,-41,-81,67,64
615,452,-24,-59,694,598,54,86,247,64
762,216,122,-295,447,739,-193,227,292,320
615,571,-24,59,672,440,32,-72,112,64
762,807,122,295,536,208,-104,-304,67,320
226,340,-413,-171,1028,741,388,229,202,448
344,389,-295,-122,983,712,343,200,202,320
935,634,295,122,422,372,-218,-140,22,320
226,683,-413,171,1013,351,373,-161,157,448
615,571,-24,59,673,451,33,-61,112,64
762,807,122,295,508,219,-132,-293,67,320
713,334,73,-177,526,707,-114,195,292,192
817,585,177,73,502,432,-138,-80,22,192
566,689,-73,177,718,309,78,-203,112,192
811,98,171,-413,421,887,-219,375,292,448
517,807,-122,295,739,244,99,-268,112,320
664,452,24,-59,612,592,-28,80,292,64
226,340,-413,-171,1001,719,361,207,202,448
1053,340,413,-171,281,664,-359,152,337,448
699,487,59,-24,575,542,-65,30,337,64
762,216,122,-295,473,790,-167,278,292,320
580,536,-59,24,709,468,69,-44,157,64
344,389,-295,-122,915,684,275,172,202,320
935,634,295,122,404,389,-236,-123,22,320
344,634,-295,122,919,390,279,-122,157,320
615,452,-24,-59,695,598,55,86,247,64
226,683,-413,171,1006,318,366,-194,157,448
468,98,-171,-413,837,852,197,340,247,448
462,438,-177,-73,858,655,218,143,202,192
713,689,73,177,546,309,-94,-203,67,192
462,585,-177,73,844,425,204,-87,157,192
468,925,-171,413,812,110,172,-402,112,448
580,487,-59,-24,720,560,80,48,202,64
566,334,-73,-177,736,700,96,188,247,192
664,571,24,59,596,432,-44,-80,67,64
817,438,177,-73,498,572,-142,60,337,192
517,216,-122,-295,777,767,137,255,247,320
1053,683,413,171,308,291,-332,-221,22,448
699,536,59,24,569,466,-71,-46,22,64
811,925,171,413,475,109,-165,-403,67,448
935,389,295,-122,332,658,-308,146,337,320
462,585,-177,73,819,426,179,-86,157,192
462,438,-177,-73,802,617,162,105,202,192
699,487,59,-24,571,545,-69,33,337,64
615,452,-24,-59,685,581,45,69,247,64
226,340,-413,-171,1013,715,373,203,202,448
580,536,-59,24,705,480,65,-32,157,64
344,634,-295,122,903,371,263,-141,157,320
817,585,177,73,480,425,-160,-87,22,192
566,334,-73,-177,744,705,104,193,247,192
664,571,24,59,605,436,-35,-76,67,64
762,807,122,295,534,267,-106,-245,67,320
713,689,73,177,576,338,-64,-174,67,192
468,98,-171,-413,850,885,210,373,247,448
1053,340,413,-171,254,681,-386,169,337,448
468,925,-171,413,810,86,170,-426,112,448
762,216,122,-295,512,829,-128,317,292,320
817,438,177,-73,475,600,-165,88,337,192
713,334,73,-177,563,695,-77,183,292,192
566,689,-73,177,708,334,68,-178,112,192
699,536,59,24,594,489,-46,-23,22,64
580,487,-59,-24,707,551,67,39,202,64
517,216,-122,-295,775,773,135,261,247,320
615,571,-24,59,674,434,34,-78,112,64
811,98,171,-413,457,846,-183,334,292,448
517,807,-122,295,778,232,138,-280,112,320
226,683,-413,171,995,330,355,-182,157,448
935,389,295,-122,392,665,-248,153,337,320
1053,683,413,171,328,304,-312,-208,22,448
811,925,171,413,500,120,-140,-392,67,448
664,452,24,-59,578,590,-62,78,292,64
935,634,295,122,424,367,-216,-145,22,320
344,389,-295,-122,972,684,332,172,202,320
664,452,24,-59,605,585,-35,73,292,64
762,807,122,295,509,222,-131,-290,67,320
566,334,-73,-177,752,723,112,211,247,192
713,334,73,-177,551,676,-89,164,292,192
762,216,122,-295,494,758,-146,246,292,320
811,925,171,413,504,129,-136,-383,67,448
462,438,-177,-73,840,618,200,106,202,192
226,683,-413,171,1027,321,387,-191,157,448
344,634,-295,122,918,384,278,-128,157,320
935,634,295,122,389,399,-251,-113,22,320
468,98,-171,-413,837,813,197,301,247,448
811,98,171,-413,422,819,-218,307,292,448
468,925,-171,413,825,151,185,-361,112,448
462,585,-177,73,816,416,176,-96,157,192
699,487,59,-24,573,549,-67,37,337,64
226,340,-413,-171,972,718,332,206,202,448
580,487,-59,-24,722,556,82,44,202,64
615,452,-24,-59,688,582,48,70,247,64
566,689,-73,177,708,321,68,-191,112,192
