targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
468,925,-171,413,886,139,246,-373,112,448
811,98,171,-413,447,935,-193,423,292,448
762,216,122,-295,502,800,-138,288,292,320
344,634,-295,122,964,312,324,-200,157,320
713,689,73,177,571,343,-69,-169,67,192
566,334,-73,-177,746,733,106,221,247,192
468,98,-171,-413,840,939,200,427,247,448
699,487,59,-24,581,550,-59,38,337,64
817,438,177,-73,493,597,-147,85,337,192
1053,340,413,-171,275,799,-365,287,337,448
935,634,295,122,402,349,-238,-163,22,320
226,683,-413,171,1064,318,424,-194,157,448
664,571,24,59,623,444,-17,-68,67,64
566,689,-73,177,759,335,119,-177,112,192
817,585,177,73,517,435,-123,-77,22,192
713,334,73,-177,568,715,-72,203,292,192
935,389,295,-122,401,634,-239,122,337,320
462,585,-177,73,840,418,200,-94,157,192
226,340,-413,-171,987,725,347,213,202,448
517,216,-122,-295,789,809,149,297,247,320
580,487,-59,-24,786,549,146,37,202,64
762,807,122,295,556,224,-84,-288,67,320
462,438,-177,-73,866,586,226,74,202,192
580,536,-59,24,783,454,143,-58,157,64
664,452,24,-59,641,583,1,71,292,64
1053,683,413,171,337,290,-303,-222,22,448
517,807,-122,295,806,271,166,-241,112,320
615,571,-24,59,758,444,118,-68,112,64
344,389,-295,-122,969,655,329,143,202,320
811,925,171,413,453,74,-187,-438,67,448
699,536,59,24,592,466,-48,-46,22,64
615,452,-24,-59,725,600,85,88,247,64
811,98,171,-413,463,949,-177,437,292,448
468,98,-171,-413,811,933,171,421,247,448
566,689,-73,177,748,329,108,-183,112,192
344,389,-295,-122,959,652,319,140,202,320
468,925,-171,413,882,32,242,-480,112,448
713,334,73,-177,547,715,-93,203,292,192
580,487,-59,-24,743,558,103,46,202,64
817,585,177,73,504,402,-136,-110,22,192
699,487,59,-24,586,553,-54,41,337,64
226,683,-413,171,1039,258,399,-254,157,448
462,438,-177,-73,818,613,178,101,202,192
226,340,-413,-171,1066,754,426,242,202,448
517,216,-122,-295,819,857,179,345,247,320
462,585,-177,73,833,381,193,-131,157,192
1053,340,413,-171,288,718,-352,206,337,448
615,571,-24,59,714,442,74,-70,112,64
935,634,295,122,443,364,-197,-148,22,320
699,536,59,24,585,446,-55,-66,22,64
615,452,-24,-59,713,594,73,82,247,64
811,925,171,413,494,90,-146,-422,67,448
580,536,-59,24,791,462,151,-50,157,64
566,334,-73,-177,777,751,137,239,247,192
517,807,-122,295,815,186,175,-326,112,320
1053,683,413,171,314,276,-326,-236,22,448
817,438,177,-73,483,599,-157,87,337,192
762,216,122,-295,500,839,-140,327,292,320
762,807,122,295,538,228,-102,-284,67,320
713,689,73,177,578,315,-62,-197,67,192
664,452,24,-59,615,579,-25,67,292,64
935,389,295,-122,337,754,-303,242,337,320
664,571,24,59,618,424,-22,-88,67,64
344,634,-295,122,924,336,284,-176,157,320
566,689,-73,177,723,330,83,-182,112,192
935,634,295,122,389,350,-251,-162,22,320
615,571,-24,59,718,436,78,-76,112,64
580,536,-59,24,758,453,118,-59,157,64
811,925,171,413,472,32,-168,-480,67,448
226,683,-413,171,1102,176,462,-336,157,448
817,438,177,-73,485,601,-155,89,337,192
713,689,73,177,592,300,-48,-212,67,192
762,807,122,295,566,203,-74,-309,67,320
762,216,122,-295,489,881,-151,369,292,320
566,334,-73,-177,757,780,117,268,247,192
