targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
462,438,-177,-73,828,625,188,113,202,192
699,487,59,-24,555,553,-85,41,337,64
811,98,171,-413,428,898,-212,386,292,448
664,571,24,59,605,450,-35,-62,67,64
615,452,-24,-59,677,588,37,76,247,64
817,585,177,73,457,421,-183,-91,22,192
811,925,171,413,478,99,-162,-413,67,448
226,340,-413,-171,998,716,358,204,202,448
580,536,-59,24,707,481,67,-31,157,64
935,634,295,122,351,353,-289,-159,22,320
344,634,-295,122,973,338,333,-174,157,320
935,389,295,-122,390,663,-250,151,337,320
817,438,177,-73,434,628,-206,116,337,192
713,689,73,177,586,320,-54,-192,67,192
566,689,-73,177,724,341,84,-171,112,192
517,807,-122,295,773,247,133,-265,112,320
615,571,-24,59,684,433,44,-79,112,64
580,487,-59,-24,715,541,75,29,202,64
468,925,-171,413,874,86,234,-426,112,448
468,98,-171,-413,836,932,196,420,247,448
566,334,-73,-177,748,712,108,200,247,192
762,216,122,-295,504,824,-136,312,292,320
344,389,-295,-122,1006,672,366,160,202,320
762,807,122,295,506,218,-134,-294,67,320
664,452,24,-59,603,601,-37,89,292,64
517,216,-122,-295,796,813,156,301,247,320
1053,340,413,-171,342,664,-298,152,337,448
713,334,73,-177,554,698,-86,186,292,192
226,683,-413,171,1041,290,401,-222,157,448
1053,683,413,171,307,309,-333,-203,22,448
462,585,-177,73,889,367,249,-145,157,192
699,536,59,24,560,469,-80,-43,22,64
468,98,-171,-413,858,894,218,382,247,448
1053,340,413,-171,352,704,-288,192,337,448
615,452,-24,-59,675,601,35,89,247,64
517,216,-122,-295,784,796,144,284,247,320
226,683,-413,171,1017,337,377,-175,157,448
664,452,24,-59,600,594,-40,82,292,64
817,438,177,-73,444,608,-196,96,337,192
699,487,59,-24,570,552,-70,40,337,64
226,340,-413,-171,962,683,322,171,202,448
762,216,122,-295,489,811,-151,299,292,320
580,536,-59,24,756,463,116,-49,157,64
566,334,-73,-177,761,736,121,224,247,192
615,571,-24,59,687,431,47,-81,112,64
817,585,177,73,447,413,-193,-99,22,192
935,634,295,122,382,386,-258,-126,22,320
462,585,-177,73,849,404,209,-108,157,192
566,689,-73,177,713,335,73,-177,112,192
580,487,-59,-24,728,552,88,40,202,64
811,925,171,413,483,121,-157,-391,67,448
517,807,-122,295,794,207,154,-305,112,320
713,689,73,177,556,294,-84,-218,67,192
935,389,295,-122,353,641,-287,129,337,320
811,98,171,-413,458,924,-182,412,292,448
762,807,122,295,510,255,-130,-257,67,320
713,334,73,-177,543,742,-97,230,292,192
664,571,24,59,606,435,-34,-77,67,64
344,634,-295,122,960,385,320,-127,157,320
699,536,59,24,563,474,-77,-38,22,64
468,925,-171,413,846,102,206,-410,112,448
462,438,-177,-73,832,629,192,117,202,192
1053,683,413,171,298,378,-342,-134,22,448
344,389,-295,-122,942,677,302,165,202,320
