targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
517,807,-122,295,760,269,120,-243,112,320
817,438,177,-73,470,599,-170,87,337,192
1053,340,413,-171,257,746,-383,234,337,448
699,487,59,-24,588,543,-52,31,337,64
811,925,171,413,480,222,-160,-290,67,448
1053,683,413,171,359,307,-281,-205,22,448
344,389,-295,-122,928,692,288,180,202,320
935,634,295,122,406,363,-234,-149,22,320
566,689,-73,177,712,345,72,-167,112,192
580,487,-59,-24,705,544,65,32,202,64
664,452,24,-59,606,577,-34,65,292,64
517,216,-122,-295,821,844,181,332,247,320
468,98,-171,-413,845,937,205,425,247,448
615,571,-24,59,676,456,36,-56,112,64
468,925,-171,413,854,118,214,-394,112,448
615,452,-24,-59,685,607,45,95,247,64
811,98,171,-413,462,890,-178,378,292,448
762,807,122,295,516,268,-124,-244,67,320
713,689,73,177,565,355,-75,-157,67,192
713,334,73,-177,527,694,-113,182,292,192
664,571,24,59,608,450,-32,-62,67,64
935,389,295,-122,405,649,-235,137,337,320
462,438,-177,-73,858,611,218,99,202,192
226,340,-413,-171,1068,733,428,221,202,448
817,585,177,73,457,413,-183,-99,22,192
566,334,-73,-177,742,715,102,203,247,192
226,683,-413,171,1033,353,393,-159,157,448
580,536,-59,24,770,445,130,-67,157,64
462,585,-177,73,825,436,185,-76,157,192
762,216,122,-295,492,822,-148,310,292,320
344,634,-295,122,894,362,254,-150,157,320
699,536,59,24,581,482,-59,-30,22,64
566,689,-73,177,717,334,77,-178,112,192
517,216,-122,-295,813,803,173,291,247,320
566,334,-73,-177,725,711,85,199,247,192
226,683,-413,171,1029,357,389,-155,157,448
699,536,59,24,580,475,-60,-37,22,64
664,571,24,59,616,449,-24,-63,67,64
817,585,177,73,482,409,-158,-103,22,192
811,925,171,413,490,159,-150,-353,67,448
699,487,59,-24,582,571,-58,59,337,64
517,807,-122,295,789,258,149,-254,112,320
462,438,-177,-73,850,577,210,65,202,192
226,340,-413,-171,991,675,351,163,202,448
1053,340,413,-171,302,761,-338,249,337,448
462,585,-177,73,817,429,177,-83,157,192
468,925,-171,413,805,92,165,-420,112,448
615,452,-24,-59,687,591,47,79,247,64
713,689,73,177,579,359,-61,-153,67,192
615,571,-24,59,676,444,36,-68,112,64
344,389,-295,-122,896,631,256,119,202,320
713,334,73,-177,553,683,-87,171,292,192
762,216,122,-295,501,856,-139,344,292,320
1053,683,413,171,313,327,-327,-185,22,448
935,634,295,122,383,346,-257,-166,22,320
344,634,-295,122,941,393,301,-119,157,320
664,452,24,-59,603,589,-37,77,292,64
580,487,-59,-24,700,538,60,26,202,64
468,98,-171,-413,863,896,223,384,247,448
762,807,122,295,513,256,-127,-256,67,320
811,98,171,-413,482,918,-158,406,292,448
935,389,295,-122,350,684,-290,172,337,320
817,438,177,-73,472,625,-168,113,337,192
580,536,-59,24,726,469,86,-43,157,64
811,925,171,413,490,145,-150,-367,67,448
462,438,-177,-73,847,629,207,117,202,192
762,216,122,-295,496,844,-144,332,292,320
935,389,295,-122,392,662,-248,150,337,320
713,689,73,177,564,352,-76,-160,67,192
566,689,-73,177,721,335,81,-177,112,192
344,634,-295,122,951,356,311,-156,157,320
1053,683,413,171,311,318,-329,-194,22,448
817,438,177,-73,481,611,-159,99,337,192
580,536,-59,24,710,460,70,-52,157,64
664,452,24,-59,609,593,-31,81,292,64
580,487,-59,-24,725,540,85,28,202,64
517,807,-122,295,773,218,133,-294,112,320
1053,340,413,-171,301,714,-339,202,337,448
517,216,-122,-295,776,825,136,313,247,320
615,452,-24,-59,679,605,39,93,247,64
468,98,-171,-413,858,942,218,430,247,448
226,683,-413,171,992,333,352,-179,157,448
