targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
935,389,295,-122,929,414,289,-98,337,320
517,216,-122,-295,810,749,170,237,247,320
699,487,59,-24,581,541,-59,29,337,64
517,807,-122,295,840,297,200,-215,112,320
615,571,-24,59,697,456,57,-56,112,64
1053,340,413,-171,255,668,-385,156,337,448
1053,683,413,171,318,338,-322,-174,22,448
462,438,-177,-73,817,623,177,111,202,192
762,216,122,-295,495,776,-145,264,292,320
762,807,122,295,467,261,-173,-251,67,320
462,585,-177,73,838,447,198,-65,157,192
580,487,-59,-24,702,572,62,60,202,64
811,98,171,-413,377,901,-263,389,292,448
566,334,-73,-177,792,640,152,128,247,192
468,925,-171,413,917,79,277,-433,112,448
468,98,-171,-413,935,826,295,314,247,448
580,536,-59,24,689,477,49,-35,157,64
344,389,-295,-122,925,705,285,193,202,320
699,536,59,24,577,488,-63,-24,22,64
344,634,-295,122,887,358,247,-154,157,320
664,452,24,-59,600,576,-40,64,292,64
226,683,-413,171,979,335,339,-177,157,448
615,452,-24,-59,681,582,41,70,247,64
566,689,-73,177,750,334,110,-178,112,192
713,334,73,-177,578,666,-62,154,292,192
817,585,177,73,515,446,-125,-66,22,192
713,689,73,177,544,368,-96,-144,67,192
664,571,24,59,608,471,-32,-41,67,64
935,634,295,122,447,408,-193,-104,22,320
817,438,177,-73,466,622,-174,110,337,192
811,925,171,413,501,172,-139,-340,67,448
226,340,-413,-171,1014,657,374,145,202,448
811,98,171,-413,490,802,-150,290,292,448
713,689,73,177,548,341,-92,-171,67,192
664,452,24,-59,609,590,-31,78,292,64
615,452,-24,-59,694,574,54,62,247,64
226,683,-413,171,937,333,297,-179,157,448
762,807,122,295,512,272,-128,-240,67,320
517,807,-122,295,806,256,166,-256,112,320
817,438,177,-73,480,623,-160,111,337,192
344,634,-295,122,899,414,259,-98,157,320
615,571,-24,59,672,445,32,-67,112,64
462,585,-177,73,754,444,114,-68,157,192
762,216,122,-295,517,738,-123,226,292,320
468,98,-171,-413,815,814,175,302,247,448
1053,683,413,171,351,370,-289,-142,22,448
811,925,171,413,486,255,-154,-257,67,448
1053,340,413,-171,302,679,-338,167,337,448
817,585,177,73,488,441,-152,-71,22,192
580,487,-59,-24,726,563,86,51,202,64
935,389,295,-122,394,600,-246,88,337,320
935,634,295,122,433,370,-207,-142,22,320
468,925,-171,413,799,224,159,-288,112,448
566,334,-73,-177,742,711,102,199,247,192
462,438,-177,-73,817,579,177,67,202,192
699,487,59,-24,557,547,-83,35,337,64
713,334,73,-177,539,686,-101,174,292,192
344,389,-295,-122,894,620,254,108,202,320
517,216,-122,-295,752,761,112,249,247,320
664,571,24,59,588,474,-52,-38,67,64
226,340,-413,-171,964,642,324,130,202,448
566,689,-73,177,735,331,95,-181,112,192
699,536,59,24,564,498,-76,-14,22,64
580,536,-59,24,672,473,32,-39,157,64
468,98,-171,-413,757,892,117,380,247,448
226,683,-413,171,942,335,302,-177,157,448
462,438,-177,-73,816,615,176,103,202,192
935,389,295,-122,441,592,-199,80,337,320
226,340,-413,-171,956,662,316,150,202,448
580,487,-59,-24,724,551,84,39,202,64
935,634,295,122,398,383,-242,-129,22,320
344,634,-295,122,897,339,257,-173,157,320
811,98,171,-413,480,878,-160,366,292,448
566,689,-73,177,743,314,103,-198,112,192
699,487,59,-24,569,552,-71,40,337,64
517,807,-122,295,802,275,162,-237,112,320
713,334,73,-177,566,678,-74,166,292,192
462,585,-177,73,845,430,205,-82,157,192
762,216,122,-295,533,706,-107,194,292,320
664,452,24,-59,608,573,-32,61,292,64
713,689,73,177,542,346,-98,-166,67,192
817,585,177,73,508,441,-132,-71,22,192
1053,683,413,171,333,393,-307,-119,22,448
517,216,-122,-295,756,725,116,213,247,320
344,389,-295,-122,973,630,333,118,202,320
811,925,171,413,479,270,-161,-242,67,448
664,571,24,59,595,454,-45,-58,67,64
817,438,177,-73,464,606,-176,94,337,192
615,571,-24,59,693,456,53,-56,112,64
580,536,-59,24,711,493,71,-19,157,64
762,807,122,295,543,355,-97,-157,67,320
1053,340,413,-171,332,672,-308,160,337,448
615,452,-24,-59,704,575,64,63,247,64
699,536,59,24,563,484,-77,-28,22,64
468,925,-171,413,822,209,182,-303,112,448
566,334,-73,-177,712,742,72,230,247,192
664,452,24,-59,582,568,-58,56,292,64
699,487,59,-24,574,541,-66,29,337,64
1053,683,413,171,375,329,-265,-183,22,448
817,585,177,73,521,440,-119,-72,22,192
699,536,59,24,584,483,-56,-29,22,64
811,98,171,-413,479,842,-161,330,292,448
664,571,24,59,605,433,-35,-79,67,64
811,925,171,413,510,282,-130,-230,67,448
935,389,295,-122,391,647,-249,135,337,320
462,585,-177,73,817,441,177,-71,157,192
817,438,177,-73,477,589,-163,77,337,192
226,340,-413,-171,1019,655,379,143,202,448
468,98,-171,-413,763,936,123,424,247,448
762,216,122,-295,392,801,-248,289,292,320
762,807,122,295,517,295,-123,-217,67,320
580,487,-59,-24,742,549,102,37,202,64
517,807,-122,295,808,270,168,-242,112,320
468,925,-171,413,813,212,173,-300,112,448
615,452,-24,-59,682,598,42,86,247,64
462,438,-177,-73,817,596,177,84,202,192
517,216,-122,-295,722,803,82,291,247,320
580,536,-59,24,703,468,63,-44,157,64
566,334,-73,-177,708,708,68,196,247,192
1053,340,413,-171,347,618,-293,106,337,448
615,571,-24,59,676,446,36,-66,112,64
344,389,-295,-122,868,643,228,131,202,320
226,683,-413,171,861,303,221,-209,157,448
566,689,-73,177,737,331,97,-181,112,192
935,634,295,122,380,401,-260,-111,22,320
713,689,73,177,555,368,-85,-144,67,192
713,334,73,-177,537,686,-103,174,292,192
