targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
817,585,177,73,482,434,-158,-78,22,192
462,585,-177,73,806,398,166,-114,157,192
615,452,-24,-59,681,567,41,55,247,64
615,571,-24,59,686,465,46,-47,112,64
517,807,-122,295,776,261,136,-251,112,320
580,487,-59,-24,744,563,104,51,202,64
935,634,295,122,438,408,-202,-104,22,320
462,438,-177,-73,810,589,170,77,202,192
344,634,-295,122,923,334,283,-178,157,320
344,389,-295,-122,935,692,295,180,202,320
664,571,24,59,637,448,-3,-64,67,64
699,536,59,24,594,490,-46,-22,22,64
1053,683,413,171,358,287,-282,-225,22,448
468,98,-171,-413,881,789,241,277,247,448
713,689,73,177,591,362,-49,-150,67,192
762,216,122,-295,582,721,-58,209,292,320
517,216,-122,-295,818,734,178,222,247,320
580,536,-59,24,721,434,81,-78,157,64
226,683,-413,171,1036,364,396,-148,157,448
811,925,171,413,347,142,-293,-370,67,448
762,807,122,295,548,275,-92,-237,67,320
226,340,-413,-171,1050,674,410,162,202,448
1053,340,413,-171,326,612,-314,100,337,448
566,689,-73,177,719,361,79,-151,112,192
699,487,59,-24,559,534,-81,22,337,64
817,438,177,-73,485,559,-155,47,337,192
664,452,24,-59,624,573,-16,61,292,64
811,98,171,-413,528,794,-112,282,292,448
468,925,-171,413,852,139,212,-373,112,448
566,334,-73,-177,781,712,141,200,247,192
713,334,73,-177,596,660,-44,148,292,192
935,389,295,-122,411,569,-229,57,337,320
344,634,-295,122,967,370,327,-142,157,320
762,216,122,-295,562,754,-78,242,292,320
226,683,-413,171,1060,311,420,-201,157,448
664,452,24,-59,584,597,-56,85,292,64
580,487,-59,-24,699,551,59,39,202,64
762,807,122,295,555,242,-85,-270,67,320
811,925,171,413,430,137,-210,-375,67,448
580,536,-59,24,718,498,78,-14,157,64
344,389,-295,-122,1026,685,386,173,202,320
935,634,295,122,366,391,-274,-121,22,320
811,98,171,-413,533,825,-107,313,292,448
468,925,-171,413,772,186,132,-326,112,448
713,689,73,177,563,359,-77,-153,67,192
615,452,-24,-59,676,576,36,64,247,64
468,98,-171,-413,825,850,185,338,247,448
