targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
580,536,-59,24,699,471,59,-41,157,64
580,487,-59,-24,699,562,59,50,202,64
664,452,24,-59,613,572,-27,60,292,64
468,925,-171,413,743,245,103,-267,112,448
517,807,-122,295,729,233,89,-279,112,320
713,689,73,177,528,320,-112,-192,67,192
468,98,-171,-413,750,759,110,247,247,448
462,585,-177,73,801,449,161,-63,157,192
762,807,122,295,535,293,-105,-219,67,320
817,438,177,-73,446,581,-194,69,337,192
344,389,-295,-122,846,663,206,151,202,320
566,689,-73,177,698,341,58,-171,112,192
1053,340,413,-171,277,650,-363,138,337,448
817,585,177,73,470,422,-170,-90,22,192
226,683,-413,171,936,379,296,-133,157,448
935,634,295,122,409,369,-231,-143,22,320
699,487,59,-24,559,540,-81,28,337,64
935,389,295,-122,406,591,-234,79,337,320
462,438,-177,-73,820,627,180,115,202,192
615,452,-24,-59,682,578,42,66,247,64
615,571,-24,59,669,460,29,-52,112,64
226,340,-413,-171,931,664,291,152,202,448
344,634,-295,122,866,386,226,-126,157,320
713,334,73,-177,548,687,-92,175,292,192
566,334,-73,-177,700,675,60,163,247,192
517,216,-122,-295,754,759,114,247,247,320
664,571,24,59,617,449,-23,-63,67,64
762,216,122,-295,485,725,-155,213,292,320
699,536,59,24,591,476,-49,-36,22,64
811,925,171,413,496,227,-144,-285,67,448
811,98,171,-413,488,806,-152,294,292,448
1053,683,413,171,302,332,-338,-180,22,448
468,925,-171,413,772,166,132,-346,112,448
580,536,-59,24,716,458,76,-54,157,64
935,389,295,-122,402,613,-238,101,337,320
699,487,59,-24,546,552,-94,40,337,64
566,689,-73,177,709,369,69,-143,112,192
344,634,-295,122,873,358,233,-154,157,320
517,216,-122,-295,766,785,126,273,247,320
566,334,-73,-177,723,689,83,177,247,192
713,689,73,177,558,348,-82,-164,67,192
713,334,73,-177,568,707,-72,195,292,192
615,452,-24,-59,669,587,29,75,247,64
462,585,-177,73,776,452,136,-60,157,192
762,216,122,-295,556,705,-84,193,292,320
615,571,-24,59,672,454,32,-58,112,64
1053,683,413,171,370,349,-270,-163,22,448
811,98,171,-413,510,803,-130,291,292,448
462,438,-177,-73,858,617,218,105,202,192
811,925,171,413,445,165,-195,-347,67,448
580,487,-59,-24,715,534,75,22,202,64
226,340,-413,-171,1007,668,367,156,202,448
468,98,-171,-413,778,780,138,268,247,448
226,683,-413,171,946,313,306,-199,157,448
817,438,177,-73,471,593,-169,81,337,192
935,634,295,122,434,407,-206,-105,22,320
344,389,-295,-122,857,644,217,132,202,320
664,571,24,59,621,442,-19,-70,67,64
817,585,177,73,500,436,-140,-76,22,192
664,452,24,-59,616,564,-24,52,292,64
1053,340,413,-171,343,660,-297,148,337,448
762,807,122,295,531,282,-109,-230,67,320
699,536,59,24,573,460,-67,-52,22,64
517,807,-122,295,760,213,120,-299,112,320
664,452,24,-59,619,566,-21,54,292,64
517,216,-122,-295,759,776,119,264,247,320
811,98,171,-413,493,850,-147,338,292,448
468,98,-171,-413,803,880,163,368,247,448
817,438,177,-73,474,567,-166,55,337,192
935,634,295,122,403,364,-237,-148,22,320
344,389,-295,-122,864,711,224,199,202,320
699,487,59,-24,563,526,-77,14,337,64
566,334,-73,-177,692,667,52,155,247,192
664,571,24,59,624,444,-16,-68,67,64
699,536,59,24,578,482,-62,-30,22,64
344,634,-295,122,849,391,209,-121,157,320
1053,340,413,-171,311,647,-329,135,337,448
580,487,-59,-24,701,552,61,40,202,64
615,571,-24,59,675,445,35,-67,112,64
762,807,122,295,466,253,-174,-259,67,320
226,340,-413,-171,1030,689,390,177,202,448
226,683,-413,171,1034,246,394,-266,157,448
615,452,-24,-59,676,597,36,85,247,64
462,585,-177,73,799,425,159,-87,157,192
817,585,177,73,483,439,-157,-73,22,192
462,438,-177,-73,779,591,139,79,202,192
935,389,295,-122,430,590,-210,78,337,320
566,689,-73,177,709,330,69,-182,112,192
713,334,73,-177,550,691,-90,179,292,192
811,925,171,413,418,113,-222,-399,67,448
1053,683,413,171,273,335,-367,-177,22,448
762,216,122,-295,530,791,-110,279,292,320
713,689,73,177,562,343,-78,-169,67,192
517,807,-122,295,780,261,140,-251,112,320
580,536,-59,24,729,491,89,-21,157,64
468,925,-171,413,806,149,166,-363,112,448
462,438,-177,-73,772,610,132,98,202,192
1053,340,413,-171,272,668,-368,156,337,448
615,452,-24,-59,671,587,31,75,247,64
580,487,-59,-24,713,546,73,34,202,64
566,334,-73,-177,713,705,73,193,247,192
817,438,177,-73,463,595,-177,83,337,192
762,807,122,295,490,203,-150,-309,67,320
468,98,-171,-413,799,809,159,297,247,448
