targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
664,452,24,-59,562,566,-78,54,292,64
566,334,-73,-177,601,694,-39,182,247,192
817,438,177,-73,447,573,-193,61,337,192
344,634,-295,122,899,394,259,-118,157,320
935,634,295,122,342,363,-298,-149,22,320
468,98,-171,-413,693,955,53,443,247,448
468,925,-171,413,674,103,34,-409,112,448
811,925,171,413,408,159,-232,-353,67,448
699,487,59,-24,544,538,-96,26,337,64
1053,683,413,171,250,307,-390,-205,22,448
517,807,-122,295,642,244,2,-268,112,320
762,216,122,-295,417,766,-223,254,292,320
580,487,-59,-24,620,557,-20,45,202,64
762,807,122,295,469,255,-171,-257,67,320
344,389,-295,-122,869,655,229,143,202,320
699,536,59,24,575,491,-65,-21,22,64
713,334,73,-177,519,661,-121,149,292,192
615,571,-24,59,635,452,-5,-60,112,64
462,585,-177,73,777,444,137,-68,157,192
580,536,-59,24,601,524,-39,12,157,64
811,98,171,-413,359,870,-281,358,292,448
713,689,73,177,522,379,-118,-133,67,192
517,216,-122,-295,688,892,48,380,247,320
935,389,295,-122,332,595,-308,83,337,320
1053,340,413,-171,278,627,-362,115,337,448
664,571,24,59,582,465,-58,-47,67,64
615,452,-24,-59,588,616,-52,104,247,64
566,689,-73,177,626,349,-14,-163,112,192
226,683,-413,171,960,323,320,-189,157,448
226,340,-413,-171,939,686,299,174,202,448
817,585,177,73,370,433,-270,-79,22,192
462,438,-177,-73,733,653,93,141,202,192
664,571,24,59,568,461,-72,-51,67,64
615,571,-24,59,629,453,-11,-59,112,64
811,925,171,413,411,224,-229,-288,67,448
344,389,-295,-122,857,640,217,128,202,320
462,585,-177,73,668,459,28,-53,157,192
817,438,177,-73,412,576,-228,64,337,192
699,536,59,24,520,498,-120,-14,22,64
1053,683,413,171,280,343,-360,-169,22,448
468,98,-171,-413,697,927,57,415,247,448
699,487,59,-24,557,545,-83,33,337,64
580,536,-59,24,707,487,67,-25,157,64
468,925,-171,413,706,122,66,-390,112,448
817,585,177,73,380,423,-260,-89,22,192
344,634,-295,122,873,366,233,-146,157,320
