targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
226,683,-413,171,999,288,359,-224,157,448
462,438,-177,-73,781,611,141,99,202,192
664,452,24,-59,599,570,-41,58,292,64
344,634,-295,122,913,372,273,-140,157,320
580,487,-59,-24,662,554,22,42,202,64
762,216,122,-295,446,804,-194,292,292,320
468,925,-171,413,769,147,129,-365,112,448
811,925,171,413,395,238,-245,-274,67,448
935,389,295,-122,357,624,-283,112,337,320
699,487,59,-24,528,569,-112,57,337,64
566,334,-73,-177,671,691,31,179,247,192
935,634,295,122,393,409,-247,-103,22,320
580,536,-59,24,689,483,49,-29,157,64
664,571,24,59,540,469,-100,-43,67,64
566,689,-73,177,688,364,48,-148,112,192
817,585,177,73,486,446,-154,-66,22,192
344,389,-295,-122,916,671,276,159,202,320
1053,340,413,-171,216,684,-424,172,337,448
762,807,122,295,489,268,-151,-244,67,320
462,585,-177,73,846,418,206,-94,157,192
713,334,73,-177,551,672,-89,160,292,192
817,438,177,-73,516,558,-124,46,337,192
468,98,-171,-413,781,906,141,394,247,448
615,452,-24,-59,666,577,26,65,247,64
517,216,-122,-295,718,814,78,302,247,320
517,807,-122,295,732,228,92,-284,112,320
713,689,73,177,540,343,-100,-169,67,192
226,340,-413,-171,1014,700,374,188,202,448
615,571,-24,59,667,446,27,-66,112,64
1053,683,413,171,282,367,-358,-145,22,448
811,98,171,-413,433,886,-207,374,292,448
699,536,59,24,563,491,-77,-21,22,64
566,689,-73,177,720,327,80,-185,112,192
517,216,-122,-295,715,802,75,290,247,320
226,683,-413,171,1032,307,392,-205,157,448
566,334,-73,-177,688,698,48,186,247,192
468,98,-171,-413,817,894,177,382,247,448
713,689,73,177,573,334,-67,-178,67,192
762,807,122,295,494,273,-146,-239,67,320
468,925,-171,413,791,173,151,-339,112,448
517,807,-122,295,791,199,151,-313,112,320
615,452,-24,-59,650,575,10,63,247,64
935,634,295,122,353,383,-287,-129,22,320
226,340,-413,-171,1018,701,378,189,202,448
615,571,-24,59,680,435,40,-77,112,64
580,487,-59,-24,689,565,49,53,202,64
1053,683,413,171,310,340,-330,-172,22,448
344,634,-295,122,957,373,317,-139,157,320
