targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
1053,683,413,171,261,236,-379,-276,22,448
699,536,59,24,579,483,-61,-29,22,64
713,689,73,177,553,352,-87,-160,67,192
344,389,-295,-122,884,655,244,143,202,320
935,634,295,122,333,387,-307,-125,22,320
699,487,59,-24,580,547,-60,35,337,64
468,98,-171,-413,783,897,143,385,247,448
664,452,24,-59,609,575,-31,63,292,64
1053,340,413,-171,217,696,-423,184,337,448
517,807,-122,295,720,247,80,-265,112,320
817,585,177,73,472,454,-168,-58,22,192
226,683,-413,171,951,361,311,-151,157,448
615,571,-24,59,658,454,18,-58,112,64
615,452,-24,-59,667,576,27,64,247,64
344,634,-295,122,889,377,249,-135,157,320
580,536,-59,24,693,475,53,-37,157,64
226,340,-413,-171,1006,665,366,153,202,448
462,438,-177,-73,817,585,177,73,202,192
664,571,24,59,608,453,-32,-59,67,64
580,487,-59,-24,713,542,73,30,202,64
811,925,171,413,442,133,-198,-379,67,448
517,216,-122,-295,737,794,97,282,247,320
935,389,295,-122,285,638,-355,126,337,320
566,689,-73,177,698,342,58,-170,112,192
762,216,122,-295,467,824,-173,312,292,320
817,438,177,-73,442,576,-198,64,337,192
462,585,-177,73,787,425,147,-87,157,192
811,98,171,-413,437,892,-203,380,292,448
713,334,73,-177,541,701,-99,189,292,192
762,807,122,295,500,235,-140,-277,67,320
468,925,-171,413,741,171,101,-341,112,448
566,334,-73,-177,689,675,49,163,247,192
566,334,-73,-177,711,702,71,190,247,192
699,536,59,24,568,487,-72,-25,22,64
811,98,171,-413,462,904,-178,392,292,448
699,487,59,-24,574,542,-66,30,337,64
344,634,-295,122,924,354,284,-158,157,320
713,689,73,177,566,365,-74,-147,67,192
226,683,-413,171,982,355,342,-157,157,448
817,438,177,-73,444,570,-196,58,337,192
226,340,-413,-171,1010,664,370,152,202,448
615,571,-24,59,656,451,16,-61,112,64
664,571,24,59,610,459,-30,-53,67,64
580,487,-59,-24,702,548,62,36,202,64
517,807,-122,295,718,228,78,-284,112,320
615,452,-24,-59,663,581,23,69,247,64
817,585,177,73,472,440,-168,-72,22,192
762,807,122,295,514,251,-126,-261,67,320
762,216,122,-295,506,813,-134,301,292,320
935,389,295,-122,310,635,-330,123,337,320
811,925,171,413,474,170,-166,-342,67,448
462,585,-177,73,796,435,156,-77,157,192
935,634,295,122,343,397,-297,-115,22,320
566,689,-73,177,685,353,45,-159,112,192
580,536,-59,24,691,481,51,-31,157,64
517,216,-122,-295,740,800,100,288,247,320
344,389,-295,-122,916,622,276,110,202,320
664,452,24,-59,614,576,-26,64,292,64
468,98,-171,-413,803,925,163,413,247,448
1053,340,413,-171,191,680,-449,168,337,448
462,438,-177,-73,806,587,166,75,202,192
1053,683,413,171,219,283,-421,-229,22,448
468,925,-171,413,772,151,132,-361,112,448
713,334,73,-177,554,711,-86,199,292,192
517,807,-122,295,727,256,87,-256,112,320
1053,683,413,171,250,362,-390,-150,22,448
580,536,-59,24,694,486,54,-26,157,64
699,536,59,24,578,491,-62,-21,22,64
713,689,73,177,561,372,-79,-140,67,192
664,452,24,-59,610,579,-30,67,292,64
935,634,295,122,357,385,-283,-127,22,320
762,807,122,295,502,237,-138,-275,67,320
615,571,-24,59,661,448,21,-64,112,64
699,487,59,-24,569,543,-71,31,337,64
817,438,177,-73,454,571,-186,59,337,192
713,334,73,-177,551,668,-89,156,292,192
817,585,177,73,462,441,-178,-71,22,192
935,389,295,-122,324,625,-316,113,337,320
344,634,-295,122,886,379,246,-133,157,320
811,98,171,-413,393,940,-247,428,292,448
462,585,-177,73,797,424,157,-88,157,192
226,340,-413,-171,1011,679,371,167,202,448
580,487,-59,-24,704,547,64,35,202,64
462,438,-177,-73,824,587,184,75,202,192
226,683,-413,171,950,335,310,-177,157,448
566,334,-73,-177,691,691,51,179,247,192
811,925,171,413,459,133,-181,-379,67,448
615,452,-24,-59,663,575,23,63,247,64
344,389,-295,-122,903,608,263,96,202,320
517,216,-122,-295,756,801,116,289,247,320
664,571,24,59,611,452,-29,-60,67,64
468,98,-171,-413,791,893,151,381,247,448
566,689,-73,177,683,357,43,-155,112,192
762,216,122,-295,474,810,-166,298,292,320
468,925,-171,413,757,192,117,-320,112,448
1053,340,413,-171,218,666,-422,154,337,448
699,487,59,-24,569,538,-71,26,337,64
580,536,-59,24,694,478,54,-34,157,64
1053,683,413,171,234,334,-406,-178,22,448
615,571,-24,59,658,455,18,-57,112,64
517,216,-122,-295,745,817,105,305,247,320
468,98,-171,-413,812,914,172,402,247,448
664,571,24,59,608,454,-32,-58,67,64
817,585,177,73,482,440,-158,-72,22,192
344,389,-295,-122,905,625,265,113,202,320
580,487,-59,-24,706,542,66,30,202,64
566,689,-73,177,695,344,55,-168,112,192
664,452,24,-59,608,571,-32,59,292,64
462,438,-177,-73,812,571,172,59,202,192
1053,340,413,-171,226,648,-414,136,337,448
817,438,177,-73,445,589,-195,77,337,192
811,98,171,-413,416,914,-224,402,292,448
468,925,-171,413,757,103,117,-409,112,448
226,683,-413,171,1016,303,376,-209,157,448
699,536,59,24,571,486,-69,-26,22,64
762,216,122,-295,475,792,-165,280,292,320
566,334,-73,-177,720,690,80,178,247,192
517,807,-122,295,719,239,79,-273,112,320
713,689,73,177,562,344,-78,-168,67,192
462,585,-177,73,789,424,149,-88,157,192
811,925,171,413,470,170,-170,-342,67,448
615,452,-24,-59,666,571,26,59,247,64
935,634,295,122,342,344,-298,-168,22,320
935,389,295,-122,318,615,-322,103,337,320
226,340,-413,-171,1026,682,386,170,202,448
344,634,-295,122,886,388,246,-124,157,320
762,807,122,295,491,237,-149,-275,67,320
713,334,73,-177,554,689,-86,177,292,192
713,334,73,-177,574,690,-66,178,292,192
517,807,-122,295,717,258,77,-254,112,320
713,689,73,177,570,352,-70,-160,67,192
664,452,24,-59,616,575,-24,63,292,64
566,689,-73,177,683,344,43,-168,112,192
935,389,295,-122,306,617,-334,105,337,320
817,438,177,-73,457,569,-183,57,337,192
762,216,122,-295,488,794,-152,282,292,320
817,585,177,73,477,429,-163,-83,22,192
811,925,171,413,497,140,-143,-372,67,448
615,452,-24,-59,669,573,29,61,247,64
699,487,59,-24,568,538,-72,26,337,64
566,334,-73,-177,710,677,70,165,247,192
580,536,-59,24,693,483,53,-29,157,64
468,98,-171,-413,804,922,164,410,247,448
1053,683,413,171,272,272,-368,-240,22,448
517,216,-122,-295,764,825,124,313,247,320
615,571,-24,59,661,445,21,-67,112,64
811,98,171,-413,441,903,-199,391,292,448
580,487,-59,-24,707,534,67,22,202,64
935,634,295,122,343,344,-297,-168,22,320
226,683,-413,171,983,331,343,-181,157,448
462,585,-177,73,783,426,143,-86,157,192
