targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
1053,340,413,-171,293,685,-347,173,337,448
580,536,-59,24,617,494,-23,-18,157,64
344,634,-295,122,844,434,204,-78,157,320
580,487,-59,-24,669,515,29,3,202,64
811,925,171,413,511,155,-129,-357,67,448
713,334,73,-177,541,681,-99,169,292,192
615,571,-24,59,687,466,47,-46,112,64
468,98,-171,-413,740,851,100,339,247,448
1053,683,413,171,184,297,-456,-215,22,448
664,571,24,59,643,459,3,-53,67,64
517,216,-122,-295,751,717,111,205,247,320
762,807,122,295,565,281,-75,-231,67,320
713,689,73,177,586,371,-54,-141,67,192
566,334,-73,-177,683,695,43,183,247,192
935,389,295,-122,368,634,-272,122,337,320
615,452,-24,-59,651,526,11,14,247,64
817,585,177,73,505,451,-135,-61,22,192
517,807,-122,295,782,335,142,-177,112,320
699,536,59,24,598,512,-42,0,22,64
664,452,24,-59,681,529,41,17,292,64
811,98,171,-413,466,839,-174,327,292,448
462,585,-177,73,751,430,111,-82,157,192
699,487,59,-24,550,553,-90,41,337,64
226,683,-413,171,920,367,280,-145,157,448
566,689,-73,177,732,399,92,-113,112,192
935,634,295,122,351,421,-289,-91,22,320
344,389,-295,-122,798,612,158,100,202,320
762,216,122,-295,528,796,-112,284,292,320
226,340,-413,-171,911,644,271,132,202,448
462,438,-177,-73,771,583,131,71,202,192
817,438,177,-73,500,539,-140,27,337,192
468,925,-171,413,865,154,225,-358,112,448
462,585,-177,73,790,465,150,-47,157,192
468,98,-171,-413,792,820,152,308,247,448
713,689,73,177,570,372,-70,-140,67,192
762,807,122,295,537,324,-103,-188,67,320
935,634,295,122,419,426,-221,-86,22,320
566,689,-73,177,752,285,112,-227,112,192
699,487,59,-24,556,558,-84,46,337,64
566,334,-73,-177,689,640,49,128,247,192
817,585,177,73,496,445,-144,-67,22,192
580,536,-59,24,693,476,53,-36,157,64
664,571,24,59,613,479,-27,-33,67,64
468,925,-171,413,831,159,191,-353,112,448
