targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
935,389,295,-122,317,653,-323,141,337,320
468,925,-171,413,823,82,183,-430,112,448
344,634,-295,122,833,361,193,-151,157,320
817,585,177,73,542,450,-98,-62,22,192
762,216,122,-295,458,726,-182,214,292,320
462,585,-177,73,727,417,87,-95,157,192
468,98,-171,-413,792,819,152,307,247,448
811,98,171,-413,361,803,-279,291,292,448
566,334,-73,-177,722,695,82,183,247,192
566,689,-73,177,734,355,94,-157,112,192
580,536,-59,24,672,487,32,-25,157,64
226,683,-413,171,953,343,313,-169,157,448
713,334,73,-177,507,712,-133,200,292,192
462,438,-177,-73,777,573,137,61,202,192
817,438,177,-73,569,553,-71,41,337,192
615,452,-24,-59,685,572,45,60,247,64
762,807,122,295,524,252,-116,-260,67,320
1053,683,413,171,416,381,-224,-131,22,448
517,807,-122,295,801,194,161,-318,112,320
664,571,24,59,606,461,-34,-51,67,64
226,340,-413,-171,948,667,308,155,202,448
580,487,-59,-24,694,539,54,27,202,64
664,452,24,-59,621,541,-19,29,292,64
344,389,-295,-122,920,620,280,108,202,320
699,536,59,24,631,505,-9,-7,22,64
699,487,59,-24,617,528,-23,16,337,64
615,571,-24,59,651,492,11,-20,112,64
1053,340,413,-171,329,621,-311,109,337,448
811,925,171,413,493,104,-147,-408,67,448
713,689,73,177,548,264,-92,-248,67,192
517,216,-122,-295,758,792,118,280,247,320
935,634,295,122,408,400,-232,-112,22,320
762,216,122,-295,502,720,-138,208,292,320
817,438,177,-73,584,547,-56,35,337,192
615,571,-24,59,637,475,-3,-37,112,64
1053,340,413,-171,350,648,-290,136,337,448
811,925,171,413,524,149,-116,-363,67,448
935,634,295,122,518,401,-122,-111,22,320
566,334,-73,-177,733,709,93,197,247,192
811,98,171,-413,467,853,-173,341,292,448
468,925,-171,413,937,168,297,-344,112,448
462,438,-177,-73,780,577,140,65,202,192
699,487,59,-24,594,545,-46,33,337,64
580,536,-59,24,675,481,35,-31,157,64
664,452,24,-59,624,540,-16,28,292,64
344,389,-295,-122,849,608,209,96,202,320
462,585,-177,73,790,433,150,-79,157,192
762,807,122,295,523,197,-117,-315,67,320
226,683,-413,171,953,348,313,-164,157,448
664,571,24,59,622,462,-18,-50,67,64
817,585,177,73,606,486,-34,-26,22,192
517,216,-122,-295,749,718,109,206,247,320
226,340,-413,-171,1011,663,371,151,202,448
699,536,59,24,613,485,-27,-27,22,64
615,452,-24,-59,670,564,30,52,247,64
468,98,-171,-413,845,809,205,297,247,448
517,807,-122,295,836,176,196,-336,112,320
1053,683,413,171,250,295,-390,-217,22,448
713,689,73,177,509,272,-131,-240,67,192
935,389,295,-122,466,676,-174,164,337,320
344,634,-295,122,830,396,190,-116,157,320
566,689,-73,177,731,330,91,-182,112,192
580,487,-59,-24,716,553,76,41,202,64
713,334,73,-177,603,625,-37,113,292,192
713,689,73,177,596,340,-44,-172,67,192
