targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
517,216,-122,-295,785,755,145,243,247,320
699,487,59,-24,578,541,-62,29,337,64
811,925,171,413,500,176,-140,-336,67,448
1053,683,413,171,281,319,-359,-193,22,448
226,340,-413,-171,1051,663,411,151,202,448
462,585,-177,73,791,445,151,-67,157,192
664,571,24,59,615,452,-25,-60,67,64
566,689,-73,177,708,351,68,-161,112,192
817,585,177,73,477,438,-163,-74,22,192
664,452,24,-59,589,587,-51,75,292,64
566,334,-73,-177,699,652,59,140,247,192
935,389,295,-122,386,609,-254,97,337,320
468,98,-171,-413,777,923,137,411,247,448
817,438,177,-73,412,602,-228,90,337,192
762,807,122,295,498,260,-142,-252,67,320
615,452,-24,-59,680,585,40,73,247,64
344,634,-295,122,869,410,229,-102,157,320
713,334,73,-177,533,676,-107,164,292,192
811,98,171,-413,440,900,-200,388,292,448
580,536,-59,24,714,479,74,-33,157,64
344,389,-295,-122,971,619,331,107,202,320
713,689,73,177,568,364,-72,-148,67,192
462,438,-177,-73,846,593,206,81,202,192
1053,340,413,-171,305,687,-335,175,337,448
226,683,-413,171,971,372,331,-140,157,448
935,634,295,122,367,417,-273,-95,22,320
468,925,-171,413,763,111,123,-401,112,448
517,807,-122,295,725,248,85,-264,112,320
580,487,-59,-24,717,546,77,34,202,64
762,216,122,-295,505,844,-135,332,292,320
615,571,-24,59,663,454,23,-58,112,64
699,536,59,24,584,494,-56,-18,22,64
566,689,-73,177,714,360,74,-152,112,192
935,389,295,-122,375,647,-265,135,337,320
468,925,-171,413,750,129,110,-383,112,448
664,452,24,-59,609,573,-31,61,292,64
344,634,-295,122,850,405,210,-107,157,320
615,571,-24,59,677,451,37,-61,112,64
580,536,-59,24,708,489,68,-23,157,64
517,807,-122,295,740,249,100,-263,112,320
226,683,-413,171,1001,301,361,-211,157,448
699,536,59,24,570,484,-70,-28,22,64
713,689,73,177,538,355,-102,-157,67,192
935,634,295,122,337,405,-303,-107,22,320
462,585,-177,73,808,431,168,-81,157,192
580,487,-59,-24,715,548,75,36,202,64
462,438,-177,-73,813,604,173,92,202,192
344,389,-295,-122,892,609,252,97,202,320
566,334,-73,-177,701,658,61,146,247,192
1053,683,413,171,296,363,-344,-149,22,448
517,216,-122,-295,766,826,126,314,247,320
817,585,177,73,461,445,-179,-67,22,192
699,487,59,-24,572,548,-68,36,337,64
468,98,-171,-413,781,855,141,343,247,448
713,334,73,-177,527,737,-113,225,292,192
226,340,-413,-171,1064,687,424,175,202,448
811,925,171,413,455,148,-185,-364,67,448
817,438,177,-73,414,599,-226,87,337,192
762,216,122,-295,470,748,-170,236,292,320
615,452,-24,-59,680,579,40,67,247,64
811,98,171,-413,413,894,-227,382,292,448
762,807,122,295,505,211,-135,-301,67,320
1053,340,413,-171,183,674,-457,162,337,448
664,571,24,59,621,456,-19,-56,67,64
817,585,177,73,445,440,-195,-72,22,192
664,452,24,-59,600,580,-40,68,292,64
615,452,-24,-59,665,568,25,56,247,64
517,216,-122,-295,756,781,116,269,247,320
344,634,-295,122,904,370,264,-142,157,320
811,925,171,413,490,115,-150,-397,67,448
664,571,24,59,616,457,-24,-55,67,64
615,571,-24,59,671,461,31,-51,112,64
713,334,73,-177,544,687,-96,175,292,192
468,925,-171,413,763,194,123,-318,112,448
226,340,-413,-171,1079,698,439,186,202,448
344,389,-295,-122,969,658,329,146,202,320
517,807,-122,295,776,210,136,-302,112,320
935,389,295,-122,369,665,-271,153,337,320
468,98,-171,-413,824,890,184,378,247,448
762,216,122,-295,501,787,-139,275,292,320
935,634,295,122,336,385,-304,-127,22,320
566,334,-73,-177,731,688,91,176,247,192
580,487,-59,-24,721,551,81,39,202,64
462,438,-177,-73,827,572,187,60,202,192
699,487,59,-24,560,558,-80,46,337,64
713,689,73,177,585,377,-55,-135,67,192
