targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
344,634,-295,122,905,368,265,-144,157,320
580,487,-59,-24,699,533,59,21,202,64
817,438,177,-73,447,587,-193,75,337,192
935,389,295,-122,323,643,-317,131,337,320
517,807,-122,295,743,244,103,-268,112,320
713,689,73,177,534,372,-106,-140,67,192
468,925,-171,413,764,87,124,-425,112,448
699,536,59,24,578,491,-62,-21,22,64
344,389,-295,-122,938,638,298,126,202,320
468,98,-171,-413,813,906,173,394,247,448
462,438,-177,-73,840,587,200,75,202,192
1053,340,413,-171,222,721,-418,209,337,448
762,807,122,295,504,223,-136,-289,67,320
935,634,295,122,372,383,-268,-129,22,320
811,98,171,-413,436,905,-204,393,292,448
580,536,-59,24,698,480,58,-32,157,64
699,487,59,-24,579,541,-61,29,337,64
811,925,171,413,494,108,-146,-404,67,448
664,571,24,59,609,455,-31,-57,67,64
762,216,122,-295,503,819,-137,307,292,320
566,334,-73,-177,716,711,76,199,247,192
1053,683,413,171,237,353,-403,-159,22,448
226,683,-413,171,1050,277,410,-235,157,448
517,216,-122,-295,763,815,123,303,247,320
615,571,-24,59,667,455,27,-57,112,64
817,585,177,73,450,444,-190,-68,22,192
713,334,73,-177,550,703,-90,191,292,192
226,340,-413,-171,1044,668,404,156,202,448
566,689,-73,177,706,345,66,-167,112,192
664,452,24,-59,607,577,-33,65,292,64
615,452,-24,-59,673,570,33,58,247,64
462,585,-177,73,802,434,162,-78,157,192
517,216,-122,-295,784,805,144,293,247,320
580,536,-59,24,697,478,57,-34,157,64
664,571,24,59,610,454,-30,-58,67,64
462,438,-177,-73,848,589,208,77,202,192
468,98,-171,-413,834,924,194,412,247,448
762,216,122,-295,484,820,-156,308,292,320
935,634,295,122,334,403,-306,-109,22,320
817,438,177,-73,435,581,-205,69,337,192
713,689,73,177,562,335,-78,-177,67,192
468,925,-171,413,778,83,138,-429,112,448
580,487,-59,-24,708,540,68,28,202,64
226,340,-413,-171,1048,677,408,165,202,448
762,807,122,295,501,232,-139,-280,67,320
713,334,73,-177,546,695,-94,183,292,192
344,389,-295,-122,929,664,289,152,202,320
811,925,171,413,446,108,-194,-404,67,448
811,98,171,-413,434,903,-206,391,292,448
566,334,-73,-177,737,700,97,188,247,192
1053,340,413,-171,214,683,-426,171,337,448
226,683,-413,171,1021,323,381,-189,157,448
699,536,59,24,583,495,-57,-17,22,64
566,689,-73,177,714,354,74,-158,112,192
699,487,59,-24,575,545,-65,33,337,64
664,452,24,-59,606,576,-34,64,292,64
935,389,295,-122,324,654,-316,142,337,320
517,807,-122,295,770,225,130,-287,112,320
344,634,-295,122,916,375,276,-137,157,320
462,585,-177,73,814,430,174,-82,157,192
1053,683,413,171,222,359,-418,-153,22,448
615,571,-24,59,666,453,26,-59,112,64
817,585,177,73,463,455,-177,-57,22,192
615,452,-24,-59,677,567,37,55,247,64
517,216,-122,-295,754,807,114,295,247,320
762,807,122,295,539,232,-101,-280,67,320
935,634,295,122,344,405,-296,-107,22,320
935,389,295,-122,346,625,-294,113,337,320
713,334,73,-177,536,703,-104,191,292,192
580,536,-59,24,700,479,60,-33,157,64
664,571,24,59,614,447,-26,-65,67,64
615,452,-24,-59,669,569,29,57,247,64
468,925,-171,413,792,85,152,-427,112,448
517,807,-122,295,770,232,130,-280,112,320
699,536,59,24,580,495,-60,-17,22,64
468,98,-171,-413,815,931,175,419,247,448
817,438,177,-73,439,596,-201,84,337,192
713,689,73,177,546,351,-94,-161,67,192
226,340,-413,-171,1034,733,394,221,202,448
344,389,-295,-122,961,648,321,136,202,320
566,334,-73,-177,726,723,86,211,247,192
762,216,122,-295,501,817,-139,305,292,320
462,585,-177,73,807,421,167,-91,157,192
664,452,24,-59,610,583,-30,71,292,64
615,571,-24,59,670,456,30,-56,112,64
811,98,171,-413,457,928,-183,416,292,448
811,925,171,413,489,100,-151,-412,67,448
1053,683,413,171,228,357,-412,-155,22,448
580,487,-59,-24,712,547,72,35,202,64
566,689,-73,177,705,347,65,-165,112,192
462,438,-177,-73,843,594,203,82,202,192
344,634,-295,122,903,362,263,-150,157,320
699,487,59,-24,572,540,-68,28,337,64
226,683,-413,171,1009,325,369,-187,157,448
1053,340,413,-171,206,715,-434,203,337,448
817,585,177,73,474,442,-166,-70,22,192
664,452,24,-59,604,587,-36,75,292,64
762,807,122,295,509,263,-131,-249,67,320
817,438,177,-73,456,593,-184,81,337,192
580,487,-59,-24,713,552,73,40,202,64
517,216,-122,-295,788,810,148,298,247,320
762,216,122,-295,457,788,-183,276,292,320
811,98,171,-413,402,908,-238,396,292,448
699,487,59,-24,575,542,-65,30,337,64
615,452,-24,-59,671,571,31,59,247,64
226,340,-413,-171,1005,727,365,215,202,448
699,536,59,24,577,486,-63,-26,22,64
566,689,-73,177,709,341,69,-171,112,192
1053,683,413,171,246,325,-394,-187,22,448
713,334,73,-177,521,711,-119,199,292,192
468,98,-171,-413,793,903,153,391,247,448
462,438,-177,-73,640,512,0,0,202,192
935,389,295,-122,327,660,-313,148,337,320
664,571,24,59,607,457,-33,-55,67,64
344,389,-295,-122,958,665,318,153,202,320
615,571,-24,59,668,460,28,-52,112,64
817,585,177,73,470,442,-170,-70,22,192
468,925,-171,413,799,92,159,-420,112,448
566,334,-73,-177,728,696,88,184,247,192
580,536,-59,24,697,478,57,-34,157,64
517,807,-122,295,757,235,117,-277,112,320
344,634,-295,122,894,387,254,-125,157,320
226,683,-413,171,1036,327,396,-185,157,448
1053,340,413,-171,242,687,-398,175,337,448
462,585,-177,73,825,430,185,-82,157,192
713,689,73,177,538,347,-102,-165,67,192
811,925,171,413,413,100,-227,-412,67,448
935,634,295,122,344,396,-296,-116,22,320
664,571,24,59,615,453,-25,-59,67,64
699,536,59,24,574,486,-66,-26,22,64
1053,340,413,-171,215,701,-425,189,337,448
462,438,-177,-73,833,616,193,104,202,192
811,98,171,-413,418,900,-222,388,292,448
699,487,59,-24,558,548,-82,36,337,64
580,536,-59,24,698,480,58,-32,157,64
664,452,24,-59,600,572,-40,60,292,64
935,634,295,122,353,386,-287,-126,22,320
935,389,295,-122,318,660,-322,148,337,320
344,634,-295,122,895,379,255,-133,157,320
344,389,-295,-122,934,657,294,145,202,320
817,438,177,-73,443,598,-197,86,337,192
462,585,-177,73,812,435,172,-77,157,192
615,452,-24,-59,664,588,24,76,247,64
817,585,177,73,472,447,-168,-65,22,192
468,925,-171,413,765,100,125,-412,112,448
566,689,-73,177,713,337,73,-175,112,192
580,487,-59,-24,710,551,70,39,202,64
468,98,-171,-413,817,913,177,401,247,448
762,807,122,295,506,223,-134,-289,67,320
517,216,-122,-295,754,842,114,330,247,320
713,689,73,177,552,355,-88,-157,67,192
226,683,-413,171,1015,317,375,-195,157,448
