targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
517,807,-122,295,742,225,102,-287,112,320
762,216,122,-295,491,819,-149,307,292,320
817,585,177,73,476,429,-164,-83,22,192
811,98,171,-413,440,913,-200,401,292,448
344,634,-295,122,914,374,274,-138,157,320
462,585,-177,73,801,424,161,-88,157,192
468,98,-171,-413,805,904,165,392,247,448
817,438,177,-73,445,588,-195,76,337,192
1053,340,413,-171,232,698,-408,186,337,448
566,689,-73,177,712,351,72,-161,112,192
580,536,-59,24,691,479,51,-33,157,64
344,389,-295,-122,923,627,283,115,202,320
811,925,171,413,453,90,-187,-422,67,448
615,571,-24,59,672,464,32,-48,112,64
664,571,24,59,603,458,-37,-54,67,64
935,634,295,122,345,394,-295,-118,22,320
935,389,295,-122,345,652,-295,140,337,320
615,452,-24,-59,668,573,28,61,247,64
468,925,-171,413,787,87,147,-425,112,448
566,334,-73,-177,734,686,94,174,247,192
462,438,-177,-73,836,586,196,74,202,192
580,487,-59,-24,704,541,64,29,202,64
699,487,59,-24,577,543,-63,31,337,64
699,536,59,24,587,487,-53,-25,22,64
664,452,24,-59,604,577,-36,65,292,64
713,334,73,-177,541,709,-99,197,292,192
762,807,122,295,517,251,-123,-261,67,320
517,216,-122,-295,770,804,130,292,247,320
226,340,-413,-171,1051,703,411,191,202,448
713,689,73,177,565,350,-75,-162,67,192
226,683,-413,171,983,288,343,-224,157,448
1053,683,413,171,193,356,-447,-156,22,448
1053,683,413,171,184,340,-456,-172,22,448
226,340,-413,-171,1018,701,378,189,202,448
699,487,59,-24,577,540,-63,28,337,64
811,98,171,-413,462,907,-178,395,292,448
226,683,-413,171,997,271,357,-241,157,448
699,536,59,24,587,489,-53,-23,22,64
462,585,-177,73,813,434,173,-78,157,192
1053,340,413,-171,290,712,-350,200,337,448
566,689,-73,177,704,304,64,-208,112,192
468,925,-171,413,802,68,162,-444,112,448
517,216,-122,-295,776,809,136,297,247,320
811,925,171,413,471,117,-169,-395,67,448
817,585,177,73,454,461,-186,-51,22,192
462,438,-177,-73,838,579,198,67,202,192
615,452,-24,-59,671,576,31,64,247,64
580,536,-59,24,698,481,58,-31,157,64
566,334,-73,-177,717,707,77,195,247,192
580,487,-59,-24,702,549,62,37,202,64
468,98,-171,-413,805,917,165,405,247,448
935,389,295,-122,284,653,-356,141,337,320
664,571,24,59,611,459,-29,-53,67,64
935,634,295,122,372,384,-268,-128,22,320
615,571,-24,59,670,456,30,-56,112,64
762,807,122,295,527,236,-113,-276,67,320
713,689,73,177,585,342,-55,-170,67,192
664,452,24,-59,603,578,-37,66,292,64
