targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
226,683,-413,171,1038,358,398,-154,157,448
226,340,-413,-171,1025,717,385,205,202,448
935,634,295,122,379,369,-261,-143,22,320
462,438,-177,-73,835,612,195,100,202,192
817,585,177,73,471,421,-169,-91,22,192
935,389,295,-122,406,624,-234,112,337,320
517,216,-122,-295,768,819,128,307,247,320
517,807,-122,295,742,241,102,-271,112,320
468,925,-171,413,797,139,157,-373,112,448
566,334,-73,-177,721,705,81,193,247,192
713,689,73,177,572,358,-68,-154,67,192
664,571,24,59,613,455,-27,-57,67,64
615,571,-24,59,675,462,35,-50,112,64
664,452,24,-59,617,574,-23,62,292,64
699,536,59,24,593,485,-47,-27,22,64
699,487,59,-24,589,543,-51,31,337,64
713,334,73,-177,559,671,-81,159,292,192
811,98,171,-413,442,865,-198,353,292,448
468,98,-171,-413,862,928,222,416,247,448
762,807,122,295,502,231,-138,-281,67,320
615,452,-24,-59,677,571,37,59,247,64
344,634,-295,122,1010,356,370,-156,157,320
811,925,171,413,511,188,-129,-324,67,448
1053,683,413,171,293,372,-347,-140,22,448
580,536,-59,24,707,487,67,-25,157,64
1053,340,413,-171,302,672,-338,160,337,448
580,487,-59,-24,703,544,63,32,202,64
344,389,-295,-122,933,682,293,170,202,320
762,216,122,-295,481,760,-159,248,292,320
566,689,-73,177,703,348,63,-164,112,192
817,438,177,-73,477,587,-163,75,337,192
462,585,-177,73,841,433,201,-79,157,192
226,340,-413,-171,1153,763,513,251,202,448
226,683,-413,171,1110,363,470,-149,157,448
580,487,-59,-24,705,548,65,36,202,64
762,807,122,295,532,261,-108,-251,67,320
817,585,177,73,488,432,-152,-80,22,192
468,98,-171,-413,881,953,241,441,247,448
935,634,295,122,369,361,-271,-151,22,320
344,389,-295,-122,951,624,311,112,202,320
566,689,-73,177,711,343,71,-169,112,192
615,571,-24,59,671,454,31,-58,112,64
817,438,177,-73,441,592,-199,80,337,192
1053,340,413,-171,221,698,-419,186,337,448
713,689,73,177,567,328,-73,-184,67,192
517,216,-122,-295,763,808,123,296,247,320
664,571,24,59,607,445,-33,-67,67,64
699,536,59,24,584,484,-56,-28,22,64
935,389,295,-122,333,625,-307,113,337,320
