targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
566,334,-73,-177,740,688,100,176,247,192
226,340,-413,-171,1071,670,431,158,202,448
811,98,171,-413,436,884,-204,372,292,448
935,389,295,-122,348,665,-292,153,337,320
1053,340,413,-171,210,718,-430,206,337,448
817,438,177,-73,446,594,-194,82,337,192
462,438,-177,-73,831,604,191,92,202,192
664,571,24,59,617,459,-23,-53,67,64
517,216,-122,-295,797,810,157,298,247,320
935,634,295,122,372,395,-268,-117,22,320
817,585,177,73,465,431,-175,-81,22,192
615,571,-24,59,674,455,34,-57,112,64
344,389,-295,-122,972,676,332,164,202,320
713,689,73,177,569,347,-71,-165,67,192
762,807,122,295,522,221,-118,-291,67,320
664,452,24,-59,617,574,-23,62,292,64
762,216,122,-295,521,799,-119,287,292,320
811,925,171,413,474,109,-166,-403,67,448
566,689,-73,177,716,330,76,-182,112,192
615,452,-24,-59,671,572,31,60,247,64
226,683,-413,171,1057,340,417,-172,157,448
468,98,-171,-413,837,913,197,401,247,448
344,634,-295,122,955,384,315,-128,157,320
580,536,-59,24,696,484,56,-28,157,64
517,807,-122,295,786,218,146,-294,112,320
580,487,-59,-24,705,544,65,32,202,64
468,925,-171,413,848,90,208,-422,112,448
699,487,59,-24,580,547,-60,35,337,64
1053,683,413,171,263,357,-377,-155,22,448
462,585,-177,73,815,434,175,-78,157,192
699,536,59,24,590,490,-50,-22,22,64
713,334,73,-177,559,701,-81,189,292,192
1053,340,413,-171,244,678,-396,166,337,448
1053,683,413,171,258,347,-382,-165,22,448
615,452,-24,-59,672,575,32,63,247,64
468,925,-171,413,810,87,170,-425,112,448
935,634,295,122,317,379,-323,-133,22,320
468,98,-171,-413,855,899,215,387,247,448
817,585,177,73,469,429,-171,-83,22,192
580,487,-59,-24,711,543,71,31,202,64
762,807,122,295,536,237,-104,-275,67,320
517,216,-122,-295,787,831,147,319,247,320
344,389,-295,-122,970,652,330,140,202,320
811,98,171,-413,451,897,-189,385,292,448
699,536,59,24,589,485,-51,-27,22,64
462,438,-177,-73,838,594,198,82,202,192
517,807,-122,295,749,246,109,-266,112,320
344,634,-295,122,938,385,298,-127,157,320
817,438,177,-73,457,590,-183,78,337,192
811,925,171,413,470,91,-170,-421,67,448
580,536,-59,24,696,489,56,-23,157,64
615,571,-24,59,668,448,28,-64,112,64
226,340,-413,-171,1092,726,452,214,202,448
713,689,73,177,562,328,-78,-184,67,192
664,452,24,-59,615,583,-25,71,292,64
762,216,122,-295,495,812,-145,300,292,320
462,585,-177,73,816,431,176,-81,157,192
664,571,24,59,616,459,-24,-53,67,64
713,334,73,-177,558,702,-82,190,292,192
566,334,-73,-177,727,699,87,187,247,192
566,689,-73,177,707,351,67,-161,112,192
935,389,295,-122,344,632,-296,120,337,320
699,487,59,-24,580,541,-60,29,337,64
226,683,-413,171,1072,326,432,-186,157,448
713,689,73,177,567,336,-73,-176,67,192
468,925,-171,413,818,91,178,-421,112,448
344,634,-295,122,958,365,318,-147,157,320
817,438,177,-73,459,596,-181,84,337,192
1053,340,413,-171,245,717,-395,205,337,448
1053,683,413,171,265,367,-375,-145,22,448
462,438,-177,-73,849,602,209,90,202,192
664,571,24,59,613,456,-27,-56,67,64
468,98,-171,-413,832,946,192,434,247,448
566,689,-73,177,726,330,86,-182,112,192
462,585,-177,73,826,441,186,-71,157,192
344,389,-295,-122,989,646,349,134,202,320
615,452,-24,-59,673,572,33,60,247,64
762,216,122,-295,509,805,-131,293,292,320
226,683,-413,171,1086,348,446,-164,157,448
935,389,295,-122,331,636,-309,124,337,320
762,807,122,295,527,270,-113,-242,67,320
580,487,-59,-24,705,542,65,30,202,64
811,925,171,413,463,97,-177,-415,67,448
517,807,-122,295,772,232,132,-280,112,320
566,334,-73,-177,744,707,104,195,247,192
664,452,24,-59,612,577,-28,65,292,64
699,536,59,24,585,490,-55,-22,22,64
935,634,295,122,366,385,-274,-127,22,320
713,334,73,-177,554,707,-86,195,292,192
817,585,177,73,469,445,-171,-67,22,192
615,571,-24,59,671,459,31,-53,112,64
811,98,171,-413,444,944,-196,432,292,448
226,340,-413,-171,1134,726,494,214,202,448
699,487,59,-24,584,545,-56,33,337,64
517,216,-122,-295,766,812,126,300,247,320
580,536,-59,24,699,490,59,-22,157,64
664,452,24,-59,610,575,-30,63,292,64
935,389,295,-122,361,641,-279,129,337,320
566,689,-73,177,697,357,57,-155,112,192
517,216,-122,-295,782,838,142,326,247,320
713,334,73,-177,564,709,-76,197,292,192
817,585,177,73,453,434,-187,-78,22,192
566,334,-73,-177,725,694,85,182,247,192
1053,340,413,-171,236,679,-404,167,337,448
762,807,122,295,502,237,-138,-275,67,320
226,340,-413,-171,1082,711,442,199,202,448
468,98,-171,-413,824,944,184,432,247,448
580,536,-59,24,701,489,61,-23,157,64
462,585,-177,73,820,428,180,-84,157,192
935,634,295,122,360,397,-280,-115,22,320
344,634,-295,122,936,390,296,-122,157,320
762,216,122,-295,501,813,-139,301,292,320
1053,683,413,171,259,345,-381,-167,22,448
811,925,171,413,471,145,-169,-367,67,448
811,98,171,-413,443,918,-197,406,292,448
699,487,59,-24,582,541,-58,29,337,64
699,536,59,24,587,491,-53,-21,22,64
713,689,73,177,570,348,-70,-164,67,192
817,438,177,-73,462,589,-178,77,337,192
226,683,-413,171,1076,338,436,-174,157,448
344,389,-295,-122,953,660,313,148,202,320
580,487,-59,-24,700,541,60,29,202,64
615,571,-24,59,668,456,28,-56,112,64
664,571,24,59,617,457,-23,-55,67,64
517,807,-122,295,761,212,121,-300,112,320
462,438,-177,-73,834,616,194,104,202,192
468,925,-171,413,815,80,175,-432,112,448
615,452,-24,-59,671,578,31,66,247,64
580,536,-59,24,702,489,62,-23,157,64
935,634,295,122,345,384,-295,-128,22,320
462,438,-177,-73,832,594,192,82,202,192
344,634,-295,122,965,349,325,-163,157,320
762,807,122,295,502,249,-138,-263,67,320
935,389,295,-122,354,647,-286,135,337,320
664,452,24,-59,613,582,-27,70,292,64
811,925,171,413,462,101,-178,-411,67,448
226,683,-413,171,1107,346,467,-166,157,448
762,216,122,-295,508,813,-132,301,292,320
615,452,-24,-59,670,581,30,69,247,64
468,925,-171,413,835,84,195,-428,112,448
