targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
226,683,-413,171,1031,335,391,-177,157,448
517,807,-122,295,751,223,111,-289,112,320
344,634,-295,122,924,366,284,-146,157,320
517,216,-122,-295,765,790,125,278,247,320
817,438,177,-73,453,581,-187,69,337,192
699,536,59,24,588,490,-52,-22,22,64
811,98,171,-413,464,845,-176,333,292,448
713,689,73,177,571,331,-69,-181,67,192
713,334,73,-177,555,716,-85,204,292,192
762,216,122,-295,491,810,-149,298,292,320
664,571,24,59,614,453,-26,-59,67,64
226,340,-413,-171,1036,665,396,153,202,448
1053,683,413,171,224,337,-416,-175,22,448
462,438,-177,-73,832,602,192,90,202,192
935,389,295,-122,323,647,-317,135,337,320
664,452,24,-59,610,579,-30,67,292,64
762,807,122,295,521,240,-119,-272,67,320
1053,340,413,-171,219,649,-421,137,337,448
566,689,-73,177,695,356,55,-156,112,192
615,452,-24,-59,666,572,26,60,247,64
615,571,-24,59,664,455,24,-57,112,64
580,487,-59,-24,694,537,54,25,202,64
811,925,171,413,499,133,-141,-379,67,448
580,536,-59,24,695,490,55,-22,157,64
468,925,-171,413,798,66,158,-446,112,448
817,585,177,73,476,438,-164,-74,22,192
699,487,59,-24,580,536,-60,24,337,64
935,634,295,122,343,386,-297,-126,22,320
344,389,-295,-122,968,653,328,141,202,320
566,334,-73,-177,729,726,89,214,247,192
462,585,-177,73,819,425,179,-87,157,192
468,98,-171,-413,838,925,198,413,247,448
226,340,-413,-171,1096,709,456,197,202,448
468,925,-171,413,773,105,133,-407,112,448
462,585,-177,73,842,431,202,-81,157,192
817,585,177,73,445,433,-195,-79,22,192
1053,683,413,171,222,327,-418,-185,22,448
580,536,-59,24,695,487,55,-25,157,64
344,634,-295,122,929,382,289,-130,157,320
762,216,122,-295,507,773,-133,261,292,320
699,487,59,-24,583,544,-57,32,337,64
468,98,-171,-413,819,930,179,418,247,448
664,452,24,-59,612,577,-28,65,292,64
517,216,-122,-295,776,817,136,305,247,320
713,334,73,-177,546,681,-94,169,292,192
713,689,73,177,573,339,-67,-173,67,192
226,683,-413,171,1032,334,392,-178,157,448
517,807,-122,295,740,238,100,-274,112,320
664,571,24,59,612,454,-28,-58,67,64
935,634,295,122,367,390,-273,-122,22,320
566,689,-73,177,700,339,60,-173,112,192
811,925,171,413,477,85,-163,-427,67,448
811,98,171,-413,440,900,-200,388,292,448
935,389,295,-122,333,643,-307,131,337,320
344,389,-295,-122,958,651,318,139,202,320
