targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
344,389,-295,-122,936,647,296,135,202,320
935,389,295,-122,355,647,-285,135,337,320
580,487,-59,-24,699,545,59,33,202,64
615,571,-24,59,670,450,30,-62,112,64
580,536,-59,24,694,478,54,-34,157,64
344,634,-295,122,921,347,281,-165,157,320
226,340,-413,-171,1096,707,456,195,202,448
817,438,177,-73,486,589,-154,77,337,192
762,216,122,-295,508,794,-132,282,292,320
664,452,24,-59,614,575,-26,63,292,64
1053,683,413,171,300,330,-340,-182,22,448
935,634,295,122,328,386,-312,-126,22,320
713,689,73,177,572,330,-68,-182,67,192
699,487,59,-24,576,532,-64,20,337,64
811,98,171,-413,432,897,-208,385,292,448
1053,340,413,-171,189,737,-451,225,337,448
462,438,-177,-73,818,604,178,92,202,192
762,807,122,295,496,217,-144,-295,67,320
468,98,-171,-413,888,938,248,426,247,448
462,585,-177,73,818,433,178,-79,157,192
517,807,-122,295,783,231,143,-281,112,320
699,536,59,24,590,485,-50,-27,22,64
566,334,-73,-177,720,722,80,210,247,192
517,216,-122,-295,808,838,168,326,247,320
817,585,177,73,493,440,-147,-72,22,192
811,925,171,413,498,142,-142,-370,67,448
713,334,73,-177,576,707,-64,195,292,192
664,571,24,59,616,461,-24,-51,67,64
566,689,-73,177,732,345,92,-167,112,192
226,683,-413,171,1081,277,441,-235,157,448
468,925,-171,413,807,103,167,-409,112,448
615,452,-24,-59,672,569,32,57,247,64
817,585,177,73,473,455,-167,-57,22,192
811,98,171,-413,491,953,-149,441,292,448
811,925,171,413,490,134,-150,-378,67,448
1053,340,413,-171,296,700,-344,188,337,448
713,334,73,-177,585,722,-55,210,292,192
517,807,-122,295,766,221,126,-291,112,320
462,438,-177,-73,828,593,188,81,202,192
664,571,24,59,616,456,-24,-56,67,64
699,487,59,-24,583,544,-57,32,337,64
699,536,59,24,583,481,-57,-31,22,64
580,536,-59,24,697,482,57,-30,157,64
226,683,-413,171,1049,313,409,-199,157,448
817,438,177,-73,490,603,-150,91,337,192
713,689,73,177,591,335,-49,-177,67,192
762,216,122,-295,548,882,-92,370,292,320
580,487,-59,-24,706,545,66,33,202,64
762,807,122,295,515,241,-125,-271,67,320
935,389,295,-122,375,641,-265,129,337,320
468,98,-171,-413,825,907,185,395,247,448
935,634,295,122,362,394,-278,-118,22,320
517,216,-122,-295,801,850,161,338,247,320
226,340,-413,-171,1125,768,485,256,202,448
1053,683,413,171,256,324,-384,-188,22,448
615,452,-24,-59,670,567,30,55,247,64
664,452,24,-59,616,565,-24,53,292,64
462,585,-177,73,821,418,181,-94,157,192
615,571,-24,59,664,460,24,-52,112,64
344,634,-295,122,927,366,287,-146,157,320
468,925,-171,413,824,84,184,-428,112,448
566,689,-73,177,732,352,92,-160,112,192
566,334,-73,-177,729,685,89,173,247,192
344,389,-295,-122,912,687,272,175,202,320
615,571,-24,59,673,451,33,-61,112,64
935,389,295,-122,340,619,-300,107,337,320
517,216,-122,-295,791,818,151,306,247,320
226,340,-413,-171,1053,712,413,200,202,448
935,634,295,122,382,396,-258,-116,22,320
811,98,171,-413,514,903,-126,391,292,448
468,98,-171,-413,892,913,252,401,247,448
664,452,24,-59,613,576,-27,64,292,64
817,585,177,73,478,435,-162,-77,22,192
1053,340,413,-171,270,668,-370,156,337,448
699,536,59,24,580,474,-60,-38,22,64
468,925,-171,413,808,117,168,-395,112,448
462,438,-177,-73,840,605,200,93,202,192
517,807,-122,295,756,217,116,-295,112,320
1053,683,413,171,296,362,-344,-150,22,448
615,452,-24,-59,673,576,33,64,247,64
664,571,24,59,616,457,-24,-55,67,64
344,389,-295,-122,945,667,305,155,202,320
817,438,177,-73,477,587,-163,75,337,192
566,689,-73,177,713,334,73,-178,112,192
566,334,-73,-177,732,696,92,184,247,192
762,807,122,295,542,251,-98,-261,67,320
580,536,-59,24,695,491,55,-21,157,64
699,487,59,-24,585,544,-55,32,337,64
713,334,73,-177,575,707,-65,195,292,192
713,689,73,177,572,333,-68,-179,67,192
462,585,-177,73,809,428,169,-84,157,192
811,925,171,413,476,148,-164,-364,67,448
762,216,122,-295,515,829,-125,317,292,320
226,683,-413,171,1027,317,387,-195,157,448
580,487,-59,-24,700,547,60,35,202,64
344,634,-295,122,944,389,304,-123,157,320
615,452,-24,-59,667,575,27,63,247,64
762,807,122,295,555,235,-85,-277,67,320
1053,340,413,-171,295,664,-345,152,337,448
468,98,-171,-413,885,921,245,409,247,448
664,452,24,-59,608,574,-32,62,292,64
566,334,-73,-177,756,718,116,206,247,192
580,536,-59,24,708,477,68,-35,157,64
