targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
1053,340,413,-171,260,682,-380,170,337,448
615,452,-24,-59,658,573,18,61,247,64
935,634,295,122,359,380,-281,-132,22,320
615,571,-24,59,659,455,19,-57,112,64
1053,683,413,171,242,325,-398,-187,22,448
699,487,59,-24,568,534,-72,22,337,64
811,98,171,-413,452,908,-188,396,292,448
566,689,-73,177,694,332,54,-180,112,192
699,536,59,24,572,491,-68,-21,22,64
664,452,24,-59,613,578,-27,66,292,64
762,216,122,-295,461,774,-179,262,292,320
935,389,295,-122,321,604,-319,92,337,320
344,634,-295,122,889,372,249,-140,157,320
226,683,-413,171,1004,340,364,-172,157,448
344,389,-295,-122,883,685,243,173,202,320
517,216,-122,-295,743,777,103,265,247,320
664,571,24,59,598,457,-42,-55,67,64
713,689,73,177,557,341,-83,-171,67,192
462,585,-177,73,812,430,172,-82,157,192
580,536,-59,24,700,484,60,-28,157,64
811,925,171,413,422,129,-218,-383,67,448
566,334,-73,-177,698,695,58,183,247,192
517,807,-122,295,747,233,107,-279,112,320
762,807,122,295,478,231,-162,-281,67,320
817,585,177,73,438,426,-202,-86,22,192
462,438,-177,-73,806,605,166,93,202,192
468,925,-171,413,807,113,167,-399,112,448
226,340,-413,-171,1062,725,422,213,202,448
468,98,-171,-413,808,920,168,408,247,448
580,487,-59,-24,693,542,53,30,202,64
817,438,177,-73,441,583,-199,71,337,192
713,334,73,-177,557,718,-83,206,292,192
517,807,-122,295,734,238,94,-274,112,320
468,98,-171,-413,764,932,124,420,247,448
935,634,295,122,356,369,-284,-143,22,320
580,536,-59,24,693,477,53,-35,157,64
664,452,24,-59,617,571,-23,59,292,64
699,536,59,24,580,486,-60,-26,22,64
615,571,-24,59,652,457,12,-55,112,64
462,438,-177,-73,814,575,174,63,202,192
566,689,-73,177,685,357,45,-155,112,192
817,438,177,-73,448,600,-192,88,337,192
344,389,-295,-122,910,680,270,168,202,320
811,925,171,413,458,167,-182,-345,67,448
615,452,-24,-59,664,565,24,53,247,64
462,585,-177,73,793,426,153,-86,157,192
699,487,59,-24,575,537,-65,25,337,64
1053,340,413,-171,198,678,-442,166,337,448
344,634,-295,122,898,379,258,-133,157,320
1053,683,413,171,291,355,-349,-157,22,448
468,925,-171,413,771,99,131,-413,112,448
713,689,73,177,552,328,-88,-184,67,192
817,585,177,73,457,443,-183,-69,22,192
580,487,-59,-24,696,546,56,34,202,64
713,334,73,-177,556,716,-84,204,292,192
226,683,-413,171,1036,334,396,-178,157,448
935,389,295,-122,336,644,-304,132,337,320
762,216,122,-295,514,846,-126,334,292,320
664,571,24,59,598,449,-42,-63,67,64
566,334,-73,-177,701,697,61,185,247,192
811,98,171,-413,474,953,-166,441,292,448
517,216,-122,-295,760,843,120,331,247,320
762,807,122,295,497,248,-143,-264,67,320
226,340,-413,-171,1074,759,434,247,202,448
699,536,59,24,582,485,-58,-27,22,64
713,334,73,-177,540,715,-100,203,292,192
344,389,-295,-122,912,670,272,158,202,320
713,689,73,177,546,344,-94,-168,67,192
462,438,-177,-73,823,583,183,71,202,192
615,452,-24,-59,659,580,19,68,247,64
226,340,-413,-171,1095,771,455,259,202,448
