targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
580,536,-59,24,705,475,65,-37,157,64
468,925,-171,413,810,142,170,-370,112,448
344,634,-295,122,982,374,342,-138,157,320
462,585,-177,73,818,437,178,-75,157,192
811,98,171,-413,435,918,-205,406,292,448
935,389,295,-122,344,671,-296,159,337,320
517,807,-122,295,762,246,122,-266,112,320
817,585,177,73,477,434,-163,-78,22,192
713,689,73,177,574,355,-66,-157,67,192
664,452,24,-59,618,562,-22,50,292,64
713,334,73,-177,564,699,-76,187,292,192
566,689,-73,177,725,338,85,-174,112,192
699,536,59,24,596,495,-44,-17,22,64
580,487,-59,-24,702,541,62,29,202,64
566,334,-73,-177,730,683,90,171,247,192
664,571,24,59,624,467,-16,-45,67,64
517,216,-122,-295,781,788,141,276,247,320
615,571,-24,59,671,465,31,-47,112,64
762,216,122,-295,507,812,-133,300,292,320
935,634,295,122,341,390,-299,-122,22,320
1053,340,413,-171,225,687,-415,175,337,448
615,452,-24,-59,676,569,36,57,247,64
462,438,-177,-73,807,590,167,78,202,192
762,807,122,295,514,221,-126,-291,67,320
468,98,-171,-413,851,860,211,348,247,448
344,389,-295,-122,927,661,287,149,202,320
1053,683,413,171,294,360,-346,-152,22,448
699,487,59,-24,584,537,-56,25,337,64
817,438,177,-73,479,602,-161,90,337,192
226,340,-413,-171,1091,688,451,176,202,448
811,925,171,413,488,129,-152,-383,67,448
226,683,-413,171,1028,278,388,-234,157,448
817,438,177,-73,485,582,-155,70,337,192
226,340,-413,-171,1091,668,451,156,202,448
615,571,-24,59,667,459,27,-53,112,64
226,683,-413,171,1015,338,375,-174,157,448
935,389,295,-122,366,630,-274,118,337,320
1053,340,413,-171,250,697,-390,185,337,448
811,925,171,413,488,154,-152,-358,67,448
817,585,177,73,464,432,-176,-80,22,192
344,389,-295,-122,910,629,270,117,202,320
468,98,-171,-413,842,851,202,339,247,448
935,634,295,122,349,388,-291,-124,22,320
664,571,24,59,627,461,-13,-51,67,64
713,689,73,177,586,361,-54,-151,67,192
344,634,-295,122,889,407,249,-105,157,320
566,334,-73,-177,726,667,86,155,247,192
699,536,59,24,588,488,-52,-24,22,64
580,536,-59,24,690,487,50,-25,157,64
615,452,-24,-59,670,573,30,61,247,64
462,585,-177,73,792,450,152,-62,157,192
762,216,122,-295,467,783,-173,271,292,320
462,438,-177,-73,830,582,190,70,202,192
664,452,24,-59,615,581,-25,69,292,64
699,487,59,-24,583,540,-57,28,337,64
580,487,-59,-24,702,534,62,22,202,64
517,216,-122,-295,785,801,145,289,247,320
566,689,-73,177,720,347,80,-165,112,192
811,98,171,-413,450,857,-190,345,292,448
468,925,-171,413,777,130,137,-382,112,448
762,807,122,295,537,237,-103,-275,67,320
517,807,-122,295,756,225,116,-287,112,320
713,334,73,-177,559,675,-81,163,292,192
1053,683,413,171,244,334,-396,-178,22,448
468,925,-171,413,812,110,172,-402,112,448
1053,340,413,-171,238,683,-402,171,337,448
344,389,-295,-122,948,631,308,119,202,320
580,487,-59,-24,704,539,64,27,202,64
517,807,-122,295,754,240,114,-272,112,320
462,438,-177,-73,814,578,174,66,202,192
713,689,73,177,584,379,-56,-133,67,192
699,536,59,24,584,492,-56,-20,22,64
344,634,-295,122,930,411,290,-101,157,320
664,452,24,-59,612,578,-28,66,292,64
615,452,-24,-59,669,568,29,56,247,64
566,334,-73,-177,723,699,83,187,247,192
226,340,-413,-171,1040,722,400,210,202,448
817,438,177,-73,448,584,-192,72,337,192
1053,683,413,171,246,350,-394,-162,22,448
462,585,-177,73,808,426,168,-86,157,192
935,389,295,-122,367,625,-273,113,337,320
615,571,-24,59,667,458,27,-54,112,64
811,925,171,413,505,117,-135,-395,67,448
226,683,-413,171,1011,321,371,-191,157,448
566,689,-73,177,721,324,81,-188,112,192
762,807,122,295,536,243,-104,-269,67,320
699,487,59,-24,577,536,-63,24,337,64
762,216,122,-295,484,831,-156,319,292,320
811,98,171,-413,425,897,-215,385,292,448
468,98,-171,-413,847,882,207,370,247,448
664,571,24,59,622,463,-18,-49,67,64
817,585,177,73,468,449,-172,-63,22,192
580,536,-59,24,696,490,56,-22,157,64
517,216,-122,-295,788,803,148,291,247,320
935,634,295,122,359,393,-281,-119,22,320
713,334,73,-177,556,701,-84,189,292,192
713,689,73,177,574,361,-66,-151,67,192
699,536,59,24,590,487,-50,-25,22,64
580,536,-59,24,699,489,59,-23,157,64
468,98,-171,-413,841,931,201,419,247,448
664,452,24,-59,615,584,-25,72,292,64
226,340,-413,-171,1051,726,411,214,202,448
580,487,-59,-24,710,548,70,36,202,64
468,925,-171,413,787,100,147,-412,112,448
615,452,-24,-59,673,566,33,54,247,64
566,334,-73,-177,725,692,85,180,247,192
762,216,122,-295,510,788,-130,276,292,320
1053,683,413,171,267,332,-373,-180,22,448
344,389,-295,-122,944,651,304,139,202,320
935,389,295,-122,357,633,-283,121,337,320
462,438,-177,-73,822,590,182,78,202,192
811,98,171,-413,400,929,-240,417,292,448
462,585,-177,73,787,442,147,-70,157,192
517,216,-122,-295,796,824,156,312,247,320
935,634,295,122,368,403,-272,-109,22,320
566,689,-73,177,711,360,71,-152,112,192
344,634,-295,122,925,391,285,-121,157,320
811,925,171,413,490,159,-150,-353,67,448
226,683,-413,171,1065,314,425,-198,157,448
517,807,-122,295,768,221,128,-291,112,320
762,807,122,295,522,243,-118,-269,67,320
713,334,73,-177,558,691,-82,179,292,192
615,571,-24,59,665,458,25,-54,112,64
664,571,24,59,623,462,-17,-50,67,64
817,585,177,73,474,438,-166,-74,22,192
699,487,59,-24,574,534,-66,22,337,64
817,438,177,-73,476,578,-164,66,337,192
1053,340,413,-171,246,684,-394,172,337,448
344,389,-295,-122,928,633,288,121,202,320
811,98,171,-413,446,904,-194,392,292,448
699,487,59,-24,574,545,-66,33,337,64
566,689,-73,177,709,340,69,-172,112,192
713,689,73,177,579,361,-61,-151,67,192
226,340,-413,-171,1004,711,364,199,202,448
935,389,295,-122,328,628,-312,116,337,320
468,925,-171,413,805,106,165,-406,112,448
817,585,177,73,462,443,-178,-69,22,192
468,98,-171,-413,817,879,177,367,247,448
935,634,295,122,352,407,-288,-105,22,320
817,438,177,-73,468,576,-172,64,337,192
713,334,73,-177,542,692,-98,180,292,192
1053,683,413,171,241,313,-399,-199,22,448
811,925,171,413,504,132,-136,-380,67,448
226,683,-413,171,1034,315,394,-197,157,448
580,536,-59,24,695,483,55,-29,157,64
699,536,59,24,594,493,-46,-19,22,64
664,452,24,-59,617,569,-23,57,292,64
462,585,-177,73,797,440,157,-72,157,192
1053,340,413,-171,188,690,-452,178,337,448
762,216,122,-295,477,835,-163,323,292,320
462,438,-177,-73,824,569,184,57,202,192
615,452,-24,-59,671,567,31,55,247,64
762,807,122,295,518,260,-122,-252,67,320
566,334,-73,-177,712,684,72,172,247,192
615,571,-24,59,674,455,34,-57,112,64
580,487,-59,-24,692,541,52,29,202,64
344,634,-295,122,910,414,270,-98,157,320
517,216,-122,-295,778,792,138,280,247,320
664,571,24,59,621,457,-19,-55,67,64
517,807,-122,295,776,212,136,-300,112,320
517,807,-122,295,751,225,111,-287,112,320
817,585,177,73,469,440,-171,-72,22,192
811,98,171,-413,432,928,-208,416,292,448
615,452,-24,-59,665,572,25,60,247,64
762,216,122,-295,489,817,-151,305,292,320
566,689,-73,177,700,354,60,-158,112,192
468,98,-171,-413,846,941,206,429,247,448
817,438,177,-73,466,578,-174,66,337,192
935,634,295,122,360,416,-280,-96,22,320
762,807,122,295,538,285,-102,-227,67,320
664,571,24,59,621,462,-19,-50,67,64
1053,340,413,-171,221,668,-419,156,337,448
344,634,-295,122,930,392,290,-120,157,320
226,340,-413,-171,1048,669,408,157,202,448
462,438,-177,-73,807,581,167,69,202,192
615,571,-24,59,667,459,27,-53,112,64
811,925,171,413,494,99,-146,-413,67,448
713,334,73,-177,552,695,-88,183,292,192
517,216,-122,-295,758,781,118,269,247,320
580,487,-59,-24,693,542,53,30,202,64
713,689,73,177,581,352,-59,-160,67,192
566,334,-73,-177,719,679,79,167,247,192
699,487,59,-24,577,536,-63,24,337,64
935,389,295,-122,347,628,-293,116,337,320
468,925,-171,413,820,91,180,-421,112,448
699,536,59,24,590,488,-50,-24,22,64
344,389,-295,-122,973,655,333,143,202,320
580,536,-59,24,700,486,60,-26,157,64
1053,683,413,171,256,396,-384,-116,22,448
226,683,-413,171,1099,350,459,-162,157,448
462,585,-177,73,821,449,181,-63,157,192
664,452,24,-59,614,574,-26,62,292,64
699,536,59,24,593,493,-47,-19,22,64
811,925,171,413,510,123,-130,-389,67,448
226,340,-413,-171,1038,699,398,187,202,448
