targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
468,98,-171,-413,905,892,265,380,247,448
935,389,295,-122,369,638,-271,126,337,320
580,536,-59,24,702,484,62,-28,157,64
566,689,-73,177,727,331,87,-181,112,192
762,216,122,-295,531,768,-109,256,292,320
468,925,-171,413,874,76,234,-436,112,448
580,487,-59,-24,696,540,56,28,202,64
462,438,-177,-73,822,574,182,62,202,192
762,807,122,295,542,222,-98,-290,67,320
713,689,73,177,577,347,-63,-165,67,192
1053,340,413,-171,176,709,-464,197,337,448
699,487,59,-24,575,544,-65,32,337,64
226,683,-413,171,1032,309,392,-203,157,448
664,452,24,-59,620,572,-20,60,292,64
664,571,24,59,629,462,-11,-50,67,64
811,925,171,413,483,102,-157,-410,67,448
811,98,171,-413,479,885,-161,373,292,448
462,585,-177,73,819,429,179,-83,157,192
699,536,59,24,584,483,-56,-29,22,64
566,334,-73,-177,745,682,105,170,247,192
344,634,-295,122,937,393,297,-119,157,320
615,452,-24,-59,673,569,33,57,247,64
517,216,-122,-295,806,830,166,318,247,320
935,634,295,122,333,391,-307,-121,22,320
713,334,73,-177,555,697,-85,185,292,192
615,571,-24,59,673,460,33,-52,112,64
517,807,-122,295,777,228,137,-284,112,320
1053,683,413,171,230,375,-410,-137,22,448
817,585,177,73,467,455,-173,-57,22,192
226,340,-413,-171,1028,677,388,165,202,448
344,389,-295,-122,915,645,275,133,202,320
817,438,177,-73,460,580,-180,68,337,192
344,389,-295,-122,940,643,300,131,202,320
226,683,-413,171,1102,300,462,-212,157,448
811,925,171,413,473,93,-167,-419,67,448
226,340,-413,-171,1033,709,393,197,202,448
566,334,-73,-177,742,696,102,184,247,192
811,98,171,-413,428,923,-212,411,292,448
462,438,-177,-73,428,923,-212,411,202,192
462,438,-177,-73,802,578,162,66,202,192
699,487,59,-24,576,541,-64,29,337,64
566,689,-73,177,719,366,79,-146,112,192
580,487,-59,-24,701,537,61,25,202,64
664,571,24,59,624,465,-16,-47,67,64
517,216,-122,-295,806,807,166,295,247,320
580,536,-59,24,694,490,54,-22,157,64
817,585,177,73,477,438,-163,-74,22,192
762,216,122,-295,499,815,-141,303,292,320
762,807,122,295,565,253,-75,-259,67,320
664,452,24,-59,618,576,-22,64,292,64
1053,683,413,171,227,358,-413,-154,22,448
935,389,295,-122,352,633,-288,121,337,320
468,925,-171,413,861,145,221,-367,112,448
344,634,-295,122,949,353,309,-159,157,320
817,438,177,-73,461,586,-179,74,337,192
462,585,-177,73,812,435,172,-77,157,192
1053,340,413,-171,233,672,-407,160,337,448
615,452,-24,-59,674,574,34,62,247,64
713,334,73,-177,571,704,-69,192,292,192
699,536,59,24,584,488,-56,-24,22,64
713,689,73,177,595,370,-45,-142,67,192
517,807,-122,295,778,236,138,-276,112,320
935,634,295,122,378,388,-262,-124,22,320
468,98,-171,-413,855,905,215,393,247,448
615,571,-24,59,671,453,31,-59,112,64
811,925,171,413,503,79,-137,-433,67,448
566,334,-73,-177,725,678,85,166,247,192
344,389,-295,-122,913,646,273,134,202,320
226,683,-413,171,1049,330,409,-182,157,448
762,216,122,-295,501,790,-139,278,292,320
713,689,73,177,582,332,-58,-180,67,192
762,807,122,295,531,207,-109,-305,67,320
664,571,24,59,618,450,-22,-62,67,64
615,571,-24,59,679,461,39,-51,112,64
664,452,24,-59,618,571,-22,59,292,64
344,634,-295,122,913,379,273,-133,157,320
468,925,-171,413,881,116,241,-396,112,448
699,487,59,-24,578,540,-62,28,337,64
699,536,59,24,593,483,-47,-29,22,64
462,438,-177,-73,814,581,174,69,202,192
517,807,-122,295,768,269,128,-243,112,320
817,438,177,-73,471,580,-169,68,337,192
226,340,-413,-171,1038,668,398,156,202,448
1053,683,413,171,238,328,-402,-184,22,448
468,98,-171,-413,872,900,232,388,247,448
517,216,-122,-295,820,825,180,313,247,320
713,334,73,-177,576,701,-64,189,292,192
