targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
699,487,59,-24,589,549,-51,37,337,64
566,689,-73,177,722,357,82,-155,112,192
664,452,24,-59,618,575,-22,63,292,64
344,389,-295,-122,962,665,322,153,202,320
811,925,171,413,490,144,-150,-368,67,448
762,807,122,295,523,229,-117,-283,67,320
762,216,122,-295,538,794,-102,282,292,320
1053,683,413,171,309,348,-331,-164,22,448
468,925,-171,413,808,141,168,-371,112,448
817,585,177,73,509,444,-131,-68,22,192
615,571,-24,59,669,445,29,-67,112,64
468,98,-171,-413,863,949,223,437,247,448
811,98,171,-413,505,929,-135,417,292,448
344,634,-295,122,894,403,254,-109,157,320
713,689,73,177,587,344,-53,-168,67,192
462,585,-177,73,805,449,165,-63,157,192
226,340,-413,-171,1055,661,415,149,202,448
566,334,-73,-177,726,711,86,199,247,192
462,438,-177,-73,835,585,195,73,202,192
580,536,-59,24,703,479,63,-33,157,64
699,536,59,24,584,485,-56,-27,22,64
713,334,73,-177,564,701,-76,189,292,192
817,438,177,-73,507,593,-133,81,337,192
517,216,-122,-295,778,808,138,296,247,320
664,571,24,59,622,456,-18,-56,67,64
935,634,295,122,407,402,-233,-110,22,320
615,452,-24,-59,671,581,31,69,247,64
517,807,-122,295,765,264,125,-248,112,320
1053,340,413,-171,318,688,-322,176,337,448
226,683,-413,171,1038,355,398,-157,157,448
935,389,295,-122,420,616,-220,104,337,320
580,487,-59,-24,711,543,71,31,202,64
344,634,-295,122,920,407,280,-105,157,320
811,98,171,-413,471,879,-169,367,292,448
462,585,-177,73,803,443,163,-69,157,192
699,536,59,24,580,492,-60,-20,22,64
468,98,-171,-413,844,898,204,386,247,448
762,807,122,295,564,316,-76,-196,67,320
713,334,73,-177,575,695,-65,183,292,192
517,807,-122,295,753,231,113,-281,112,320
580,487,-59,-24,704,536,64,24,202,64
615,452,-24,-59,675,568,35,56,247,64
1053,683,413,171,320,284,-320,-228,22,448
226,683,-413,171,1026,374,386,-138,157,448
580,536,-59,24,707,488,67,-24,157,64
817,438,177,-73,497,587,-143,75,337,192
615,571,-24,59,669,460,29,-52,112,64
566,334,-73,-177,728,695,88,183,247,192
1053,340,413,-171,284,690,-356,178,337,448
713,689,73,177,590,367,-50,-145,67,192
762,216,122,-295,520,820,-120,308,292,320
226,340,-413,-171,1134,708,494,196,202,448
811,925,171,413,512,153,-128,-359,67,448
344,389,-295,-122,934,622,294,110,202,320
517,216,-122,-295,795,798,155,286,247,320
664,452,24,-59,616,590,-24,78,292,64
566,689,-73,177,716,355,76,-157,112,192
664,571,24,59,617,445,-23,-67,67,64
935,634,295,122,403,394,-237,-118,22,320
468,925,-171,413,814,134,174,-378,112,448
699,487,59,-24,593,546,-47,34,337,64
462,438,-177,-73,872,585,232,73,202,192
817,585,177,73,515,441,-125,-71,22,192
935,389,295,-122,415,621,-225,109,337,320
664,571,24,59,617,455,-23,-57,67,64
226,340,-413,-171,1096,707,456,195,202,448
699,487,59,-24,586,536,-54,24,337,64
462,585,-177,73,811,445,171,-67,157,192
517,216,-122,-295,767,803,127,291,247,320
935,634,295,122,376,378,-264,-134,22,320
580,536,-59,24,704,487,64,-25,157,64
811,98,171,-413,498,911,-142,399,292,448
762,807,122,295,539,226,-101,-286,67,320
468,98,-171,-413,835,870,195,358,247,448
817,585,177,73,507,443,-133,-69,22,192
664,452,24,-59,615,591,-25,79,292,64
344,389,-295,-122,956,620,316,108,202,320
517,807,-122,295,771,230,131,-282,112,320
615,452,-24,-59,671,587,31,75,247,64
811,925,171,413,509,144,-131,-368,67,448
462,438,-177,-73,844,591,204,79,202,192
566,689,-73,177,709,363,69,-149,112,192
615,571,-24,59,669,456,29,-56,112,64
580,487,-59,-24,697,545,57,33,202,64
699,536,59,24,591,483,-49,-29,22,64
762,216,122,-295,526,794,-114,282,292,320
566,334,-73,-177,741,711,101,199,247,192
817,438,177,-73,492,590,-148,78,337,192
713,334,73,-177,577,677,-63,165,292,192
1053,340,413,-171,360,688,-280,176,337,448
226,683,-413,171,1006,358,366,-154,157,448
935,389,295,-122,403,631,-237,119,337,320
344,634,-295,122,929,417,289,-95,157,320
468,925,-171,413,814,136,174,-376,112,448
1053,683,413,171,276,352,-364,-160,22,448
713,689,73,177,585,347,-55,-165,67,192
517,216,-122,-295,800,805,160,293,247,320
664,571,24,59,622,457,-18,-55,67,64
462,438,-177,-73,833,587,193,75,202,192
664,452,24,-59,619,579,-21,67,292,64
615,452,-24,-59,665,568,25,56,247,64
566,334,-73,-177,723,697,83,185,247,192
935,634,295,122,406,358,-234,-154,22,320
344,634,-295,122,911,409,271,-103,157,320
699,536,59,24,585,482,-55,-30,22,64
580,487,-59,-24,705,534,65,22,202,64
935,389,295,-122,404,644,-236,132,337,320
762,807,122,295,562,302,-78,-210,67,320
580,536,-59,24,702,486,62,-26,157,64
1053,340,413,-171,316,724,-324,212,337,448
811,98,171,-413,469,934,-171,422,292,448
713,334,73,-177,565,703,-75,191,292,192
226,340,-413,-171,1034,678,394,166,202,448
226,683,-413,171,1051,344,411,-168,157,448
699,487,59,-24,583,543,-57,31,337,64
615,571,-24,59,665,463,25,-49,112,64
762,216,122,-295,532,817,-108,305,292,320
566,689,-73,177,714,373,74,-139,112,192
817,438,177,-73,474,612,-166,100,337,192
468,98,-171,-413,829,949,189,437,247,448
517,807,-122,295,755,238,115,-274,112,320
462,585,-177,73,817,451,177,-61,157,192
811,925,171,413,471,86,-169,-426,67,448
468,925,-171,413,793,115,153,-397,112,448
1053,683,413,171,251,306,-389,-206,22,448
713,689,73,177,592,369,-48,-143,67,192
344,389,-295,-122,949,637,309,125,202,320
817,585,177,73,497,442,-143,-70,22,192
615,571,-24,59,671,452,31,-60,112,64
762,216,122,-295,527,851,-113,339,292,320
226,683,-413,171,1025,349,385,-163,157,448
566,334,-73,-177,729,709,89,197,247,192
762,807,122,295,540,221,-100,-291,67,320
615,452,-24,-59,669,572,29,60,247,64
811,98,171,-413,494,914,-146,402,292,448
817,585,177,73,504,446,-136,-66,22,192
344,389,-295,-122,986,638,346,126,202,320
