targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
462,585,-177,73,782,426,142,-86,157,192
699,487,59,-24,591,546,-49,34,337,64
664,571,24,59,620,469,-20,-43,67,64
1053,340,413,-171,322,716,-318,204,337,448
713,334,73,-177,563,709,-77,197,292,192
664,452,24,-59,607,587,-33,75,292,64
344,634,-295,122,898,404,258,-108,157,320
580,536,-59,24,712,490,72,-22,157,64
699,536,59,24,585,494,-55,-18,22,64
713,689,73,177,579,378,-61,-134,67,192
344,389,-295,-122,908,632,268,120,202,320
762,216,122,-295,503,806,-137,294,292,320
1053,683,413,171,269,307,-371,-205,22,448
462,438,-177,-73,805,577,165,65,202,192
566,334,-73,-177,736,698,96,186,247,192
468,98,-171,-413,821,879,181,367,247,448
935,389,295,-122,393,636,-247,124,337,320
811,98,171,-413,434,906,-206,394,292,448
517,216,-122,-295,779,820,139,308,247,320
226,340,-413,-171,1034,676,394,164,202,448
811,925,171,413,488,146,-152,-366,67,448
226,683,-413,171,1009,344,369,-168,157,448
580,487,-59,-24,707,548,67,36,202,64
566,689,-73,177,705,349,65,-163,112,192
615,571,-24,59,663,456,23,-56,112,64
468,925,-171,413,776,90,136,-422,112,448
615,452,-24,-59,671,573,31,61,247,64
817,585,177,73,508,449,-132,-63,22,192
517,807,-122,295,731,251,91,-261,112,320
817,438,177,-73,484,594,-156,82,337,192
762,807,122,295,542,256,-98,-256,67,320
935,634,295,122,365,358,-275,-154,22,320
615,571,-24,59,665,462,25,-50,112,64
468,98,-171,-413,798,895,158,383,247,448
935,634,295,122,390,394,-250,-118,22,320
817,585,177,73,463,444,-177,-68,22,192
517,807,-122,295,741,266,101,-246,112,320
762,216,122,-295,502,801,-138,289,292,320
462,438,-177,-73,831,584,191,72,202,192
713,689,73,177,569,367,-71,-145,67,192
1053,340,413,-171,306,689,-334,177,337,448
817,438,177,-73,432,606,-208,94,337,192
1053,683,413,171,310,314,-330,-198,22,448
462,585,-177,73,805,442,165,-70,157,192
664,571,24,59,615,444,-25,-68,67,64
226,683,-413,171,1000,347,360,-165,157,448
811,98,171,-413,488,895,-152,383,292,448
699,487,59,-24,591,545,-49,33,337,64
713,334,73,-177,568,684,-72,172,292,192
517,216,-122,-295,788,851,148,339,247,320
664,452,24,-59,604,579,-36,67,292,64
762,807,122,295,531,268,-109,-244,67,320
580,536,-59,24,690,487,50,-25,157,64
615,452,-24,-59,668,579,28,67,247,64
699,536,59,24,593,491,-47,-21,22,64
344,389,-295,-122,914,618,274,106,202,320
566,334,-73,-177,722,710,82,198,247,192
468,925,-171,413,784,99,144,-413,112,448
935,389,295,-122,375,662,-265,150,337,320
580,487,-59,-24,708,535,68,23,202,64
566,689,-73,177,701,347,61,-165,112,192
344,634,-295,122,895,407,255,-105,157,320
226,340,-413,-171,988,649,348,137,202,448
811,925,171,413,476,164,-164,-348,67,448
664,452,24,-59,625,577,-15,65,292,64
226,340,-413,-171,1021,646,381,134,202,448
817,438,177,-73,470,581,-170,69,337,192
1053,683,413,171,264,347,-376,-165,22,448
699,487,59,-24,587,546,-53,34,337,64
566,689,-73,177,701,360,61,-152,112,192
462,438,-177,-73,848,588,208,76,202,192
762,216,122,-295,524,765,-116,253,292,320
935,389,295,-122,392,646,-248,134,337,320
713,689,73,177,588,358,-52,-154,67,192
344,634,-295,122,867,422,227,-90,157,320
811,98,171,-413,505,851,-135,339,292,448
517,807,-122,295,751,265,111,-247,112,320
699,536,59,24,589,488,-51,-24,22,64
664,571,24,59,616,448,-24,-64,67,64
713,334,73,-177,579,678,-61,166,292,192
344,389,-295,-122,908,607,268,95,202,320
811,925,171,413,516,173,-124,-339,67,448
1053,340,413,-171,268,672,-372,160,337,448
517,216,-122,-295,775,830,135,318,247,320
615,571,-24,59,661,451,21,-61,112,64
817,585,177,73,466,453,-174,-59,22,192
226,683,-413,171,1005,338,365,-174,157,448
580,487,-59,-24,705,538,65,26,202,64
762,807,122,295,532,280,-108,-232,67,320
468,98,-171,-413,786,893,146,381,247,448
468,925,-171,413,782,126,142,-386,112,448
580,536,-59,24,700,487,60,-25,157,64
615,452,-24,-59,663,569,23,57,247,64
935,634,295,122,386,361,-254,-151,22,320
566,334,-73,-177,724,698,84,186,247,192
462,585,-177,73,786,446,146,-66,157,192
566,689,-73,177,699,375,59,-137,112,192
615,452,-24,-59,671,582,31,70,247,64
468,925,-171,413,762,143,122,-369,112,448
664,452,24,-59,605,583,-35,71,292,64
1053,340,413,-171,296,690,-344,178,337,448
615,571,-24,59,660,462,20,-50,112,64
713,334,73,-177,579,686,-61,174,292,192
935,389,295,-122,394,636,-246,124,337,320
344,389,-295,-122,919,604,279,92,202,320
699,536,59,24,592,485,-48,-27,22,64
462,438,-177,-73,814,584,174,72,202,192
566,334,-73,-177,716,691,76,179,247,192
462,585,-177,73,792,442,152,-70,157,192
580,536,-59,24,696,481,56,-31,157,64
226,683,-413,171,978,363,338,-149,157,448
713,689,73,177,579,358,-61,-154,67,192
344,634,-295,122,892,417,252,-95,157,320
811,925,171,413,501,164,-139,-348,67,448
762,807,122,295,535,284,-105,-228,67,320
811,98,171,-413,503,863,-137,351,292,448
517,807,-122,295,734,263,94,-249,112,320
517,216,-122,-295,768,811,128,299,247,320
580,487,-59,-24,707,538,67,26,202,64
699,487,59,-24,590,531,-50,19,337,64
817,585,177,73,481,444,-159,-68,22,192
817,438,177,-73,494,582,-146,70,337,192
468,98,-171,-413,813,897,173,385,247,448
762,216,122,-295,513,823,-127,311,292,320
935,634,295,122,389,411,-251,-101,22,320
1053,683,413,171,280,347,-360,-165,22,448
664,571,24,59,616,449,-24,-63,67,64
226,340,-413,-171,1124,679,484,167,202,448
615,452,-24,-59,677,576,37,64,247,64
615,571,-24,59,661,464,21,-48,112,64
226,340,-413,-171,1043,650,403,138,202,448
713,689,73,177,586,399,-54,-113,67,192
817,438,177,-73,512,575,-128,63,337,192
664,452,24,-59,620,571,-20,59,292,64
462,585,-177,73,833,438,193,-74,157,192
699,487,59,-24,578,540,-62,28,337,64
811,98,171,-413,483,888,-157,376,292,448
468,925,-171,413,818,113,178,-399,112,448
762,807,122,295,530,256,-110,-256,67,320
566,334,-73,-177,707,676,67,164,247,192
811,925,171,413,503,180,-137,-332,67,448
713,334,73,-177,582,664,-58,152,292,192
462,438,-177,-73,812,571,172,59,202,192
580,536,-59,24,694,485,54,-27,157,64
517,807,-122,295,747,276,107,-236,112,320
762,216,122,-295,535,781,-105,269,292,320
935,634,295,122,398,376,-242,-136,22,320
1053,683,413,171,333,378,-307,-134,22,448
817,585,177,73,479,451,-161,-61,22,192
1053,340,413,-171,319,672,-321,160,337,448
664,571,24,59,616,444,-24,-68,67,64
566,689,-73,177,690,356,50,-156,112,192
344,389,-295,-122,921,626,281,114,202,320
468,98,-171,-413,830,887,190,375,247,448
226,683,-413,171,1036,315,396,-197,157,448
580,487,-59,-24,693,540,53,28,202,64
699,536,59,24,576,487,-64,-25,22,64
935,389,295,-122,387,606,-253,94,337,320
517,216,-122,-295,771,816,131,304,247,320
344,634,-295,122,913,394,273,-118,157,320
762,216,122,-295,526,800,-114,288,292,320
580,487,-59,-24,704,542,64,30,202,64
344,389,-295,-122,901,628,261,116,202,320
226,340,-413,-171,1039,681,399,169,202,448
517,216,-122,-295,753,774,113,262,247,320
566,689,-73,177,701,338,61,-174,112,192
468,925,-171,413,801,140,161,-372,112,448
664,452,24,-59,614,588,-26,76,292,64
817,585,177,73,489,440,-151,-72,22,192
1053,683,413,171,266,316,-374,-196,22,448
615,571,-24,59,664,463,24,-49,112,64
935,634,295,122,359,396,-281,-116,22,320
699,487,59,-24,591,548,-49,36,337,64
344,634,-295,122,904,399,264,-113,157,320
462,438,-177,-73,845,592,205,80,202,192
1053,340,413,-171,298,672,-342,160,337,448
468,98,-171,-413,806,938,166,426,247,448
935,389,295,-122,403,602,-237,90,337,320
713,334,73,-177,575,692,-65,180,292,192
580,536,-59,24,698,489,58,-23,157,64
811,98,171,-413,506,902,-134,390,292,448
713,689,73,177,589,366,-51,-146,67,192
462,585,-177,73,798,444,158,-68,157,192
699,536,59,24,567,485,-73,-27,22,64
762,807,122,295,537,238,-103,-274,67,320
811,925,171,413,487,150,-153,-362,67,448
664,571,24,59,619,456,-21,-56,67,64
615,452,-24,-59,673,577,33,65,247,64
226,683,-413,171,1017,331,377,-181,157,448
566,334,-73,-177,722,677,82,165,247,192
817,438,177,-73,501,569,-139,57,337,192
517,807,-122,295,749,266,109,-246,112,320
226,683,-413,171,1030,359,390,-153,157,448
344,389,-295,-122,946,638,306,126,202,320
344,634,-295,122,890,408,250,-104,157,320
817,438,177,-73,509,579,-131,67,337,192
468,98,-171,-413,795,897,155,385,247,448
713,334,73,-177,568,680,-72,168,292,192
935,389,295,-122,399,632,-241,120,337,320
468,925,-171,413,838,133,198,-379,112,448
517,216,-122,-295,756,817,116,305,247,320
462,585,-177,73,819,436,179,-76,157,192
762,807,122,295,528,251,-112,-261,67,320
580,536,-59,24,709,480,69,-32,157,64
664,452,24,-59,612,573,-28,61,292,64
462,438,-177,-73,841,595,201,83,202,192
517,807,-122,295,731,276,91,-236,112,320
935,634,295,122,411,417,-229,-95,22,320
566,689,-73,177,701,384,61,-128,112,192
615,571,-24,59,666,449,26,-63,112,64
713,689,73,177,583,369,-57,-143,67,192
580,487,-59,-24,699,540,59,28,202,64
699,487,59,-24,590,536,-50,24,337,64
1053,340,413,-171,288,697,-352,185,337,448
664,571,24,59,621,457,-19,-55,67,64
1053,683,413,171,244,327,-396,-185,22,448
615,452,-24,-59,670,584,30,72,247,64
226,340,-413,-171,1071,679,431,167,202,448
811,925,171,413,517,123,-123,-389,67,448
811,98,171,-413,503,913,-137,401,292,448
817,585,177,73,482,450,-158,-62,22,192
566,334,-73,-177,719,694,79,182,247,192
