targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
699,487,59,-24,583,548,-57,36,337,64
344,634,-295,122,908,393,268,-119,157,320
226,340,-413,-171,983,646,343,134,202,448
468,98,-171,-413,807,858,167,346,247,448
580,487,-59,-24,706,543,66,31,202,64
817,438,177,-73,461,604,-179,92,337,192
344,389,-295,-122,900,614,260,102,202,320
462,585,-177,73,798,438,158,-74,157,192
462,438,-177,-73,824,590,184,78,202,192
517,216,-122,-295,792,813,152,301,247,320
1053,683,413,171,333,370,-307,-142,22,448
517,807,-122,295,761,266,121,-246,112,320
664,571,24,59,619,450,-21,-62,67,64
935,389,295,-122,378,653,-262,141,337,320
811,98,171,-413,492,877,-148,365,292,448
615,571,-24,59,674,457,34,-55,112,64
664,452,24,-59,618,582,-22,70,292,64
615,452,-24,-59,670,582,30,70,247,64
713,689,73,177,563,361,-77,-151,67,192
935,634,295,122,410,395,-230,-117,22,320
1053,340,413,-171,280,694,-360,182,337,448
699,536,59,24,584,481,-56,-31,22,64
762,216,122,-295,521,810,-119,298,292,320
811,925,171,413,503,200,-137,-312,67,448
226,683,-413,171,1013,351,373,-161,157,448
468,925,-171,413,840,121,200,-391,112,448
566,689,-73,177,721,323,81,-189,112,192
817,585,177,73,474,435,-166,-77,22,192
566,334,-73,-177,731,710,91,198,247,192
713,334,73,-177,570,693,-70,181,292,192
762,807,122,295,534,255,-106,-257,67,320
580,536,-59,24,707,476,67,-36,157,64
580,487,-59,-24,704,543,64,31,202,64
935,389,295,-122,373,627,-267,115,337,320
566,689,-73,177,713,345,73,-167,112,192
1053,683,413,171,300,366,-340,-146,22,448
817,585,177,73,467,433,-173,-79,22,192
517,216,-122,-295,787,842,147,330,247,320
713,689,73,177,565,356,-75,-156,67,192
226,340,-413,-171,1051,710,411,198,202,448
762,807,122,295,529,243,-111,-269,67,320
935,634,295,122,354,375,-286,-137,22,320
468,98,-171,-413,848,909,208,397,247,448
699,487,59,-24,577,548,-63,36,337,64
699,536,59,24,589,477,-51,-35,22,64
468,925,-171,413,834,125,194,-387,112,448
615,571,-24,59,677,439,37,-73,112,64
811,925,171,413,498,154,-142,-358,67,448
566,334,-73,-177,721,699,81,187,247,192
817,438,177,-73,462,585,-178,73,337,192
580,536,-59,24,705,482,65,-30,157,64
762,216,122,-295,528,797,-112,285,292,320
664,571,24,59,606,457,-34,-55,67,64
811,98,171,-413,492,946,-148,434,292,448
344,389,-295,-122,926,644,286,132,202,320
615,452,-24,-59,667,584,27,72,247,64
713,334,73,-177,571,693,-69,181,292,192
462,585,-177,73,834,427,194,-85,157,192
344,634,-295,122,906,392,266,-120,157,320
517,807,-122,295,770,240,130,-272,112,320
664,452,24,-59,618,584,-22,72,292,64
462,438,-177,-73,825,596,185,84,202,192
1053,340,413,-171,230,708,-410,196,337,448
226,683,-413,171,1008,335,368,-177,157,448
580,487,-59,-24,703,547,63,35,202,64
615,452,-24,-59,671,577,31,65,247,64
664,571,24,59,614,456,-26,-56,67,64
811,925,171,413,487,162,-153,-350,67,448
580,536,-59,24,698,486,58,-26,157,64
935,634,295,122,342,371,-298,-141,22,320
762,807,122,295,535,243,-105,-269,67,320
699,487,59,-24,574,538,-66,26,337,64
1053,683,413,171,279,323,-361,-189,22,448
566,689,-73,177,702,358,62,-154,112,192
713,689,73,177,581,353,-59,-159,67,192
699,536,59,24,580,477,-60,-35,22,64
468,98,-171,-413,823,898,183,386,247,448
462,585,-177,73,841,442,201,-70,157,192
517,807,-122,295,796,254,156,-258,112,320
1053,340,413,-171,247,677,-393,165,337,448
566,334,-73,-177,732,700,92,188,247,192
817,585,177,73,473,434,-167,-78,22,192
713,334,73,-177,566,702,-74,190,292,192
344,634,-295,122,950,369,310,-143,157,320
935,389,295,-122,383,643,-257,131,337,320
811,98,171,-413,511,908,-129,396,292,448
468,925,-171,413,806,146,166,-366,112,448
226,683,-413,171,1048,310,408,-202,157,448
615,571,-24,59,679,448,39,-64,112,64
226,340,-413,-171,1127,681,487,169,202,448
762,216,122,-295,528,798,-112,286,292,320
664,452,24,-59,621,575,-19,63,292,64
517,216,-122,-295,751,770,111,258,247,320
462,438,-177,-73,828,589,188,77,202,192
344,389,-295,-122,939,625,299,113,202,320
817,438,177,-73,488,599,-152,87,337,192
462,438,-177,-73,817,586,177,74,202,192
664,571,24,59,606,454,-34,-58,67,64
699,487,59,-24,596,541,-44,29,337,64
1053,340,413,-171,328,675,-312,163,337,448
566,334,-73,-177,719,689,79,177,247,192
935,634,295,122,381,374,-259,-138,22,320
664,452,24,-59,616,581,-24,69,292,64
713,334,73,-177,592,670,-48,158,292,192
226,683,-413,171,1029,327,389,-185,157,448
462,585,-177,73,833,425,193,-87,157,192
817,438,177,-73,479,608,-161,96,337,192
817,585,177,73,472,412,-168,-100,22,192
566,689,-73,177,710,330,70,-182,112,192
811,925,171,413,486,145,-154,-367,67,448
762,807,122,295,535,233,-105,-279,67,320
468,98,-171,-413,838,944,198,432,247,448
713,689,73,177,565,330,-75,-182,67,192
517,216,-122,-295,763,769,123,257,247,320
762,216,122,-295,556,812,-84,300,292,320
1053,683,413,171,269,354,-371,-158,22,448
226,340,-413,-171,1078,718,438,206,202,448
344,634,-295,122,955,384,315,-128,157,320
615,571,-24,59,677,453,37,-59,112,64
811,98,171,-413,511,909,-129,397,292,448
935,389,295,-122,411,651,-229,139,337,320
468,925,-171,413,811,153,171,-359,112,448
517,807,-122,295,768,222,128,-290,112,320
580,487,-59,-24,704,548,64,36,202,64
699,536,59,24,583,479,-57,-33,22,64
615,452,-24,-59,670,577,30,65,247,64
344,389,-295,-122,945,650,305,138,202,320
580,536,-59,24,709,478,69,-34,157,64
517,216,-122,-295,788,792,148,280,247,320
935,389,295,-122,370,674,-270,162,337,320
713,689,73,177,569,334,-71,-178,67,192
344,389,-295,-122,919,655,279,143,202,320
664,571,24,59,609,448,-31,-64,67,64
468,925,-171,413,818,166,178,-346,112,448
699,536,59,24,576,476,-64,-36,22,64
817,438,177,-73,488,600,-152,88,337,192
462,438,-177,-73,819,598,179,86,202,192
566,689,-73,177,714,345,74,-167,112,192
615,571,-24,59,680,443,40,-69,112,64
811,925,171,413,515,200,-125,-312,67,448
580,536,-59,24,708,482,68,-30,157,64
811,98,171,-413,483,911,-157,399,292,448
517,807,-122,295,767,226,127,-286,112,320
699,487,59,-24,583,546,-57,34,337,64
468,98,-171,-413,841,900,201,388,247,448
566,334,-73,-177,724,691,84,179,247,192
226,340,-413,-171,1071,716,431,204,202,448
1053,683,413,171,314,348,-326,-164,22,448
817,585,177,73,466,423,-174,-89,22,192
1053,340,413,-171,286,696,-354,184,337,448
713,334,73,-177,582,722,-58,210,292,192
664,452,24,-59,621,571,-19,59,292,64
615,452,-24,-59,676,568,36,56,247,64
226,683,-413,171,1023,319,383,-193,157,448
344,634,-295,122,981,371,341,-141,157,320
935,634,295,122,375,385,-265,-127,22,320
462,585,-177,73,836,419,196,-93,157,192
580,487,-59,-24,709,551,69,39,202,64
762,216,122,-295,548,794,-92,282,292,320
762,807,122,295,525,234,-115,-278,67,320
615,571,-24,59,678,445,38,-67,112,64
811,925,171,413,520,188,-120,-324,67,448
344,634,-295,122,937,377,297,-135,157,320
468,925,-171,413,815,140,175,-372,112,448
566,689,-73,177,727,319,87,-193,112,192
935,634,295,122,379,387,-261,-125,22,320
762,807,122,295,517,265,-123,-247,67,320
517,807,-122,295,765,239,125,-273,112,320
580,487,-59,-24,697,548,57,36,202,64
468,98,-171,-413,856,901,216,389,247,448
664,452,24,-59,613,580,-27,68,292,64
817,585,177,73,472,425,-168,-87,22,192
699,487,59,-24,578,543,-62,31,337,64
462,438,-177,-73,825,586,185,74,202,192
580,536,-59,24,708,481,68,-31,157,64
344,389,-295,-122,903,636,263,124,202,320
226,683,-413,171,1038,328,398,-184,157,448
1053,683,413,171,251,342,-389,-170,22,448
935,389,295,-122,351,659,-289,147,337,320
699,536,59,24,579,481,-61,-31,22,64
817,438,177,-73,470,617,-170,105,337,192
615,452,-24,-59,673,573,33,61,247,64
664,571,24,59,608,452,-32,-60,67,64
462,585,-177,73,822,429,182,-83,157,192
1053,340,413,-171,278,682,-362,170,337,448
811,98,171,-413,495,953,-145,441,292,448
517,216,-122,-295,789,808,149,296,247,320
713,689,73,177,556,323,-84,-189,67,192
226,340,-413,-171,1083,717,443,205,202,448
566,334,-73,-177,724,704,84,192,247,192
762,216,122,-295,526,782,-114,270,292,320
713,334,73,-177,562,733,-78,221,292,192
517,216,-122,-295,756,795,116,283,247,320
344,389,-295,-122,933,621,293,109,202,320
762,216,122,-295,539,806,-101,294,292,320
664,571,24,59,614,453,-26,-59,67,64
468,98,-171,-413,829,908,189,396,247,448
713,689,73,177,554,317,-86,-195,67,192
566,334,-73,-177,717,705,77,193,247,192
935,389,295,-122,390,629,-250,117,337,320
699,487,59,-24,582,545,-58,33,337,64
615,452,-24,-59,665,572,25,60,247,64
713,334,73,-177,551,705,-89,193,292,192
811,925,171,413,496,178,-144,-334,67,448
580,487,-59,-24,713,543,73,31,202,64
468,925,-171,413,828,140,188,-372,112,448
817,585,177,73,462,428,-178,-84,22,192
1053,683,413,171,311,356,-329,-156,22,448
762,807,122,295,524,253,-116,-259,67,320
344,634,-295,122,941,369,301,-143,157,320
615,571,-24,59,679,444,39,-68,112,64
517,807,-122,295,770,261,130,-251,112,320
664,452,24,-59,611,572,-29,60,292,64
580,536,-59,24,710,482,70,-30,157,64
462,438,-177,-73,828,608,188,96,202,192
1053,340,413,-171,300,686,-340,174,337,448
566,689,-73,177,721,311,81,-201,112,192
699,536,59,24,581,472,-59,-40,22,64
462,585,-177,73,836,421,196,-91,157,192
817,438,177,-73,486,594,-154,82,337,192
811,98,171,-413,497,900,-143,388,292,448
226,683,-413,171,1030,329,390,-183,157,448
226,340,-413,-171,1077,717,437,205,202,448
935,634,295,122,371,392,-269,-120,22,320
