targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
713,334,73,-177,539,697,-101,185,292,192
935,634,295,122,367,368,-273,-144,22,320
762,216,122,-295,509,782,-131,270,292,320
664,571,24,59,609,452,-31,-60,67,64
615,452,-24,-59,667,568,27,56,247,64
713,689,73,177,560,323,-80,-189,67,192
462,438,-177,-73,808,589,168,77,202,192
811,98,171,-413,496,914,-144,402,292,448
468,98,-171,-413,818,873,178,361,247,448
699,487,59,-24,583,539,-57,27,337,64
566,334,-73,-177,703,664,63,152,247,192
226,683,-413,171,963,309,323,-203,157,448
762,807,122,295,509,237,-131,-275,67,320
580,536,-59,24,715,473,75,-39,157,64
1053,683,413,171,325,352,-315,-160,22,448
468,925,-171,413,823,188,183,-324,112,448
1053,340,413,-171,221,665,-419,153,337,448
566,689,-73,177,715,320,75,-192,112,192
615,571,-24,59,677,443,37,-69,112,64
344,634,-295,122,904,364,264,-148,157,320
344,389,-295,-122,906,644,266,132,202,320
699,536,59,24,574,475,-66,-37,22,64
226,340,-413,-171,1099,725,459,213,202,448
517,807,-122,295,757,240,117,-272,112,320
462,585,-177,73,832,422,192,-90,157,192
517,216,-122,-295,796,799,156,287,247,320
580,487,-59,-24,701,555,61,43,202,64
817,438,177,-73,465,598,-175,86,337,192
817,585,177,73,476,424,-164,-88,22,192
935,389,295,-122,382,648,-258,136,337,320
664,452,24,-59,615,579,-25,67,292,64
811,925,171,413,511,183,-129,-329,67,448
566,334,-73,-177,713,711,73,199,247,192
615,452,-24,-59,669,569,29,57,247,64
517,216,-122,-295,758,763,118,251,247,320
811,925,171,413,498,163,-142,-349,67,448
713,689,73,177,554,317,-86,-195,67,192
664,571,24,59,611,441,-29,-71,67,64
762,807,122,295,533,264,-107,-248,67,320
580,536,-59,24,719,472,79,-40,157,64
468,925,-171,413,778,218,138,-294,112,448
664,452,24,-59,608,573,-32,61,292,64
817,585,177,73,471,417,-169,-95,22,192
468,98,-171,-413,840,917,200,405,247,448
1053,683,413,171,289,335,-351,-177,22,448
344,634,-295,122,904,368,264,-144,157,320
517,807,-122,295,747,257,107,-255,112,320
615,571,-24,59,687,422,47,-90,112,64
462,585,-177,73,810,427,170,-85,157,192
226,340,-413,-171,1048,713,408,201,202,448
811,98,171,-413,463,899,-177,387,292,448
935,389,295,-122,378,634,-262,122,337,320
817,438,177,-73,474,597,-166,85,337,192
713,334,73,-177,565,683,-75,171,292,192
226,683,-413,171,976,348,336,-164,157,448
699,536,59,24,582,473,-58,-39,22,64
935,634,295,122,384,397,-256,-115,22,320
566,689,-73,177,723,334,83,-178,112,192
1053,340,413,-171,271,656,-369,144,337,448
699,487,59,-24,579,543,-61,31,337,64
344,389,-295,-122,934,628,294,116,202,320
580,487,-59,-24,699,546,59,34,202,64
462,438,-177,-73,807,592,167,80,202,192
762,216,122,-295,533,792,-107,280,292,320
615,571,-24,59,670,439,30,-73,112,64
664,571,24,59,611,463,-29,-49,67,64
762,216,122,-295,532,761,-108,249,292,320
762,807,122,295,533,275,-107,-237,67,320
517,807,-122,295,759,253,119,-259,112,320
580,487,-59,-24,704,548,64,36,202,64
1053,340,413,-171,308,656,-332,144,337,448
699,536,59,24,579,477,-61,-35,22,64
226,683,-413,171,1011,348,371,-164,157,448
699,487,59,-24,580,554,-60,42,337,64
713,334,73,-177,578,699,-62,187,292,192
713,689,73,177,565,334,-75,-178,67,192
344,389,-295,-122,959,631,319,119,202,320
462,438,-177,-73,816,597,176,85,202,192
580,536,-59,24,708,480,68,-32,157,64
811,925,171,413,492,175,-148,-337,67,448
664,452,24,-59,616,584,-24,72,292,64
344,634,-295,122,922,381,282,-131,157,320
226,340,-413,-171,1034,715,394,203,202,448
468,925,-171,413,879,144,239,-368,112,448
468,98,-171,-413,888,963,248,451,247,448
1053,683,413,171,207,356,-433,-156,22,448
817,585,177,73,486,439,-154,-73,22,192
517,216,-122,-295,770,791,130,279,247,320
817,438,177,-73,461,600,-179,88,337,192
566,334,-73,-177,714,698,74,186,247,192
462,585,-177,73,827,422,187,-90,157,192
811,98,171,-413,485,933,-155,421,292,448
566,689,-73,177,721,334,81,-178,112,192
935,389,295,-122,357,644,-283,132,337,320
615,452,-24,-59,673,584,33,72,247,64
935,634,295,122,388,377,-252,-135,22,320
344,389,-295,-122,926,635,286,123,202,320
699,487,59,-24,582,542,-58,30,337,64
615,571,-24,59,670,448,30,-64,112,64
699,536,59,24,574,470,-66,-42,22,64
664,452,24,-59,613,580,-27,68,292,64
517,216,-122,-295,803,798,163,286,247,320
226,683,-413,171,978,307,338,-205,157,448
817,585,177,73,456,407,-184,-105,22,192
762,807,122,295,541,245,-99,-267,67,320
1053,683,413,171,258,319,-382,-193,22,448
566,689,-73,177,729,320,89,-192,112,192
713,334,73,-177,558,718,-82,206,292,192
580,536,-59,24,711,478,71,-34,157,64
811,925,171,413,501,145,-139,-367,67,448
468,925,-171,413,824,152,184,-360,112,448
566,334,-73,-177,742,695,102,183,247,192
811,98,171,-413,502,939,-138,427,292,448
344,634,-295,122,941,364,301,-148,157,320
664,571,24,59,608,437,-32,-75,67,64
935,634,295,122,389,394,-251,-118,22,320
462,585,-177,73,820,438,180,-74,157,192
615,452,-24,-59,670,573,30,61,247,64
462,438,-177,-73,840,591,200,79,202,192
226,340,-413,-171,1054,679,414,167,202,448
935,389,295,-122,376,631,-264,119,337,320
580,487,-59,-24,703,537,63,25,202,64
1053,340,413,-171,266,668,-374,156,337,448
517,807,-122,295,754,223,114,-289,112,320
762,216,122,-295,524,812,-116,300,292,320
468,98,-171,-413,814,868,174,356,247,448
713,689,73,177,562,331,-78,-181,67,192
817,438,177,-73,475,590,-165,78,337,192
811,925,171,413,521,165,-119,-347,67,448
811,98,171,-413,467,913,-173,401,292,448
615,571,-24,59,677,433,37,-79,112,64
468,925,-171,413,833,157,193,-355,112,448
580,536,-59,24,707,473,67,-39,157,64
517,216,-122,-295,787,789,147,277,247,320
580,487,-59,-24,704,549,64,37,202,64
468,98,-171,-413,880,922,240,410,247,448
817,585,177,73,461,414,-179,-98,22,192
699,536,59,24,581,472,-59,-40,22,64
344,634,-295,122,926,368,286,-144,157,320
566,334,-73,-177,741,696,101,184,247,192
226,340,-413,-171,1110,727,470,215,202,448
935,634,295,122,399,379,-241,-133,22,320
664,452,24,-59,618,572,-22,60,292,64
817,438,177,-73,465,607,-175,95,337,192
462,585,-177,73,806,429,166,-83,157,192
462,438,-177,-73,820,596,180,84,202,192
344,389,-295,-122,912,621,272,109,202,320
517,807,-122,295,771,238,131,-274,112,320
1053,683,413,171,313,335,-327,-177,22,448
664,571,24,59,610,449,-30,-63,67,64
762,216,122,-295,513,828,-127,316,292,320
935,389,295,-122,349,637,-291,125,337,320
699,487,59,-24,582,543,-58,31,337,64
566,689,-73,177,734,339,94,-173,112,192
615,452,-24,-59,673,577,33,65,247,64
1053,340,413,-171,265,680,-375,168,337,448
713,689,73,177,580,347,-60,-165,67,192
762,807,122,295,537,259,-103,-253,67,320
226,683,-413,171,965,327,325,-185,157,448
713,334,73,-177,558,698,-82,186,292,192
462,585,-177,73,800,436,160,-76,157,192
811,98,171,-413,475,929,-165,417,292,448
566,689,-73,177,716,312,76,-200,112,192
1053,683,413,171,319,339,-321,-173,22,448
462,438,-177,-73,825,596,185,84,202,192
468,98,-171,-413,858,936,218,424,247,448
580,536,-59,24,704,481,64,-31,157,64
699,536,59,24,586,479,-54,-33,22,64
699,487,59,-24,576,540,-64,28,337,64
517,216,-122,-295,796,796,156,284,247,320
664,571,24,59,607,445,-33,-67,67,64
344,389,-295,-122,914,647,274,135,202,320
935,634,295,122,385,376,-255,-136,22,320
935,389,295,-122,370,639,-270,127,337,320
580,487,-59,-24,710,546,70,34,202,64
615,571,-24,59,675,457,35,-55,112,64
1053,340,413,-171,266,672,-374,160,337,448
713,689,73,177,564,342,-76,-170,67,192
615,452,-24,-59,672,573,32,61,247,64
566,334,-73,-177,723,690,83,178,247,192
226,683,-413,171,1005,299,365,-213,157,448
226,340,-413,-171,1046,712,406,200,202,448
817,585,177,73,463,427,-177,-85,22,192
762,216,122,-295,519,808,-121,296,292,320
817,438,177,-73,489,604,-151,92,337,192
762,807,122,295,531,243,-109,-269,67,320
811,925,171,413,503,193,-137,-319,67,448
468,925,-171,413,819,155,179,-357,112,448
713,334,73,-177,569,719,-71,207,292,192
664,452,24,-59,620,578,-20,66,292,64
344,634,-295,122,919,403,279,-109,157,320
517,807,-122,295,760,236,120,-276,112,320
811,98,171,-413,477,896,-163,384,292,448
817,585,177,73,461,427,-179,-85,22,192
468,925,-171,413,809,148,169,-364,112,448
699,487,59,-24,577,545,-63,33,337,64
566,689,-73,177,726,307,86,-205,112,192
468,98,-171,-413,829,896,189,384,247,448
762,807,122,295,542,246,-98,-266,67,320
713,689,73,177,552,322,-88,-190,67,192
615,452,-24,-59,674,571,34,59,247,64
935,389,295,-122,346,634,-294,122,337,320
713,334,73,-177,557,701,-83,189,292,192
1053,683,413,171,309,300,-331,-212,22,448
462,585,-177,73,835,419,195,-93,157,192
580,487,-59,-24,708,551,68,39,202,64
344,389,-295,-122,940,654,300,142,202,320
615,571,-24,59,671,450,31,-62,112,64
462,438,-177,-73,858,606,218,94,202,192
699,536,59,24,582,472,-58,-40,22,64
517,216,-122,-295,774,810,134,298,247,320
762,216,122,-295,542,784,-98,272,292,320
811,925,171,413,503,180,-137,-332,67,448
517,807,-122,295,760,208,120,-304,112,320
344,634,-295,122,944,345,304,-167,157,320
1053,340,413,-171,287,681,-353,169,337,448
817,438,177,-73,492,584,-148,72,337,192
935,634,295,122,390,360,-250,-152,22,320
226,683,-413,171,1030,311,390,-201,157,448
664,452,24,-59,615,582,-25,70,292,64
226,340,-413,-171,1069,714,429,202,202,448
566,334,-73,-177,714,679,74,167,247,192
580,536,-59,24,706,478,66,-34,157,64
664,571,24,59,612,452,-28,-60,67,64
