sub,kind,target_x0,target_y0,response_x0,response_y0,target_orientation_deg,target_radius_pixels,which_eye,sub_num,match_x0,match_y0,response_r,response_theta,match_r,match_theta,target_radius_deg,target_ori_id,target_rad_id,target_id,error_x,error_y,error_r,error_theta,error_r_mu,error_r_sd
bm,A,1.91052,4.6197,-1.39374,-4.36914,67,320,bad,1,-1.91052,-4.6197,4.586054461865886,-107.69249647926145,4.999171407383428,-112.46799697245953,5,2,3,18,0.51678,0.2505600000000001,-0.4131169455175421,4.775500493198081,-0.705025140789831,0.23185266969877316
bm,A,2.67786,-6.46758,-1.94184,5.7159,292,448,bad,1,-2.67786,6.46758,6.036742117698917,108.76396116763637,7.000037516756607,112.49168668421689,7,7,4,31,0.7360199999999999,-0.7516799999999995,-0.9632953990576905,-3.72772551658052,-0.5829373323869302,0.44518190510926225
bm,A,-2.67786,6.46758,2.95974,-5.27742,112,448,bad,1,2.67786,-6.46758,6.050720843337594,-60.71494654728062,7.000037516756607,-67.50831331578311,7,3,4,27,0.28188000000000013,1.1901599999999997,-0.9493166734190135,6.793366768502494,-1.0984179199077584,0.3277670981346472
bm,A,0.37584,0.92394,-0.28188,-1.06488,67,64,bad,1,-0.37584,-0.92394,1.1015560579471206,-104.82647997035568,0.9974571816373874,-112.13549187810035,1,2,1,2,0.09395999999999999,-0.14094000000000007,0.10409887630973325,7.309011907744676,0.1354294309294402,0.12673825083946802
bm,A,-1.14318,-2.77182,1.28412,2.78748,247,192,bad,1,1.14318,2.77182,3.0690403915230573,65.26569747094752,2.998307293257314,67.58731053136572,3,6,2,14,0.14093999999999984,0.015660000000000007,0.07073309826574325,-2.3216130604182013,0.3134088855313605,0.4225043754794615
bm,A,2.77182,1.14318,-2.349,-0.97092,22,192,bad,1,-2.77182,-1.14318,2.541748737857462,-157.54306100005786,2.998307293257314,-157.58731053136572,3,1,2,9,0.42281999999999975,0.17226000000000008,-0.45655855539985213,0.04424953130785525,-0.28410786056194326,0.26257895629927036
bm,A,1.91052,-4.6197,-1.4877,4.16556,292,320,bad,1,-1.91052,4.6197,4.423250095077148,109.6538240580533,4.999171407383428,112.46799697245953,5,7,3,23,0.42282,-0.45413999999999977,-0.5759213123062796,-2.814172914406228,0.05864796194452021,0.3718603851234971
bm,A,-2.77182,-1.14318,3.08502,1.0179,202,192,bad,1,2.77182,1.14318,3.248610289092861,18.260267109533427,2.998307293257314,22.412689468634277,3,5,2,13,0.31320000000000014,-0.12528000000000006,0.25030299583554694,-4.15242235910085,0.26894555666949177,0.36298135860508635
bm,A,-0.37584,0.92394,0.4698,-0.68904,112,64,bad,1,0.37584,-0.92394,0.8339593285046939,-55.71312302279104,0.9974571816373874,-67.86450812189965,1,3,1,3,0.09395999999999999,0.2349,-0.1634978531326935,12.151385099108609,0.08544539509452428,0.13535547941607098
bm,A,-6.46758,-2.67786,6.59286,3.03804,202,448,bad,1,6.46758,2.67786,7.259165931510314,24.740609441770907,7.000037516756607,22.49168668421689,7,5,4,29,0.12528000000000006,0.36018000000000017,0.2591284147537065,2.2489227575540163,-0.15068853567925541,0.41827517679568804
